Title     : 1个功能9种写法，“智能驾驶”怎么这么乱？8分钟理清“智能驾驶”！【柴知道】
Video ID  : d6cZdZEEzmQ
URL       : https://www.youtube.com/watch?v=d6cZdZEEzmQ
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 281
Saved at  : 2026-06-05 13:40:28
------------------------------------------------------------

[00:01.20]  2023 年
[00:02.20]  车圈吵得最凶的概念
[00:04.03]  就是“智能驾驶”
[00:05.77]  有人说它是扯淡
[00:07.00]  我觉得自动驾驶
[00:07.87]  基本上是被资本裹挟的
[00:09.60]  什么无人驾驶
[00:10.30]  那都是扯淡
[00:11.30]  有人说那是你不懂
[00:12.50]  业界有个大佬他说
[00:13.73]  这个智能驾驶是瞎忽悠 胡扯
[00:16.87]  我觉得只有两个原因
[00:17.93]  或者他对这个行业不了解
[00:20.07]  或者是故意这样说的
[00:21.67]  或者是他这个
[00:22.33]  这个方面能力还没做好啊
[00:24.07]  故意来打击下这个行业啊
[00:25.77]  而对于消费者来说就更迷惑了
[00:28.33]  我们简单统计了一下
[00:30.00]  这 13 家新能源品牌
[00:31.67]  给智驾系统起了 18 个名字
[00:34.07]  哪怕同样是一个
[00:35.17]  “自动辅助导航”的功能
[00:36.93]  也能发明出九种不同写法
[00:39.03]  比“回”字的写法还多五种
[00:41.63]  而且不少在售车型
[00:42.97]  还分成了“智驾款”
[00:44.43]  和被戏称为
[00:45.23]  “ 智障款”的普通版车型
[00:47.23]  价格相差好几万
[00:48.87]  还有很多车的“智驾系统”
[00:50.53]  需要单独花钱解锁
[00:52.67]  那么到底选哪款
[00:53.93]  要不要解锁
[00:55.20]  为了搞清这些问题
[00:56.47]  我们整理了16家
[00:57.73]  新能源品牌的智驾方案
[00:59.60]  会用最简单清晰的方式
[01:01.63]  来跟大家一起看看
[01:03.07]  如今的“智能驾驶”到底是什么
[01:05.13]  有什么用
[01:06.23]  这一方面能让我们理解
[01:07.60]  汽车行业的发展方向
[01:09.23]  另一方面
[01:09.97]  也能为你的购买
[01:11.03]  或者不买决策提供参考
[01:20.33]  在一开始
[01:21.07]  我们要搞清一件事
[01:22.83]  智能驾驶
[01:23.73]  不等于“自动驾驶”
[01:25.43]  如果不把概念对齐
[01:26.83]  那就会出现开头那种
[01:28.27]  鸡同鸭讲的局面
[01:30.13]  “智能驾驶”
[01:30.97]  它根本就不是规范的技术术语
[01:33.40]  只是一个商业概念
[01:35.33]  而“智能驾驶”的本质
[01:37.37]  你认真
[01:38.47]  再认真地看一下它们宣传页面
[01:40.40]  就能找到答案了
[01:42.03]  没错  它只是一套“辅助驾驶”系统
[01:44.60]  是司机的助手
[01:45.73]  但不能替代司机
[01:47.40]  如果出了事
[01:48.37]  那得你负责
[01:50.17]  所以很显然
[01:51.17]  目前的“智能驾驶”
[01:52.37]  跟普通人理解的“自动驾驶”
[01:54.17]  或者“无人驾驶”
[01:55.37]  完全不是一回事儿
[01:57.33]  所以我们斗胆
[01:58.40]  给视频开头的两位大哥说个和
[02:01.47]  比亚迪的小王说的
[02:02.80]  是“无人驾驶”的问题
[02:04.23]  它本来就是一个遥远的梦想
[02:06.87]  而华为的小余说的是“驾驶辅助”
[02:09.67]  它确实已经实现了
[02:11.87]  所以两位大哥都没错
[02:13.47]  只是鸡同鸭讲
[02:14.60]  一个说城门楼子
[02:15.73]  一个说胯骨轴子
[02:17.83]  不过话说回来
[02:18.83]  不同的智能驾驶技术
[02:20.23]  确实有不同的等级区分
[02:22.40]  不管是中国还是美国
[02:23.97]  都根据车的自动化程度
[02:25.37]  把“智能汽车”划分成了六个等级
[02:27.87]  其中 L0 到 L2
[02:29.40]  属于“驾驶辅助”
[02:30.83]  也就是车还是你在开
[02:32.67]  但系统可以帮你打辅助
[02:34.93]  L3 和 L4
[02:36.20]  属于“部分自动驾驶”
[02:37.93]  这时候车可以自己开
[02:39.87]  但关键时刻需要你上手接管
[02:42.63]  而最后的 L5
[02:43.80]  属于“完全自动驾驶”
[02:45.27]  彻底不需要人了
[02:46.90]  但这就跟
[02:47.63]  “柴司去纳斯达克敲钟”一样
[02:49.63]  属于自己给自己画饼的科幻场景
[02:52.53]  而根据我国现行的政策法规
[02:54.40]  目前所有能上路的智能驾驶系统
[02:56.83]  不管名字起得多么高级
[02:58.67]  在政策上
[02:59.53]  都属于 L0 到 L2 级别的“驾驶辅助”
[03:03.00]  不过虽然在政策层面
[03:04.53]  这些系统都属于“辅助驾驶”
[03:06.47]  但在某些单项的技术层面
[03:08.57]  它们已经达到了
[03:09.53]  L3 或者更高级别
[03:11.83]  比如“代客泊车功能”
[03:13.33]  属于 L4 级别的泊车技术
[03:15.03]  但已经有实车搭载了
[03:16.83]  还有一些车
[03:17.67]  已经基本可以实现自主跟车
[03:19.63]  变道 转弯 刹车
[03:21.40]  这在技术上也已经超过了 L2 级别
[03:24.63]  但不管技术达到了什么程度
[03:26.40]  你仍然需要随时准备接管
[03:28.60]  如果你松开方向盘
[03:29.97]  闭眼 打哈欠 打电话
[03:31.77]  那随时可能触发警报
[03:33.60]  这是政策合规的要求
[03:35.07]  也是对大家安全的保证
[03:37.23]  在行业高速发展
[03:38.40]  政策和技术没有完全匹配的情况下
[03:41.07]  厂商实在不甘心
[03:42.33]  只宣传自己是“驾驶辅助”
[03:44.40]  所以就发明了各种各样的概念
[03:46.17]  甚至在 L2 的基础上搞出了
[03:48.20]  L2+ 
[03:48.77]  L2++ 
[03:49.73]  L2.5 
[03:50.43]  L2.9
[03:51.27]  L2.99999
[03:53.03]  但都不敢说是 3
[03:54.60]  消费者看了也是一头雾水
[03:57.03]  但不管它们概念玩得多花
[03:58.80]  消费者最关心的还是一个问题
[04:01.53]  你这智能驾驶
[04:02.87]  到底有啥用啊
[04:04.57]  “智能驾驶”包含的功能很多
[04:06.40]  但如果敢称为“智驾版”
[04:08.07]  或者拿智驾作为重要卖点
[04:10.33]  那一般都是搭载了“自动辅助导航”
[04:13.03]  或者叫“领航辅助”功能
[04:15.00]  也就是视频开头提到的
[04:16.47]  NOA NCA NDA NOH NAP 
[04:18.87]    NOP NGP NZP 和 DNP
[04:21.47]  这九种写法
[04:24.20]  那“自动辅助导航”能做什么呢
[04:27.00]  简单来说
[04:27.80]  你可以把它理解为一个
[04:28.97]  “控制辅助”加上“导航”
[04:30.83]  它能让汽车自动完成
[04:32.20]  变换车道 超车 启停
[04:33.97]  进出匝道等操作
[04:35.43]  自己从A点开到B点
[04:37.57]  当然 你也得随时留意准备接管
[04:39.87]  不能摸鱼
[04:41.47]  这个功能虽然看起来简单
[04:43.13]  但需要有强大的算力支持
[04:45.20]  还需要有一套控制车辆前后
[04:47.13]  左右和转向的“控制辅助”系统
[04:49.33]  并不好做
[04:50.53]  所以在目前
[04:51.43]  因为高速的路况相对比较简单
[04:54.07]  所以大部分车企基本都会
[04:55.83]  先研发推出“高速领航”的功能
[04:58.73]  但大部分人都是在市区内用车
[05:01.13]  这时能不能用上领航功能
[05:02.87]  就得看情况了
[05:04.37]  因为“城市领航”
[05:05.53]  对地图 技术的要求更高
[05:07.57]  目前能做到的车企还不多
[05:10.07]  我们整理了一份名单
[05:11.33]  目前绝大多数智驾车企
[05:13.03]  都已经用上了“高速领航”
[05:14.97]  但提供“城市领航”的
[05:16.47]  只有大概一半
[05:18.13]  而且 请注意
