Title     : 2000的跑鞋比200的好吗？什么样的跑鞋最适合你？【柴知道】
Video ID  : fZwJkF9BUM8
URL       : https://www.youtube.com/watch?v=fZwJkF9BUM8
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 230
Saved at  : 2026-06-05 13:32:11
------------------------------------------------------------

[00:00.17]  反正也没接到广告
[00:01.40]  所以我们直说了
[00:02.57]  跑步可以不穿跑鞋
[00:04.20]  甚至可以不穿鞋
[00:06.20]  1960 年
[00:07.00]  埃塞俄比亚的阿贝贝·比基拉
[00:08.57]  在罗马奥运会上
[00:09.70]  光脚跑完了 42 公里多的马拉松
[00:12.47]  以大约每公里 3 分12 秒的成绩
[00:14.47]  拿到了金牌
[00:15.33]  打破了世界记录
[00:17.50]  4 年之后
[00:18.27]  刚做完阑尾炎手术 40 天
[00:20.03]  他又穿一双普通平底鞋
[00:22.20]  以领先第二名 
[00:23.13]  4 分多钟的碾压级优势
[00:24.80]  拿到了东京奥运会的马拉松金牌
[00:27.13]  当然 我们并不推荐你这么干
[00:29.67]  但既然赤脚大仙都能拿奥运冠军
[00:32.47]  我们普通人买跑鞋图什么呢
[00:34.97]  是不是越专业的跑鞋越配你的脚
[00:44.33]  跑步是为了健康
[00:45.57]  穿鞋是为了避免跑步时受伤
[00:47.97]  而只要一提到跑步
[00:49.27]  大家最关心肯定是
[00:51.27]  跑步伤滕盖
[00:52.73]  气血 漆盖 阳气
[00:54.17]  是跑步伤膝盖
[00:56.17]  确实我们找到了一篇
[00:57.47]  汇总了 25 项研究的论文
[00:59.33]  说专业跑步运动员的
[01:00.80]  关节发病率高达 13.3%
[01:03.43]  比普通人高得多
[01:06.17]  是不是长舒一口气
[01:07.73]  终于可以名正言顺地不跑步了
[01:10.47]  但遗憾的是
[01:11.77]  关节发病率次之的
[01:13.20]  是久坐不动
[01:14.07]  也不跑步的人
[01:15.40]  而最健康的
[01:16.27]  是长年定期休闲跑的人
[01:18.87]  所以最终结论是
[01:20.17]  小跑怡情 久坐伤身
[01:22.20]  只要不过量
[01:23.20]  跑步对关节反而有好处
[01:25.53]  那多少才算过量呢
[01:28.07]  根据建议
[01:28.83]  每周超过 92km 
[01:30.33]  就属于高强度跑步
[01:31.80]  让我们保守亿点
[01:32.97]  直接把它砍半到每周 46km
[01:35.40]  也相当于每天都跑 6 公里以上
[01:37.97]  所以放心 以我们的水平
[01:39.93]  不需要操心过量问题
[01:42.43]  不过 跑步对关节的冲击确实存在
[01:45.67]  在跑步时
[01:46.47]  脚掌落地时的冲击力
[01:47.93]  大约是体重的 3-5 倍
[01:50.13]  如果你的跑步姿势不对
[01:51.53]  肌肉不够 体重太大
[01:53.07]  那就可能会损伤膝 踝 髋等等关节
[01:56.67]  而一双好的跑鞋
[01:57.87]  就能帮你“缓震抗冲击”
[02:00.00]  这正是大部分跑鞋最重要的卖点
[02:02.83]  缓震分为“机械缓震”
[02:04.40]  和“发泡缓震”
[02:05.77]  所谓的机械缓震
[02:06.83]  是在跑鞋中添加
[02:08.23]  特殊的物理结构来缓冲
[02:10.33]  比如耐克的“气垫”
[02:11.40]  美津浓 wave 的“波浪片”等等
[02:13.53]  但目前单纯采用机械缓震的新鞋
[02:15.60]  已经很少了
[02:16.67]  它们基本上是作为
[02:18.00]  “发泡缓震”的搭配而存在
[02:20.63]  所谓“发泡缓震”
[02:21.63]  就是通过物理或化学方法
[02:23.80]  在各种塑料中注入微小气腔
[02:25.87]  形成类似于泡沫塑料的结构
[02:27.93]  又轻又弹
[02:29.40]  比如我这双跑鞋用的“氮科技”
[02:31.27]  这一双的“FF Blast +”
[02:33.63]  还有这些千奇百怪的宣传词
[02:35.60]  都属于发泡缓震技术
[02:37.47]  它们一般脚感偏软
[02:38.97]  有“踩屎感”
[02:40.67]  缓震也会区分等级
[02:42.17]  如果体重大的话
[02:43.07]  你应该选缓震等级更高的跑鞋
[02:46.00]  不过对于大部分体型适中
[02:47.77]  一次跑几公里锻炼身体的人来说
[02:50.23]  入门级的缓震就够了
[02:52.13]  你根据自己的审美和财力
[02:53.83]  挑一双顺眼的就行
[02:55.97]  不过 跑鞋不是越软越好
[02:58.47]  “缓震”也不是它的唯一作用
[03:00.77]  还有不少跑鞋主打的是
[03:02.37]  另一个功能点 支撑
[03:05.03]  那你需不需要它呢
[03:06.60]  来 伸出你的玉足
[03:10.00]  一般跑步的时候
[03:11.13]  双脚会从脚跟外侧与地面接触
[03:13.53]  然后向内滚动
[03:15.07]  这个过程看起来有一些
[03:16.73]  轻微的“外翻”
[03:17.83]  也就是脚底向外
[03:19.13]  这个过程叫做“旋前”
[03:21.60]  只要角度在 15° 以内都是正常的
[03:23.73]  可以喜欢什么就穿什么
[03:26.20]  但如果“旋前过度”
[03:27.57]  也就是脚看起来“外翻”较大
[03:29.67]  就会导致脚内侧受力过多
[03:31.80]  稳定性不足
[03:33.13]  这时可能就需要一双
[03:34.63]  支撑稳定型的跑鞋了
[03:36.57]  它们会在鞋内侧的足弓部位
[03:38.47]  给脚更多的支撑
[03:40.17]  比如设计一块支撑结构
[03:41.67]  或者内外侧鞋底
[03:42.93]  用不同密度的材料
[03:44.63]  这都是为了帮你矫正力线
[03:46.37]  让跑步姿势正常
[03:48.63]  “旋前过度”常发生在
[03:49.97]  低足弓或者扁平足的朋友身上
[03:52.43]  如果你不清楚自己的跑步姿态
[03:54.43]  那可以从背后
[03:55.47]  录一段跑步视频看看
[03:57.33]  也可以观察一下
[03:58.20]  自己鞋子的磨损情况
[03:59.97]  来辅助判断
[04:01.57]  那如果“旋前不足”呢
[04:03.47]  这种情况非常少见
[04:04.97]  就算真的旋前不足
[04:06.40]  也应该挑缓震型跑鞋
[04:08.23]  给脚更多的翻转空间
[04:10.73]  所以对大多数体型普通
[04:12.63]  姿势普通的普通人来说
[04:14.77]  只是日常慢跑锻炼
[04:16.07]  那么挑一双普通 顺眼
[04:17.87]  不贵的缓震跑鞋就够了
[04:19.97]  并不需要被琳琅满目的
[04:21.40]  专业名词迷了眼
[04:23.20]  反而是一些追求极致的朋友
[04:25.53]  比如只想给孩子最好的家长们
[04:27.60]  可能会掉入另一个坑
[04:30.00]  很多学生在体测时
[04:31.23]  都会被推销一双价格不菲的
[04:33.23]  “厚底碳板鞋”
[04:34.67]  它确实是专业
[04:35.97]  但问题是太专业了
[04:37.73]  根本不适合普通人
[04:39.73]  所谓“碳板”
[04:40.47]  就是鞋底里的一块
[04:41.77]  碳纤维复合材料板
[04:43.43]  在前脚掌发力时
[04:44.83]  碳板的后半部分会上翘
[04:46.73]  给脚掌一个推动力
[04:48.00]  减少大约4%的跑步能耗
[04:50.30]  它就类似于
[04:51.03]  泳池里的“鲨鱼皮”一样
[04:52.63]  是通过叠科技来提高成绩用的
