Title     : AI 暴击搜索引擎：我活不活无所谓，我只要你死【柴知道】
Video ID  : xe-MWx7vE2k
URL       : https://www.youtube.com/watch?v=xe-MWx7vE2k
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 299
Saved at  : 2026-06-05 13:33:55
------------------------------------------------------------

[00:00.77]  2019 年
[00:01.63]  一篇名为
[00:02.43]  《搜索引擎百度已死》的文章
[00:04.30]  传遍了中文互联网
[00:05.93]  文中痛斥百度的搜索结果中
[00:07.80]  充满了百家号里的垃圾内容
[00:09.97]  堪称是当年
[00:10.90]  泼在百度头上的另一瓶水
[00:13.80]  大洋彼岸的 Google 也很慌
[00:15.23]  在 ChatGPT 发布后
[00:16.77]  Google 立刻发布了红色警告
[00:18.63]  并在匆忙之下推出了自研大模型
[00:21.53]  结果演示时当场翻车
[00:23.00]  股价暴跌 1000 亿美元
[00:24.53]  相当于三个百度
[00:26.63]  唱衰 甚至祈祷某些搜索引擎
[00:28.93]  好死不送的论调深得民心
[00:31.53]  用户一方面离不开搜索引擎
[00:33.17]  一方面又要像在
[00:34.33]  辣椒炒肉里找肉一样
[00:35.93]  从一堆垃圾结果中翻找答案
[00:37.93]  结果还是吃到了生姜
[00:40.53]  而现在 ChatGPT 
[00:41.80]  豆包 Kimi Deepseek 
[00:43.20]  等一堆带联网搜索功能的大模型
[00:45.77]  还有  Perplexity 秘塔这样专门的 
[00:47.93]  AI 搜索引擎
[00:49.03]  都出现了
[00:50.33]  只要用自然语言搜索
[00:51.53]  它们就能迅速生成回答
[00:53.17]  标注来源 精准地帮你找肉
[00:55.90]  所以 它们会如你所愿
[00:57.73]  让传统搜索引擎死透
[00:59.97]  再建立一个更好的互联网吗
[01:02.63]  难说
[01:10.57]  很显然 各类能联网的大模型
[01:12.43]  已经在抢占传统搜索引擎的市场
[01:14.57]  它们既没有广告
[01:15.50]  又可以模糊搜索 好用多了
[01:17.73]  其实百度 Google 们自己
[01:19.40]  也许早就预料到这一天的到来
[01:21.90]  从技术角度来看
[01:23.03]  当下所有大模型的核心架构
[01:25.17]  都源于 Google 提出的
[01:26.50]  Transformer 架构
[01:27.97]  百度也早在 2013 年
[01:29.30]  就竞标过著名人工智能专家
[01:31.43]  Hinton 和学生 Ilya 所在的团队
[01:33.63]  只是最终输给了 Google
[01:35.73]  几年后 Ilya 从 Google 离职
[01:37.43]  然后加入 OpenAI
[01:38.77]  做出了 ChatGPT
[01:40.53]  在 ChatGPT 横空出世后
[01:42.10]  中美巨头中最先发布对标产品的
[01:44.53]  也是 Google 和百度
[01:46.03]  它们并不缺乏
[01:46.93]  大模型上的技术储备
[01:48.30]  因为它们
[01:49.13]  也许是最忌惮大模型的公司
[01:52.17]  传统引擎最重要的盈利模式
[01:54.03]  是搜索结果页面上的“竞价广告”
[01:56.63]  但如果直接把答案告诉你
[01:58.40]  那广告的点击率和展现量
[02:00.53]  会迅速下降
[02:02.33]  所以即便公司内部
[02:03.63]  了解大模型技术
[02:04.93]  也没有人愿意
[02:05.68]  主动砸掉自己的印钞机
[02:08.23]  但你不主动
[02:09.13]  就有人帮你主动
[02:10.77]  大模型带着锤子一出场
[02:12.53]  百度和谷歌们
[02:13.59]  急了
[02:15.40]  但你先别急
[02:17.03]  因为 AI 搜索自己
[02:18.37]  也还不知道怎么挣钱
[02:20.60]  首先 AI 搜索的成本
[02:22.53]  现在和以后
[02:23.43]  都会比传统搜索高
[02:25.50]  根据摩根士丹利的估算
[02:26.97]  平均每次普通 Google 搜索的成本
[02:29.36]  是 0.002 美元
[02:31.10]  折合人民币一分半
[02:32.73]  而大模型的每次推理 输出
[02:34.63]  都要消耗大量的算力
[02:36.33]  我们可以简单地算一笔账
[02:38.10]  假设一次 AI 搜索
[02:39.20]  在检索完一堆网页后
[02:40.70]  需要喂给大模型 2 万 token
[02:42.63]  并输出 1000 token 的回答
[02:44.63]  那根据 OpenAI 最新的 API 价格
[02:46.53]  在缓存输入的情况下
[02:48.00]  一次的成本大约是 0.035 美元
[02:50.80]  是传统搜索引擎的 10 多倍
[02:53.03]  不过如果换成 DeepSeek v3 的话
[02:55.13]  价格会降到 0.018 元人民币
[02:57.77]  已经跟传统搜索差不多了
[03:00.13]  但请注意 这只是调用
[03:01.63]  大模型本身消耗的算力成本
[03:03.97]  而自己搭建搜索引擎
[03:05.20]  或者调用别家搜索 API 
[03:07.00]  来检索网页的成本
[03:08.53]  还要另算
[03:10.20]  在成本高于传统搜索引擎的同时
[03:12.30]  AI 搜索的营收却更低了
[03:15.03]  比如目前最知名的 
[03:16.37]  AI 搜索产品是 Perplexity 
[03:18.37]  它们主要依靠“订阅”来挣钱
[03:21.20]  Pro 版每月 20 美元订阅费
[03:23.03]  相当于人民币 150 块
[03:25.37]  但哪怕这么贵
[03:26.37]  Perplexity 也说靠用户订阅
[03:28.57]  根本不足以覆盖成本
[03:30.97]  所以 AI 搜索
[03:32.29]  也得加广告
[03:34.13]  在诞生初期
[03:35.13]  Perplexity 也跟你一样憎恨广告
[03:37.90]  立下 flag 说
[03:38.93]  “搜索引擎不应该被广告驱动”
[03:41.57]  但现在 这句宣言
[03:42.97]  已经在官网上消失了
[03:44.77]  取而代之的是一个
[03:45.90]  长长的说明页面
[03:47.33]  解释自己为什么还得加广告
[03:50.30]  从 2024 年 4 季度开始
[03:51.90]  如果你问 Perplexity 
[03:53.30]  一个合适的问题
[03:54.80]  那就可能在搜索结果后的
[03:56.40]  相关问题里
