Title     : ¥200和¥8000的机械键盘有什么区别？键盘侠们在折腾什么？【柴知道】
Video ID  : R55RQqesrRk
URL       : https://www.youtube.com/watch?v=R55RQqesrRk
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 244
Saved at  : 2026-06-05 13:36:00
------------------------------------------------------------

[00:00.43]  这是各位入职柴司时
[00:02.20]  黑心老板配发的薄膜键盘
[00:04.37]  手感绵软 很难用
[00:06.43]  作为一群有追求的牛马
[00:07.93]  许多同事会自费改善“拉磨”环境
[00:10.53]  换一把机械键盘
[00:12.43]  其中策划小卡会常年更换
[00:14.13]  不同的机械键盘
[00:15.17]  是一个货真价实的“键盘侠”
[00:17.57]  他说机械键盘不止是“生产力工具”
[00:19.83]  还是一种“玩具”
[00:22.23]  而且虽然自己的键盘多 但都
[00:24.33]  很便宜
[00:25.23]  最贵的也不超过 1000 块
[00:27.27]  和那些动辄大几千上万一把
[00:29.47]  键盘的玩家不能比
[00:31.47]  所以我们就请他敲着自己的
[00:33.20]  拉磨工具来介绍一下
[00:35.07]  200 块和 8000 块的机械键盘
[00:36.97]  有什么区别
[00:37.97]  “键盘侠”们都在玩些什么
[00:46.53]  无论是贵的还是便宜的机械键盘
[00:48.57]  它们的基础结构都差不多
[00:50.37]  主要分为轴体 键帽和套件三个部分
[00:53.80]  其中轴体是机械键盘手感的核心
[00:56.27]  它本质上是个 Switch
[00:58.23]  开关
[00:59.57]  按下后 轴体后的触点相连导通触发
[01:02.40]  电脑就知道你按下了哪个键
[01:04.63]  目前几乎所有人都在用的轴体
[01:06.67]  是德国樱桃公司
[01:08.13]  也就是 Cherry 在上世纪 80 年代
[01:10.13]  设计的 MX 轴
[01:11.80]  Cherry 凭借 MX 轴体
[01:13.27]  “重新定义了”机械键盘
[01:14.93]  奠定了自己的历史地位
[01:16.63]  由于当年受专利保护
[01:18.03]  市场上只有樱桃一家公司生产轴体
[01:20.83]  其中最常见的是
[01:22.17]  黑 红 青 茶四种轴体
[01:24.37]  每颗价格在 2–3 元左右
[01:26.17]  其他更稀有的轴 价格也更高
[01:28.93]  但是 到了2014年
[01:30.23]  樱桃的专利
[01:31.33]  它过期啦
[01:32.73]  无数第三方轴体
[01:33.97]  如雨后春笋般冒了出来
[01:35.93]  像国产的凯华轴 佳达隆轴 TTC轴
[01:38.60]  都是 MX 轴
[01:40.00]  不少常见轴体的价格已经卷到了
[01:42.27]  每颗几毛到 1 块钱左右
[01:44.40]  手感也更加丰富多样
[01:46.80]  根据手感不同 轴体可以分为
[01:48.57]  段落轴和线性轴两大类
[01:51.00]  像青轴和茶轴 就是段落轴
[01:53.40]  段落轴是指在按下和回弹时
[01:55.67]  手指会感觉到有一段
[01:56.83]  明显的压力变化
[01:58.27]  这能让使用者更明确地知道
[02:00.07]  自己是否按下了某个键
[02:01.57]  以及防止误触
[02:02.87]  这正是许多文字工作者们
[02:04.63]  青睐段落轴的原因
[02:06.57]  不过很多段落轴在使用时会发出
[02:08.80]  “咔哒咔哒”的声音 很吵
[02:11.77]  所以后来又衍生出了
[02:13.33]  静音段落轴
[02:14.43]  以及近几年十分火爆的
[02:16.07]  提前段落轴
[02:17.20]  它们的声音会稍微小一些
[02:19.67]  而红轴和黑轴属于线性轴
[02:22.00]  它是指手指按下
[02:23.40]  到轴心触底的过程中
[02:25.13]  用的力是匀速上升的
[02:26.80]  没有突然的变化
[02:28.33]  像红轴这样的线性轴
[02:30.03]  通常触发压力更小
[02:31.23]  用起来更省力 噪音也更小
[02:33.43]  因此当年的爱好者们
[02:34.80]  称它为“退烧轴”
[02:36.57]  小卡当年就这么想过 用完之后
[02:39.27]  烧得更猛了
[02:40.93]  靠语言描述键盘手感
[02:42.53]  显然是纸上谈兵
[02:43.80]  这种“试轴器”也只能试
[02:45.57]  单个按键的手感
[02:46.93]  你最好还是找个完整的键盘敲一敲
[02:51.60]  如今的轴体设计和价格段
[02:53.27]  都已经很丰富了
[02:54.40]  比如最近几年十分流行的
[02:56.17]  提前段落轴
[02:57.07]  这种轴在刚按下时
[02:58.43]  就能感受到段落感
[03:00.00]  需要一定压力才能触发
[03:01.67]  而在触发后 又有一段类似于
[03:03.53]  线性轴手感的体验
[03:05.43]  不过价格也
[03:07.87]  不同轴体的制作材料 润滑
[03:09.73]  外观 声音等等
[03:11.13]  都可以从你本就不太厚实的钱包里
[03:13.67]  再掏一点儿出来
[03:15.03]  一些产量较低 用料较好的轴体
[03:17.47]  单颗可以卖到 3-4 块钱
[03:19.27]  甚至更贵
[03:20.67]  而一块机械键盘要用到
[03:22.37]  三四十到一百多颗轴体
[03:24.23]  那价格自然就
[03:27.20]  而在轴体之上
[03:28.13]  还有直接接触手指的“键帽”
[03:30.53]  这也是一个“丰俭由人”的项目
[03:32.80]  常见的键帽主要有
[03:33.93]  ABS 和 PBT 两种材料
[03:36.17]  其中ABS 键帽质地柔软 手感细腻
[03:38.83]  但不太耐用 容易“打油” 
[03:41.00]  像这 就是一位柴司同事
[03:42.67]  用了不到两个月的 ABS 键帽
[03:44.67]  已经油光满面了
[03:46.60]  MacBook自带的键盘也是 ABS 材质
[03:49.17]  有同事用了几年之后变成这样了
[03:52.43]  相比之下 PBT 键帽就更加耐用
[03:54.83]  容易清洁
[03:55.73]  但它的手感就没那么细腻
[03:57.47]  而且价格更高
