Title     : “体检十年”查不出癌症，癌症筛查还值得做吗？【柴知道】
Video ID  : ta4utFoTs3M
URL       : https://www.youtube.com/watch?v=ta4utFoTs3M
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 304
Saved at  : 2026-06-05 13:31:03
------------------------------------------------------------

[00:00.08]  你做过癌症筛查吗
[00:01.56]  体检的癌症筛查值得做吗
[00:04.08]  我们查了北京的几家体检机构和医院
[00:06.52]  只要加大概 200 块钱
[00:08.40]  就能在体检中加入癌症筛查套餐
[00:10.64]  排查这么多种癌症风险
[00:13.84]  但你可能也看到了新闻
[00:15.44]  有人连做了十年这样的体检套餐
[00:17.68]  都没提示异常
[00:19.08]  最后发现癌症
[00:20.04]  还被体检机构反呛一句
[00:22.00]  几百块不可能查出所有病
[00:28.20]  话都说成这样了
[00:29.40]  那我们就较较真
[00:31.00]  几百块的癌症筛查
[00:32.20]  是不是查不出癌症
[00:33.48]  要加多少钱才能提前发现癌症
[00:42.16]  直奔主题
[00:43.12]  体检机构卖的癌症筛查套餐
[00:45.36]  到底有没有科学依据
[00:47.48]  有
[00:48.80]  你看 这是柴司同事本期策划小卡
[00:51.20]  自己的癌症筛查体检报告
[00:52.96]  其中的甲胎蛋白 AFP
[00:54.92]  癌胚抗原 CEA 
[00:56.48]  还有这些不同的糖类抗原
[00:58.36]  都属于肿瘤标志物
[01:00.36]  体检时我们加钱买的癌症筛查套餐
[01:03.00]  主要就是通过检测肿瘤标志物
[01:05.08]  来筛查癌症
[01:06.44]  正常情况下
[01:07.24]  这些标志物要么
[01:08.32]  不该在你的血液中存在
[01:09.96]  要么含量极低
[01:11.56]  像 AFP CEA
[01:12.92]  都是胎儿体内细胞合成的物质
[01:15.28]  在我们出生后
[01:16.12]  它们的含量会迅速下降到很低的水平
[01:19.14]  但肿瘤细胞
[01:19.88]  由于失去了正常功能和分化特征
[01:22.24]  会变得更像胚胎细胞
[01:23.96]  从而再次合成它们
[01:25.16]  并释放到血液中
[01:26.92]  像结直肠癌
[01:28.04]  会让 CEA 含量异常增高
[01:30.36]  肝细胞癌变时 会产生大量 AFP
[01:32.92]  一些组织细胞癌变时
[01:34.36]  会合成大量的 CA 125
[01:36.08]  并释放到血液中
[01:37.74]  我们看了一下
[01:38.60]  只要涉及肿瘤检测
[01:40.28]  或者癌症筛查的体检套餐
[01:42.52]  CEA 和 AFP 检测基本是标配
[01:45.40]  操作也简单 抽血就能做
[01:47.32]  而且它们确实有科学依据
[01:49.60]  癌症会让你的血液中
[01:50.60]  出现原本不该出现的物质
[01:52.12]  不同癌症的标志物不同
[01:54.04]  只要检测出对应的物质
[01:55.36]  就能筛查出相应的癌症
[01:59.44]  很遗憾 没这么简单
[02:01.76]  因为这里有一个关键的问题
[02:03.62]  准确率
[02:04.76]  中学数学告诉我们
[02:06.04]  原命题成立
[02:07.36]  逆命题不一定成立
[02:09.48]  运用到现实中就是
[02:11.04]  除了癌症外
[02:12.12]  还有其他疾病
[02:13.44]  或者一切都正常
[02:14.72]  肿瘤标志物也可能升高
[02:17.16]  比如 CEA 是监测结直肠癌的
[02:19.06]  重要标志物
[02:20.00]  但吸烟 怀孕 肠炎 糖尿病
[02:22.12]  心血管疾病等等情况
[02:23.76]  都可能让 CEA 水平升高
[02:25.60]  那通过 CEA 监测癌症的准确性
[02:27.96]  到底如何呢
[02:29.08]  我们可以感受一下
[02:30.52]  CEA 一般以 5ng/mL 的
[02:32.52]  参考值为标准
[02:33.76]  根据这项 2014 年发表的研究
[02:35.76]  在 728 位做过切除直肠癌手术
[02:38.80]  且术后 CEA 水平超标的患者中
[02:41.08]  有 358 人
[02:42.48]  也就是差不多一半的患者
[02:43.96]  都属于假阳性
[02:45.76]  所谓假阳性
[02:46.64]  就是说他们的直肠癌根本没有复发
[02:49.40]  但体内 CEA 含量还是超标了
[02:51.64]  虚惊一场
[02:52.72]  而且这 358 人中有 247 人
[02:55.20]  都出现了多次假阳性结果
[02:57.44]  我们当然可以提高参考标准
[02:59.12]  来减少假阳性
[03:00.60]  但这也不保险
[03:02.08]  比如有人在常规体检时发现
[03:03.80]  CEA 水平高达 49.02ng/mL
[03:07.44]  最后发现只是胆囊炎
[03:09.48]  不过你肯定会想
[03:10.72]  在癌症这种生死攸关的问题上
[03:13.12]  不怕一万 就怕万一啊
[03:15.16]  虚惊一场也比查不出来好啊
[03:17.44]  再说哪有什么检测
[03:18.48]  是 100% 准确的呢
[03:20.12]  能起到预警作用就很好了
[03:22.46]  确实
[03:23.52]  但别急
[03:24.40]  我们来做一道经典的统计学题目
[03:27.16]  假如某项癌症筛查的真阳性率是 80%
[03:29.96]  假阳性率是 10%
[03:31.62]  也就是说
[03:32.32]  患癌人群有 80% 能通过筛查检出
[03:35.44]  健康人群有 10% 的概率错检为阳性
[03:38.44]  同时这种癌症
[03:39.32]  在 50 岁以上人群中的发病率是 1%
[03:42.60]  那么当 50 岁以上的你
[03:43.76]  检测为阳性的时候
[03:45.16]  真的患病的概率是多少
[03:48.24]  这里只需要用到我们小学二年级
[03:50.08]  就学过的贝叶斯定理
[03:51.44]  它能帮我们计算在几个已知条件下
[03:53.84]  一件事真正的发生概率有多少
[03:57.44]  其实我也没学过
[03:58.92]  那我们也可以用
[03:59.68]  小学一年级的知识来算
[04:01.52]  发病率 1%
[04:02.60]  意味着 10000 个人中有 100 位患者
[04:05.08]  10000 个人都去做了筛查
[04:06.60]  真患病的 100 人中
[04:08.12]  查出了 100×80%=80 个真阳性
[04:11.84]  没患病的 9900 人中
[04:13.20]  查出了 9900×10%=990 个假阳性
[04:17.32]  所以总共有 1070 个人检测出了阳性
[04:20.52]  但其中真正患病的只有 80 人
[04:23.12]  只占 7.5%
[04:25.04]  而且还漏掉了 20 个患者
[04:27.74]  这么低
[04:28.68]  不会是算错了吧
[04:30.28]  还是问问 AI 吧
[04:33.32]  还是只有 7.5%
[04:35.40]  也就是说在这个例子中
[04:37.04]  每 100 个阳性检测结果
[04:38.84]  有 90 多个都是假阳性
[04:41.64]  这个准确率怎么说呢
[04:43.16]  就跟柴司楼下那堆
[04:44.48]  一碰就响的电动车一样
[04:46.28]  预警倒是很积极
[04:47.52]  但全都是瞎嚎
[04:50.72]  当然 我们还是可以说
[04:52.32]  对待癌细胞就应该宁肯错杀一千
[04:54.84]  不能放过一个
[04:56.32]  没错 但问题又来了
[04:58.64]  有时候即使真患了癌症
[05:00.28]  肿瘤标志物也不一定会升高
[05:02.40]  这叫假阴性
[05:03.76]  也就是放过了真正的癌细胞
[05:05.48]  可能导致漏诊
[05:07.24]  还是以 CEA 为例
[05:08.36]  根据这项 2023 年发表的研究
[05:10.48]  同样以 5ng/mL 为标准
[05:12.44]  去监测结直肠癌复发情况
[05:14.68]  那只有约 59% 的真实复发
[05:17.20]  能被检查出来
[05:18.36]  AFP 也类似
[05:19.44]  如果以常见的 20ng/mL 作为参考值
[05:22.40]  那么约有 30%–40% 的肝癌患者
[05:24.92]  将会漏检
[05:26.00]  即使是肝癌晚期患者
[05:27.68]  也有 15%–30% 的 AFP 值
[05:30.36]  处于正常范围
[05:31.92]  如果像之前说的那样
[05:33.08]  为了降低假阳性率而提高参考值
[05:35.92]  那肯定又会提高假阴性率
[05:37.72]  增加漏检的情况
[05:39.20]  不过从统计学上看
[05:40.48]  倒不用太担心漏检
[05:42.36]  同样是一道统计题
[05:43.64]  假如一项检测
[05:44.56]  在患者群体中的假阴性率是 20% 
[05:47.48]  在健康人群中的真阴性率是 90% 
[05:50.28]  同时这种疾病
[05:51.04]  在 50 岁以上人群中的发病率是 1%
[05:54.08]  那么当你检测出阴性的时候
[05:55.88]  你其实已经患病的概率是多少
[05:59.36]  只有 0.22%
[06:01.32]  虽然不是 0 但确实不用担心
[06:04.28]  讲到这里我们大概了解了
[06:05.80]  体检时的肿瘤标志物筛查
[06:07.92]  虽然有科学依据
[06:09.44]  但它的假阳性率太高
[06:11.16]  以至于绝大多数都是误报
[06:13.20]  你很可能被阳性结果吓个半死
[06:15.04]  然后一通检查猛如虎
[06:16.56]  刷卡花了三千五
[06:17.92]  最后医生告诉你是虚惊一场
[06:19.76]  不如吃点鸡翅补一补
[06:22.08]  你将信将疑地回到家
[06:23.40]  夜里想到阳性结果
[06:25.16]  又失眠了
[06:26.96]  但不管怎么说 毕竟是癌症
[06:29.28]  哪怕是假阳性率再高
[06:30.88]  那年年坚持做
[06:32.44]  会不会也多多少少有一点作用呢
[06:37.56]  难说
[06:39.04]  比如我们看到的这项
[06:40.00]  2011 年发表的研究
[06:41.68]  研究人员把 78216 名
[06:44.16]  55–74 岁的女性分为两组
[06:46.56]  干预组每年定期做
[06:47.88]  卵巢癌肿瘤标志物 CA 125 的筛查
[06:50.56]  和经阴道超声检查
[06:52.12]  分别持续 6 年和 4 年
[06:53.92]  常规组则正常生活 不做额外检查
[06:56.40]  经过最长 13 年的观察后
[06:58.12]  发现两组中因卵巢癌的死亡率
[07:01.06]  差不多
[07:02.44]  这个尴尬的结果说明了
[07:04.04]  至少在这项研究中
[07:05.76]  年年做肿瘤标志物筛查
[07:07.00]  对于挽救生命来说
[07:08.68]  并没有什么用
[07:10.12]  对了这里要感谢
[07:11.20]  为本期视频提供了审核支持的老师
[07:13.84]  山东省肿瘤医院 张健鑫医生
[07:16.44]  他提醒我们注意
[07:17.26]  这篇文章中的另一个数据
[07:19.16]  在 3285 例假阳性结果中
[07:21.36]  有 1080 例都接受了手术
[07:23.96]  远远超过了真正诊断卵巢癌的人数
[07:26.76]  这很明确显示了假警报所带来的问题
[07:29.48]  过度治疗
[07:30.52]  而过度治疗是有代价的
[07:32.82]  请注意
[07:33.50]  这里的代价并不是单纯的经济成本
[07:36.30]  还包括患者在时间 心理
[07:38.38]  生活质量上所需要承受的代价
[07:40.66]  对医疗资源的占用
[07:41.82]  以及各种诊疗手段本身
[07:43.82]  所可能产生的伤害
[07:45.38]  如果患者和医疗系统付出了大量代价
[07:47.74]  产生的好处却微乎其微 甚至没有
[07:51.10]  那这样的检查可能只是自己吓自己
[07:54.02]  比如在美国曾在上世纪 80–90 年代
[07:56.28]  将前列腺癌标志物 PSA
[07:58.30]  列入体检项目
[07:59.46]  但大范围的 PSA 筛查
[08:01.18]  没有降低人群的总死亡率
[08:03.02]  还让一些患者遭遇了过度诊断
[08:05.18]  所以最终又把它踢了出去
[08:07.82]  讲到这里我们可以评价一下
[08:09.94]  几百块不可能查出所有病的言论了
[08:13.22]  确实有几分道理
[08:15.14]  多花那几百块去做肿瘤标志物筛查
[08:17.68]  确实没用
[08:18.74]  但如果你能在用户下单前
[08:20.58]  就把这句话弹出来
[08:21.90]  或者强制让用户必须看完本期视频
[08:24.78]  转评赞再下单
[08:26.34]  那岂不是更有说服力
[08:28.22]  最后 还剩下一个很重要的问题
[08:30.70]  既然体检时的肿瘤标志物筛查没啥用
[08:33.10]  那到底怎么才能相对准确地
[08:35.42]  筛查癌症呢
[08:36.82]  首先
[08:37.38]  说肿瘤标志物筛查没啥用
[08:39.18]  是说它作为体检的单独加项时没用
[08:42.42]  但在医院中结合其他诊疗手段
[08:44.34]  综合诊断癌症时
[08:45.78]  仍然是有用的
[08:47.00]  其次
[08:47.66]  说肿瘤标志物筛查没啥用
