Title     : “千兆路由器”的 Wi-Fi，为什么跑不到千兆？【柴知道】
Video ID  : JTH_H6hqqZw
URL       : https://www.youtube.com/watch?v=JTH_H6hqqZw
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 337
Saved at  : 2026-06-05 13:34:56
------------------------------------------------------------

[00:02.12]  2024 年
[00:03.08]  身处制造业高度发达的中国
[00:05.16]  只要花几十块钱
[00:06.20]  就能买到一个千兆路由器
[00:07.96]  让 Wi-Fi 轻松跑到千兆
[00:09.56]  是理所当然的
[00:11.44]  我之前就是这么想的
[00:13.16]  但研究了一下却发现
[00:14.72]  没那么简单
[00:16.12]  即使我办了千兆网
[00:17.44]  买了“千兆路由器”
[00:18.56]  Wi-Fi 也未必能跑到千兆
[00:20.76]  这是为什么呢
[00:22.40]  怎么才能让 Wi-Fi 满速
[00:31.72]  虽然本期的主题是路由器
[00:33.64]  但跟路由器相连接的很多设备
[00:35.52]  都会影响网速
[00:36.52]  我们可以挨个排查一下
[00:38.84]  互联网上的数据
[00:39.92]  会在光纤中以光的形式传播
[00:42.52]  在办了千兆套餐后
[00:43.76]  运营商会把预埋的光纤
[00:45.56]  从你家的弱电箱里引出来
[00:47.44]  并接入支持千兆的“光猫”
[00:49.82]  “猫”是 modem 的音译
[00:51.60]  它负责把光纤中
[00:52.80]  传输的光信号
[00:54.12]  变成能被各种数字设备
[00:55.84]  处理接收的电子数字信号
[00:58.16]  或者把你发出的数据
[00:59.96]  变成光信号发送出去
[01:01.96]  这就是它的本名
[01:03.24]  “调制解调器”的含义
[01:05.24]  猫基本都是运营商提供的
[01:07.36]  大部分运营商
[01:08.08]  会提供带“千兆网口”的猫
[01:10.16]  但你也可以问问运营商
[01:11.48]  能不能换 2.5G 网口的猫
[01:13.92]  因为为了保证网速达标
[01:15.64]  减少投诉量
[01:16.80]  运营商时常会给你的千兆宽带
[01:18.72]  多一些冗余
[01:20.32]  但如果你用的光猫
[01:21.64]  上限只有千兆
[01:23.04]  就无法充分利用这些冗余
[01:25.60]  接下来
[01:26.32]  你只要用一条网线
[01:27.56]  把“猫”转换好的信号
[01:28.88]  送进路由器就行
[01:30.68]  但请注意
[01:31.64]  只有超 5 类或以上的网线
[01:33.76]  才支持千兆网
[01:35.16]  网线规格一般都直接印在表面
[01:37.12]  你可以检查一下
[01:38.68]  路由器的屁股上
[01:39.60]  有 WAN 口
[01:40.16]  和 LAN 口两种接口
[01:41.80]  这里的 W 代表 Wide
[01:43.44]  “广域网接口”
[01:44.36]  负责跟外界的互联网相连
[01:46.48]  L 代表 Local
[01:47.68]  “局域网接口”
[01:48.52]  负责跟家里
[01:49.32]  其他需要上网的设备
[01:50.76]  比如机顶盒
[01:51.56]  电视
[01:52.08]  NAS 等相连
[01:53.64]  也有一些路由器
[01:54.48]  把 WAN 口和 LAN 口
[01:55.44]  合二为一了
[01:56.28]  你可以随便插
[01:58.24]  千兆路由器的 WAN 口
[01:59.48]  肯定支持千兆
[02:00.92]  LAN 口也基本都支持了
[02:03.00]  不过同样因为刚才提到的
[02:04.68]  冗余问题
[02:05.52]  你最好选择带 2.5G 
[02:07.48]  或更高规格 WAN 口的路由器
[02:10.50]  现在
[02:11.07]  用网线
[02:11.84]  把猫和路由器的 WAN 口相连
[02:14.08]  恭喜你
[02:14.84]  通网了
[02:17.04]  但此时你连接的 Wi-Fi 
[02:18.80]  仍然不一定是千兆
[02:20.44]  这是因为厂商对千兆的定义
[02:22.40]  跟你想的不一样
[02:24.56]  Wi-Fi 的本质是一种电磁波
[02:26.32]  目前的 Wi-Fi 
[02:27.34]  主要用 2.4GHz 
[02:28.66]  和 5GHz 两个频段
[02:30.60]  其实最新的 Wi-Fi 6E 
[02:31.92]  和 Wi-Fi 7 协议
[02:33.00]  还支持速度更快的
[02:34.48]  6GHz 频段
[02:35.84]  但中国目前的无线电管理政策
[02:38.04]  并不允许将 6GHz 频段
[02:39.64]  用于 Wi-Fi
[02:40.56]  所以我们短期内是用不上了
[02:43.00]  而且是否支持 6Ghz
[02:45.04]  就是Wi-Fi 6 
[02:45.92]  和 Wi-Fi 6E 的主要区别
[02:47.93]  这意味着
[02:48.60]  你不必为这个 E 花钱了
[02:50.64]  所以如今我们买到的路由器
[02:52.48]  大部分是“双频路由器”
[02:54.52]  它是指一款路由器
[02:55.52]  可以同时发出 2.4GHz 和 5GHz 
[02:58.36]  这两个频段的信号
[03:00.16]  但你手上绝大多数设备
[03:01.88]  都只能连接
[03:02.80]  这两个信号中的一个
[03:04.76]  我们随手找了一款产品
[03:06.24]  如果你连接它的 2.4GHz Wi-Fi
[03:08.68]  那么最高只有 300Mbps 的速度
[03:11.00]  5GHz Wi-Fi
[03:11.92]  最高也只有 867Mbps
[03:14.20]  这意味着单台设备
[03:15.52]  不管连接哪个信号
[03:16.72]  都不可能跑满千兆网速
[03:19.24]  那为什么还叫“千兆路由器”呢
[03:21.92]  因为它下面有这样一行小字
[03:24.20]  翻译成人话就是
[03:25.64]  如果你有多台设备
[03:27.44]  同时连接了 2.4GHz 和 5GHz 
[03:30.12]  两个 Wi-Fi 信号
[03:31.52]  加在一起最大速度
[03:33.16]  理论上可以达到
[03:34.52]  1000Mbps 以上
[03:35.96]  怎么
[03:36.76]  不满意
[03:37.80]  你就说是不是千兆吧
[03:40.20]  而且一些商品页面上
[03:41.64]  并没有写明
[03:42.44]  单个频段 Wi-Fi 的最高速度
[03:44.28]  需要跟我们一样
[03:45.36]  去问客服才能知道具体数据
[03:47.88]  同样地
[03:48.52]  那些 2000 3000Mbps 的路由器
[03:50.56]  也都是算的总和
[03:52.44]  顺便一说
[03:53.20]  很多 2000 3000Mbps 的路由器
[03:55.08]  配的同样是千兆 WAN 口
[03:57.04]  那为什么还说
[03:57.88]  自己的网速能超过千兆呢
[04:00.44]  其实就算你办了
[04:01.76]  3000Mbps 的网
[04:02.64]  只要路由器是千兆网口
[04:04.20]  那连接外网的速度
[04:05.56]  也无法超过千兆
[04:07.40]  厂商说的 3000Mbps
[04:08.68]  是说路由器和手机等
[04:10.48]  其他设备之间
[04:11.84]  两个频段的 Wi-Fi 协商速率
[04:13.89]  总和加一起
[04:15.00]  能超过 3000 兆
[04:16.52]  但这个速度
[04:17.40]  不是连接外网的速度
[04:19.20]  比如你的手机在连上 Wi-Fi 后
[04:21.00]  连接互联网的最高速率
[04:22.60]  还是只有千兆
[04:24.08]  只有通过 5Ghz 的 Wi-Fi 
[04:26.04]  连接同在局域网内的其他设备
[04:28.44]  比如 NAS 的时候
[04:29.79]  理论上才有可能超过千兆
[04:32.84]  怎么
[04:33.60]  不满意
[04:34.60]  你就说是不是 3000 兆吧
[04:36.88]  在路由器发射出的两个信号中
[04:38.96]  2.4GHz 信号的频率低
[04:41.08]  波长长
[04:41.72]  传输速度慢
[04:42.60]  干扰设备多
[04:43.84]  但绕墙能力强
[04:45.56]  而 5GHz 信号频率高
[04:47.48]  波长短
[04:48.16]  绕墙能力弱
[04:49.12]  但干扰设备少
[04:50.40]  而且传输速度快 
[04:52.36]  如果你希望单台设备
[04:53.88]  有机会用满千兆
[04:55.16]  那需要确保
[04:55.84]  你买的路由器的 5GHz 频段
[04:57.84]  最高能支持千兆以上的速度
[05:00.32]  这就是我们目前能用到的
[05:02.16]  最快的 Wi-Fi 频段了
[05:03.88]  2.4GHz 就别指望了
[05:06.44]  目前大部分路由器
[05:07.64]  还在设置中提供了一个
[05:09.32]  “双频合一”的选项
[05:11.36]  打开之后
[05:12.20]  两个不同频段的 Wi-Fi 名称
[05:13.96]  就会合二为一
[05:15.76]  这样做的好处是
[05:17.08]  当 Wi-Fi 信号强时
[05:18.84]  设备可以自动连接上
[05:20.08]  速度快的 5GHz 信号
[05:22.08]  而 Wi-Fi 信号弱时
[05:23.76]  又可以自动连接上
[05:24.96]  覆盖率广的 2.4GHz 信号
[05:27.20]  无缝漫游
[05:29.12]  但如果路由器本身技术一般
[05:31.12]  也可能在切换信号时
[05:32.80]  出现几秒断连
[05:34.08]  或者切换不及时的情况
[05:36.00]  而且你也不知道自己
[05:37.16]  到底连上了哪个 Wi-Fi
[05:39.08]  所以有些人会选择
[05:40.16]  关闭双频合一
[05:41.36]  然后把智能家居等
[05:42.64]  连在 2.4GHz Wi-Fi 上
[05:44.96]  手机 电脑等
[05:45.80]  连在 5GHz Wi-Fi 上
[05:47.48]  确保手机电脑
[05:48.48]  能以最快速度上网
[05:50.68]  对了
[05:51.36]  我们刚才说
[05:52.68]  你的绝大多数设备
[05:54.04]  都只能连接
[05:54.92]  这两个信号中的一个
[05:56.92]  一些见多识广的朋友
[05:58.36]  可能已经猜到了
[05:59.72]  这是因为最新的 Wi-Fi 7 
[06:01.28]  支持一种叫 MLO 
[06:03.20]  也就是“多链路运行”的技术
[06:05.56]  简单来说
[06:06.25]  就是之前的 Wi-Fi 
[06:07.47]  只能选一个频段的信号连
[06:09.39]  但 Wi-Fi 7 
[06:10.27]  支持用一台设备
[06:11.60]  同时接收
[06:12.45]  多个频段的 Wi-Fi 信号
[06:14.36]  相当于把几条通讯公路
[06:16.12]  并在一起用
[06:17.20]  充分利用带宽资源
[06:18.52]  可以实现更高的传输速度
[06:20.84]  不过前提是
[06:21.96]  这需要你的路由器
[06:23.32]  还有你手上的设备
[06:24.68]  全都支持 Wi-Fi 7 标准才行
[06:26.96]  由于 Wi-Fi 7 刚推出不久
[06:28.88]  所以不出意外的话
[06:30.04]  你应该凑不齐这套装备
[06:32.08]  当然
[06:32.76]  Wi-Fi 作为一种无线信号
[06:34.36]  难免受到干扰和阻隔
[06:36.00]  并且必然会有衰减
[06:37.84]  我在客厅里测速
[06:39.07]  跟在厨房里测速
[06:40.40]  结果能差出一倍
[06:41.90]  这才是影响 Wi-Fi 质量的
[06:43.31]  最重要因素
[06:45.04]  可惜
[06:45.84]  这方面我们能做的很有限
[06:48.52]  路由器芯片的功率越高
[06:50.24]  信号越强
[06:51.16]  但如果功率过高
[06:52.44]  就会干扰其他设备通讯
[06:54.40]  所以各国都会对路由器的发射功率
[06:56.36]  做出限制
[06:57.56]  在中国
[06:58.28]  路由器芯片的发射功率
[06:59.96]  最高不得超过 100mW
[07:02.36]  但在中国之外
[07:03.36]  美国 澳大利亚等国家所规定的
[07:05.24]  路由器发射功率上限更高
[07:07.84]  所以一些玩家会把自己的路由器
[07:09.60]  刷上国际版固件
[07:10.84]  再把地区改成澳大利亚等
[07:12.84]  相当于调高了功率
[07:14.44]  确实能让信号强一点点
[07:16.80]  不过这也需要软硬件支持才行
[07:19.08]  普通用户就没必要折腾了
[07:21.32]  至于路由器的天线
[07:22.92]  它只能改变 Wi-Fi 的传播方向
[07:25.32]  但不能改变信号的功率
[07:28.16]  而且路由器用的
[07:29.24]  基本都是“全向天线”
[07:31.08]  它不是“指哪儿打哪儿”
[07:32.56]  而是在水平方向上信号最强
[07:35.16]  所以把它直接指向某台设备
[07:37.04]  并不会让它的信号更好
[07:38.72]  甚至可能更差
[07:40.32]  一些路由器
[07:41.16]  没有露在外面的天线
[07:42.60]  也不代表信号不行
[07:45.24]  更重要的是
[07:46.16]  Wi-Fi 信号要“穿墙”
[07:47.84]  主要是靠多重反射后绕开墙体
[07:50.36]  而不是大力出奇迹直接干过去
[07:53.12]  在室内家庭环境下
[07:54.60]  与其摆弄天线
[07:55.76]  不如给路由器安排个好位置
[07:57.68]  让 Wi-Fi 信号少绕点路
[08:00.20]  如果您实在是家大业大
[08:02.04]  那就只能受累
[08:03.12]  在您家豪宅的其他房间里
[08:04.84]  再放几台路由器了
[08:06.48]  如果是同品牌的路由器
[08:08.20]  那它们之间还可以 Mesh 组网
[08:09.88]  让 Wi-Fi 信号遍布全家
[08:11.52]  无缝切换
[08:13.24]  懒得自己动手的话
[08:14.44]  欢迎付费找我们上门服务
[08:17.04]  对了
[08:17.72]  作为家里最牛马的设备之一
[08:19.84]  很多路由器
[08:20.48]  从买回家插上电的那一刻开始
[08:22.80]  就要连续不断地干活干到死
[08:25.00]  从来没有休息过
[08:26.68]  路由器不是人
[08:27.64]  但你是人
[08:28.88]  请遵循人道主义原则
[08:30.40]  给路由器安排一个
[08:31.56]  阴凉 通风好的环境
[08:33.40]  否则温度过高
[08:34.48]  路由器受不了
[08:35.36]  你的网络质量也稳定不了
[08:38.36]  最后
[08:39.04]  如果你做了种种努力
[08:40.60]  Wi-Fi 测速还是上不来的话
[08:42.60]  那我们只能劝你放宽心态
[08:44.56]  去看看我们之前讲
[08:45.76]  “千兆网的下载速度“
[08:46.84]  “为什么跑不满”的视频
[08:48.42]  然后发现一个让人惊喜的结论
[08:51.08]  没事的
[08:51.96]  就算测速能跑满千兆也没用
[08:54.16]  反正网站会给你限速的
[08:55.80]  差不多得了
[08:57.61]  下期见
[09:08.07]  你说这样真的有用吗
[09:10.10]  试试看呗
[09:14.08]  你说网速有变快吗
[09:15.73]  重要吗
[09:17.30]  该我了
[09:18.29]  来
