Title     : 【科普】鱼刺卡在喉咙里要怎么办？
Video ID  : VX5TOGV4RY8
URL       : https://www.youtube.com/watch?v=VX5TOGV4RY8
Language  : Korean (auto-generated) (ko)
Generated : Yes (auto-generated)
Snippets  : 22
Saved at  : 2026-06-05 14:35:37
------------------------------------------------------------

[00:02.95]  자주 답장 출시 다양 읽어 밥 한 덩이 너 영원히 쓰려고 거동 가지는
[00:07.75]  리코더 걸 알아서 너희 배달 하나님 형 red 파랑 매로 붉어 촘 정말
[00:12.82]  쿠션 너 볼텍스 질 억제제 관한 영어 배워요 0 1 회 3
[00:17.50]  또 자보 겁니다 5 초 매 기술을 화장 오지수 4강 의해 미세한 상상으로
[00:22.27]  소유로 이전에 태그를 설정 해 봐라 맞아서 죽어서도 소자 일수 보아
[00:26.80]  민요를 제후가 멤버들 요즘 하셔도 명승
[00:29.98]  옥보단 어머나 최선이 발생한 우리나 제 1 절 회복을 고무 다행이에요
[00:34.15]  거야 기 설득 3
[00:35.80]  나 주셔서 육식은 안보신 어떤 교재로 밥수저 구나 를 가장 n 봄 주
[00:41.08]  제닉 안 얻으신 어디서 못 고난이도 송송 박혀있는 느끼자 액션도 보아의
[00:46.69]  탄화된 2호 반 넘어 다져 보여 한창 4 네이션 3권 잔 하면서 르 꼭
[00:51.10]  매주 서슴 전하려 내 중계 입사 시험 코너에서 있어서
[00:54.07]  묶어진 있으나 사형 나는 뭐죠 달려가며 더스 녹 줘 나는 코 리복 안주도
[00:59.35]  먹고 언제
[01:00.19]  제시하지 더 재워 얘 놓고 벽 il-2 소재 석탄 전용
[01:04.00]  혼자 허 감사일기 졸다가 명 여자 혼자 나서 문래 책을 벽을 던진 원초
[01:08.83]  섀시 치고 간 어느
[01:11.73]  [음악]
[01:13.06]  회생과 토 자주 나 쫑 빛 인생 주다
[01:16.68]  [음악]
[01:19.24]  뭐
[01:20.87]  [음악]
