Title     : 一群草台班子，让 99% 的门禁卡都在裸奔：如何破解门禁卡？【柴知道】
Video ID  : cpGo6Dg66qk
URL       : https://www.youtube.com/watch?v=cpGo6Dg66qk
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 386
Saved at  : 2026-06-05 13:29:57
------------------------------------------------------------

[00:00.20]  这是物业卖你 20 的门禁卡
[00:02.20]  拿手机复制一张
[00:03.50]  只要 0 元
[00:04.50]  安全性
[00:05.40]  也是 0
[00:06.40]  我们研究了一圈后发现
[00:07.94]  不是针对谁
[00:09.38]  在座的从物业
[00:11.58]  到卡片商
[00:13.10]  全都是草台班子
[00:15.00]  在各位的共同努力下
[00:16.50]  所有门卡全都在裸奔
[00:18.94]  你用一个手机软件
[00:20.18]  或者几十块的机器
[00:21.58]  就能复制 99% 的门卡
[00:24.00]  当然
[00:24.60]  你也可能碰到过
[00:25.78]  有些门禁卡
[00:26.64]  没法儿复制
[00:27.70]  有些卡
[00:28.40]  复制了也刷不了
[00:29.98]  还有些更恶毒的卡
[00:31.34]  复制完一刷
[00:32.34]  原卡还居然失效了
[00:34.50]  这又是怎么回事
[00:35.58]  不同的卡
[00:36.38]  该怎么破解 复制
[00:37.94]  为什么说门禁卡的背后
[00:39.70]  全是草台班子
[00:45.04]  门禁卡
[00:45.74]  电梯卡
[00:46.34]  银行卡
[00:46.84]  公交卡
[00:47.50]  都是贴一下就能刷的
[00:48.84]  “NFC 卡”
[00:50.14]  它们都内置了一颗芯片
[00:51.54]  也就是“集成电路” 
[00:53.04]  IC
[00:53.64]  所以也叫 IC 卡
[00:55.64]  当卡片贴近读卡器时
[00:57.24]  卡里的线圈会在交变磁场中
[00:59.34]  产生感应电流
[01:00.38]  激活芯片
[01:01.54]  这时读卡器
[01:02.40]  就能跟卡片交流了
[01:04.34]  如果你去电商网站上搜一下
[01:06.20]  “IC 卡”
[01:06.54]  或者“门禁卡”
[01:07.58]  会发现它们都会提到一个词
[01:09.64]  “M1”
[01:10.84]  这里的 M1
[01:11.80]  是前身为飞利浦的
[01:13.38]  恩智浦（NXP）半导体
[01:14.38]  开发的 IC 卡产品
[01:16.04]  它诞生于 1994 年
[01:17.40]  是全世界最流行的 IC 卡
[01:20.10]  大概 2001 年
[01:21.38]  一些国产厂商
[01:22.58]  成功“复刻”了 M1 卡
[01:24.40]  之后海量便宜大碗的“兼容卡”
[01:26.58]  逐渐涌现
[01:27.84]  时至今日
[01:28.54]  你的校园一卡通
[01:29.70]  小区门禁卡
[01:30.58]  电梯卡
[01:31.18]  公司考勤卡
[01:32.18]  几乎全都是 M1 卡
[01:33.74]  或者它的“兼容卡”
[01:35.64]  关键就在于
[01:36.94]  M1 卡的安全性
[01:38.18]  已经几乎为 0 了
[01:40.70]  M1 卡中的 1
[01:41.58]  代表它只有 1K
[01:42.70]  也就是 1024 字节的存储空间
[01:45.54]  它们被划分成 16 个扇区
[01:47.24]  每个扇区包含 4 个数据块
[01:49.38]  门禁系统验证的
[01:50.58]  就是这些数据
[01:52.00]  我们只要读取数据
[01:53.30]  这张卡就被破解了
[01:54.50]  可以随便复制
[01:56.38]  在这 16 个扇区中
[01:57.60]  第 0 扇区的第 0 行
[01:59.08]  记录了 UID 
[01:59.98]  也就是卡号等信息
[02:01.50]  你可以把它理解为“用户名”
[02:03.00]  这一行完全不加密
[02:05.18]  现在
[02:06.28]  第一个草台班子来了
[02:07.74]  物业
[02:09.44]  大部分物业发的门禁卡
[02:10.94]  只用了第 0 层
[02:12.38]  就是门禁系统里
[02:13.30]  添加一张卡的 UID
[02:14.64]  之后只要读到这个 UID
[02:16.24]  就直接开门
[02:17.84]  相当于你上网都不用输密码
[02:20.00]  输个用户名就行
[02:23.00]  那这样草台的物业
[02:24.60]  占比有多少呢
[02:26.70]  我斥 80 元巨资
[02:28.04]  网购了一台机器
[02:29.24]  收集了 6 张柴司同事的小区门卡
[02:31.78]  挨个做了测试
[02:33.28]  结果是
[02:34.04]  其中 4 张
[02:35.00]  都只有第 0 行的 UID 有数据
[02:37.30]  其他部分完全没动
[02:39.00]  全都是 0
[02:40.54]  这种卡
[02:41.24]  就是“不加密卡”
[02:42.38]  可以随便复制
[02:43.60]  手机
[02:44.40]  额
[02:45.00]  iPhone 除外
[02:46.52]  只要读取到 UID 信息
[02:48.10]  写到模拟的新卡里
[02:49.52]  就行了
[02:50.86]  如果你想复制一张实体卡给家人用
[02:53.46]  那可以买一张几毛钱的
[02:54.86]  国产“魔术卡”
[02:56.46]  因为原厂 M1 卡的 UID 
[02:58.30]  是唯一且无法改写的
[03:00.16]  但“魔术卡”的 UID 
[03:01.50]  可以随意改写
[03:02.52]  可以伪装成任何卡
[03:04.50]  当然
[03:05.30]  有时候物业
[03:06.06]  也会在门禁卡里
[03:07.10]  附加一些其他信息
[03:09.02]  刚才说过
[03:09.92]  M1 卡的每个扇区
[03:10.96]  包含 4 个数据块
[03:12.22]  其中第一个数据块
[03:13.32]  叫“控制块”
[03:14.42]  有 Key A 和 Key B 
[03:15.62]  两个密钥
[03:16.36]  守护扇区中的信息
[03:18.42]  比如这张卡
[03:19.12]  就把发卡时间的信息
[03:20.70]  写在了加密的第 14 扇区中
[03:23.60]  那你猜
[03:24.36]  要怎么解开密钥
[03:25.92]  复制这张卡呢
[03:28.30]  别想得太复杂
[03:29.50]  不需要什么高科技手段
[03:31.40]  你根本就不用解密钥
[03:33.32]  因为它们用的是默认密码
[03:36.30]  没错
[03:37.12]  M1 卡有一些默认密码
[03:38.72]  其中最常见的
[03:39.90]  就是 FF FF FF FF FF FF
[03:41.52]  根据默认规则（FF 07 80 69）
[03:42.62]  只要知道其中的任意一个密钥
[03:44.56]  就能读写数据
[03:45.70]  修改密码
[03:47.20]  绝大多数物业
[03:48.36]  根本就不会去修改密码
[03:50.22]  所以压根谈不上什么破解
[03:52.60]  用常见的默认密码
[03:53.82]  甚至一个 FF 试一遍
[03:55.56]  就能读取 复制了
[03:56.92]  就是这么简单
[03:58.30]  大部分手机自带的
[03:59.32]  “钱包” App 都能做到
[04:01.26]  不过
[04:02.10]  也有一些手机的自带软件
[04:03.72]  并不想这么做
[04:04.60]  而是只复制公开的 UID
[04:07.00]  如果门禁系统需要验证 UID
[04:09.02]  加存储在数据块里的其他信息的话
[04:11.56]  那就刷不开门了
[04:13.20]  要解决的话也简单
[04:14.52]  Android 手机的话
[04:15.50]  找个像 MCT 
[04:16.60]  这种第三方软件就行
[04:18.80]  它们都内置了密码本
[04:19.96]  已经足以破解绝大多数门禁卡了
[04:23.20]  如果想要实体卡
[04:24.22]  或者是《尊贵》的 iPhone 用户
[04:26.30]  那还是买个设备加魔术卡就行了
[04:29.50]  5 分钟过去了
[04:30.70]  直到现在
[04:31.50]  我们根本就没有涉及到
[04:33.10]  什么“破解”
[04:34.36]  因为正如大家知道的那样
[04:35.96]  绝大多数物业
[04:36.96]  除了收物业费以外
[04:38.40]  对其他事上根本不上心
[04:41.02]  但有些情况下
[04:42.10]  物业也真的会给卡加密
[04:44.76]  比如柴司的设计师小姐姐
[04:46.22]  有一栋公寓的电梯卡
[04:48.20]  为了控制租客
[04:49.30]  只能进入对应的楼层
[04:50.90]  物业把相应的数据
[04:52.20]  写进了数据块中
[04:53.56]  而且改了对应区块的默认密码
