Title     : 不可能被封的“终极外挂”是如何被封的？DMA 还能死灰复燃吗？【柴知道】
Video ID  : jK6fVJjxyrg
URL       : https://www.youtube.com/watch?v=jK6fVJjxyrg
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 307
Saved at  : 2026-06-05 13:29:22
------------------------------------------------------------

[00:03.12]  这是你玩游戏时的画面
[00:05.64]  这是挂哥玩游戏时的画面
[00:07.58]  透视
[00:08.44]  自瞄
[00:09.68]  装备显示
[00:10.96]  敌人位置显示
[00:12.40]  全图物资显示
[00:13.56]  一应俱全
[00:15.04]  这些灵视拉满的开挂画面
[00:16.60]  是柴司小陈
[00:17.70]  在某公益科技辅助技术交流群里
[00:20.20]  卧底时看到的带货视频
[00:22.28]  货的名字叫 DMA
[00:23.72]  一类号称不可能被封的外挂
[00:26.24]  诶等等等等
[00:27.24]  现在 DMA 外挂不是照样会被封吗
[00:29.76]  啊 确实
[00:31.48]  在去年游戏反作弊系统升级之后
[00:33.32]  很多使用 DMA 的挂哥
[00:35.00]  喜提 10 年小黑屋
[00:36.84]  但 就在我们写稿的时候
[00:39.12]  技术交流群里的挂哥们
[00:40.48]  还在热烈地讨论分享
[00:42.24]  群公告里一连串外挂程序的版本更新
[00:44.88]  比游戏更新都要快
[00:46.80]  甚至不久前
[00:47.60]  还因为反反作弊的难度加大
[00:49.72]  狠狠涨了一波价
[00:51.68]  所以不可能被封的DMA外挂
[00:53.92]  是如何被封的
[00:55.24]  它还会死灰复燃吗
[00:57.24]  这一期的外挂攻防战 开始吧
[01:01.36]  和很多传统外挂
[01:02.50]  以及风灵月影等单机修改器一样
[01:05.00]  DMA 外挂本质上是一种内存挂
[01:07.60]  也就是通过访问电脑内存
[01:09.28]  来读取或修改游戏的后台数据
[01:12.00]  比如在 FPS 游戏中
[01:13.44]  服务器会把其他玩家的
[01:14.88]  坐标 动作发到你的游戏客户端
[01:17.32]  暂放在内存里
[01:18.48]  由游戏引擎来判断要不要显示
[01:20.96]  如果这个人就在你面前
[01:22.40]  那么就显示出来
[01:23.60]  如果中间隔了一堵墙 那就不显示
[01:26.28]  而内存挂可以绕过客户端
[01:28.36]  直接读取内存上的暂存数据
[01:30.66]  进行计算
[01:31.64]  这样哪怕中间有墙
[01:33.36]  也可以实现透视
[01:34.92]  为了降低服务器压力
[01:36.16]  提升游戏效率
[01:37.40]  很多游戏里的角色位置
[01:39.16]  血量 伤害 弹药变化等数据
[01:41.60]  都是由玩家的电脑在本地计算的
[01:44.08]  服务器只负责
[01:45.02]  关键数据的处理和检查
[01:46.88]  这么一来
[01:47.44]  就让内存挂有了充分的表演空间
[01:50.64]  比如只要叮一下 遍历玩家列表
[01:52.60]  就能在吃鸡时知道
[01:53.96]  周围还蹲了多少人
[01:55.48]  叮一下 筛选物品列表
[01:57.04]  就能在搜打撤时
[01:58.38]  瞬间锁定大红位置
[02:00.04]  再叮一下 修改武器参数
[02:01.68]  就能把初始步枪
[02:02.94]  魔改成无后座 无散布
[02:04.66]  无限连射的机关狙击枪
[02:07.56]  不过 在 PVP 网游里
[02:09.32]  服务器可以随时检查本地数据状态
[02:11.68]  如果一个角色的攻击力
[02:13.10]  突然从 5 变成了 9999
[02:14.88]  那服务器一查就知道你开了挂
[02:17.40]  所以很多网游外挂都只提供
[02:19.44]  透视 开图等信息获取类的作弊功能
[02:22.68]  只读内存不改内存
[02:24.28]  以提高作弊的隐蔽性
[02:26.08]  但再隐蔽
[02:27.16]  也会留下蛛丝马迹
[02:29.32]  如今很多游戏
[02:30.24]  都自带本地的反作弊系统
[02:32.32]  比如腾讯的 ACE
[02:33.52]  就会在游戏启动时
[02:35.00]  加载一个内核驱动程序
[02:36.76]  专门监控和阻止
[02:38.28]  可疑程序非法访问内存
[02:40.08]  同时不断扫描电脑上的异常行为
[02:42.24]  定位 隔离冒头的外挂程序
[02:44.72]  可以说只要外挂和游戏
[02:46.52]  运行在同一台设备上
[02:48.04]  就不可能完全隐身
[02:50.32]  那 如果不运行在同一台设备上呢
[02:53.60]  不就能躲过反作弊系统的追杀了吗
[02:56.26]  恭喜你
[02:57.04]  完全抓住了 DMA 外挂的精髓
[02:59.52]  DMA 外挂
[03:00.40]  是运行在另外一台设备上的
[03:02.96]  它看起来就是这样的一块
[03:04.44]  硬件电路板
[03:05.44]  往 PCIe 接口上一插
[03:07.24]  外挂就真的挂在了电脑外面
[03:09.64]  所以 DMA 外挂是一种硬件挂
[03:11.88]  开 DMA 的老哥
[03:12.96]  也被“亲切地”称呼为
[03:14.48]  板子哥
[03:15.56]  由于附身于另一套硬件
[03:17.08]  所以 DMA 外挂
[03:18.16]  不用像传统外挂那样
[03:19.44]  以软件形式访问内存
[03:21.20]  而是可以把自己伪装成
[03:22.64]  网卡 声卡等设备
[03:24.20]  以更合法可信的方式抄走数据
[03:26.84]  因为通过物理接口访问
[03:28.24]  访问权限更高
[03:29.36]  所以能绕开系统层的监控
[03:31.40]  因为没有在原操作系统上安装软件
[03:33.72]  所以能躲过反作弊扫描
[03:35.92]  因为所有的作弊数据
[03:37.12]  都跑在外部设备上
[03:38.52]  所以原设备不会留下
[03:39.92]  任何异常行为和作弊痕迹
[03:42.40]  于是 一款理论上
[03:44.08]  永远不会被封的终极外挂
[03:46.34]  诞生了
[03:48.66]  从 2020 年提出构想
[03:50.28]  到 2023 年 DMA
[03:51.78]  席卷各大主流游戏
[03:53.22]  网吧机房
[03:54.24]  越来越多的法外狂徒
[03:55.88]  加入了插板宗门
[03:57.40]  当合法玩家苦练游戏技术的时候
[03:59.68]  他们琢磨的
[04:00.52]  却是如何把挂开得更有技术
[04:04.52]  比如最入门的开挂套餐
[04:06.08]  是架设一台运行游戏的主机
[04:08.20]  和一台运行 DMA 外挂的副机
[04:10.44]  再给副机配台显示器
[04:11.84]  就可以看到墙后
[04:13.08]  所有玩家的人物骨骼
[04:14.92]  稍微进阶点的挂哥
[04:16.16]  会搞一台这样的融合器
[04:18.20]  它能把游戏画面
[04:19.32]  和外挂解析出的火柴人
[04:21.06]  叠加显示
[04:21.88]  模拟出透视效果
[04:23.60]  再进阶一点的挂哥
[04:24.84]  还会搞这样一台 KMbox
[04:26.80]  俗称键鼠盒
[04:28.32]  它能把自瞄外挂
[04:29.62]  也运行在外部硬件上
[04:31.00]  然后模拟成正常鼠标
[04:32.68]  重新接入游戏
[04:33.72]  实现枪枪爆头
[04:35.44]  更猖狂的挂哥
[04:36.48]  还会开上挂车带上老板
[04:38.44]  把一块板子的透视画面
[04:39.84]  分享给全队
[04:40.92]  借此牟利
[04:41.80]  美其名曰护航
[04:43.56]  坐挂车的老板不需要自己开挂
[04:45.32]  掏钱就能享受透视效果
[04:47.28]  就算挂哥被封也和自己无关
[04:50.16]  就这样在很长一段时间内
[04:52.20]  游戏官方拿 DMA 外挂
[04:53.94]  几乎毫无办法
[04:55.48]  使用键鼠盒的作弊行为
[04:57.12]  勉强还能通过
[04:58.12]  鼠标移动轨迹是否自然来检测
[05:00.64]  但如果挂哥
[05:01.50]  只开透视和装备物资显示
[05:03.80]  那真的没办法
[05:05.24]  无论是排查 DMA 固件特征
[05:07.16]  分析硬件内存访问模式
[05:08.96]  以及最朴素的
[05:10.20]  靠玩家游戏内举报来间接判断
[05:12.68]  都最多只能抓住个别挂哥
[05:15.00]  不光谈不上有效治理
[05:16.52]  甚至还会误封正常玩家
[05:18.64]  而且外挂的“研发团队”也没闲着
[05:21.12]  他们一会儿改进伪装方案
[05:22.56]  升级成一人一固件
[05:24.24]  一会儿扩大伪装范围
[05:25.60]  从伪装网卡
[05:26.60]  升级成伪装声卡 显卡 磁盘 打印机
[05:30.00]  几番切磋下来
[05:31.12]  DMA 外挂的排查难度
[05:32.48]  反而越来越高
[05:33.60]  不可能被封的名号越打越响
[05:35.84]  几乎所有板子哥都坚信
[05:37.52]  属于 DMA 的黑暗王朝
[05:39.36]  将永不落幕
[05:41.18]  然后
[05:41.92]  它就被封了
[05:43.68]  2025 年 7 月
[05:44.72]  DMA 外挂的重灾区
[05:46.24]  《三角洲行动》
[05:47.20]  突然上线了一套
[05:48.12]  CPU 虚拟化功能
[05:49.68]  号称能在原理层面
[05:51.30]  阻断 DMA 使用
[05:52.76]  它确实做到了
[05:54.04]  光是在 9 月初的一周内
[05:55.40]  它就揪出了
[05:56.26]  6.7 万人次的 DMA 作弊
[05:58.16]  36 万人次的坐挂车行为
[06:00.20]  一口气封禁了 6 万多台设备
[06:02.08]  一网下去全是鱼
[06:04.00]  更好笑的是
[06:04.86]  从去年八九月开始
[06:06.40]  如果你打开某海鲜交易平台
[06:08.56]  输入关键词不能玩
[06:10.44]  那么下面就会出现一串
[06:12.20]  不能玩三角洲的主板 固态 显卡
[06:14.80]  成色微瑕 价格美丽
[06:16.52]  至于为什么不能玩三角洲
[06:18.52]  这你别问
[06:19.72]  而这次 DMA 外挂
[06:20.84]  之所以马失前蹄
[06:22.52]  是因为游戏厂商启用了一项
[06:24.16]  全新的反作弊功能
[06:26.00]  IOMMU
[06:27.72]  它的原理并不难理解
[06:29.24]  它可以通过 Intel 的 VT-D 等功能
[06:31.48]  强制把内存切割成一个个小区域
