Title     : 人死之后会再社死一次吗？你在网上的秘密守得住吗？【柴知道：人生大题】
Video ID  : d0sB_AyFn54
URL       : https://www.youtube.com/watch?v=d0sB_AyFn54
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 229
Saved at  : 2026-06-05 13:39:20
------------------------------------------------------------

[00:02.90]  人 终将一死
[00:05.40]  并不是人人都怕死
[00:07.30]  不过
[00:08.30]  想想你的手机相册
[00:11.03]  聊天记录
[00:13.33]  浏览历史
[00:15.80]  QQ 空间
[00:18.17]  微博小号
[00:20.00]  现在怕了吗
[00:21.40]  汗流浃背了吗
[00:23.57]  有人害怕身体死亡后
[00:25.10]  还要再社死一遍
[00:26.80]  也有人害怕
[00:27.77]  自己在虚拟世界里的痕迹
[00:29.50]  会随着肉身一同消失
[00:31.57]  再也没人记得自己
[00:34.37]  你的恐惧是哪一种
[00:36.03]  死亡之后
[00:36.93]  你在虚拟世界里的财富 爱恨
[00:40.57]  不为人知的泪水 欢笑 癖好
[00:44.90]  又会被如何对待
[00:46.90]  你好
[00:47.57]  这是第一期的《柴知道：人生大题》
[00:53.77]  人 是一切社会关系的总和
[00:56.03]  虽然你可能没有意识到
[00:57.57]  但许多社会关系都和你的手机
[00:59.60]  社交账号紧密绑定
[01:01.73]  而死亡
[01:02.60]  就意味着这些社会关系
[01:04.17]  将要被最后一次审视
[01:06.60]  首先
[01:07.33]  手机是通往你虚拟人格的入口
[01:09.57]  那它能被合法解锁吗
[01:12.13]  如果你没跟其他人说过手机密码
[01:14.03]  也不是掌握国家
[01:15.37]  或地球机密的重要人物
[01:17.30]  那很可能无法解锁
[01:19.77]  比如根据苹果官方的说明
[01:21.33]  他们可以在家庭成员的要求下
[01:23.40]  把你的 iPhone 恢复成出厂设置
[01:25.37]  再交给你的亲属
[01:27.10]  这意味着亲属就算要接着用你的手机
[01:29.97]  也看不到其中的内容
[01:31.73]  使用安卓 鸿蒙等操作系统的手机也类似
[01:34.90]  如果不知道锁屏密码
[01:36.03]  那么只能得到手机的身体
[01:37.80]  但得不到它的灵魂
[01:39.83]  这是因为手机作为数码产品
[01:41.97]  属于“财产”的范畴
[01:43.57]  但手机里存储的内容
[01:45.10]  则属于“隐私”的范畴
[01:47.00]  就算去世了
[01:48.03]  隐私也会受到保护
[01:49.93]  记住这一点
[01:50.70]  我们在之后还会用到这一原则
[01:53.93]  对于不想社死的人来说
[01:55.40]  这可太好了
[01:56.83]  但也有人希望在身故之后
[01:58.63]  还能在世界上保留一些痕迹
[02:01.17]  那该怎么办呢
[02:02.93]  苹果和华为提供了类似的解决方案
[02:05.30]  “遗产联系人”或者叫“数字资产继承人”
[02:08.97]  如果你事先设置过
[02:10.23]  那么这位联系人
[02:11.17]  就能访问你存在云端的照片
[02:13.20]  备忘录等数据
[02:14.37]  多留一个念想
[02:16.03]  至于其他品牌
[02:17.23]  我们目前还没找到类似的功能
[02:20.20]  但如果你没有提前设置
[02:21.73]  那存在手机里的喜怒哀乐 人生片段
[02:24.80]  就要随着你的肉身一同消失了
[02:27.53]  这难免让很多人感到遗憾
[02:29.40]  但也会有很多人暗暗松了一口气
[02:32.60]  但 别高兴得太早
[02:35.10]  比如说
[02:35.93]  虽然照片等存在本地的内容
[02:37.90]  是抢救不回来了
[02:39.10]  但只要拔出手机卡 接收验证码
[02:41.37]  就能登录上你的一大堆社交平台
[02:43.83]  除了无法看到过往的聊天记录外
[02:46.00]  别的基本都能看到
[02:48.30]  如果有人对此感兴趣
[02:49.77]  那这个社死可能真的逃不过了
[02:53.00]  当然不少软件除了验证码之外
[02:54.90]  还需要通过人脸识别等方式
[02:57.00]  二次验证才能登录
[02:58.80]  而且一旦涉及转账 提现等操作
[03:01.30]  也需要单独的密码或人脸认证
[03:04.23]  所以最正规和一劳永逸的方法
[03:06.57]  不是验证码
[03:07.43]  而是通过法律获得“继承”权
[03:10.13]  那么 你的账号和金钱
[03:12.13]  能被别人继承吗
[03:14.53]  钱是肯定可以被继承的
[03:16.33]  因为它属于正儿八经的“遗产”
[03:18.80]  我国《民法典》规定
[03:20.00]  遗产是自然人死亡时
[03:21.77]  遗留的个人合法财产
[03:23.70]  越接近“财产”的东西就越容易被继承
[03:27.17]  比如有亲人想继承你的蚂蚁花呗
[03:29.57]  那他不用知道你的账户 密码
[03:31.43]  只需要直接联系客服 上传资料
[03:33.53]  就能申请继承
[03:35.50]  其中对于你的余额 理财
[03:37.13]  债务如何处置
[03:38.37]  都有详细的规定
[03:40.57]  微信或者 QQ 等软件里的钱也一样
[03:43.10]  只要对方有继承权
[03:44.37]  就可以根据指引继承你手机里的财产
[03:47.60]  但如果是一些不那么正经的“非常规财产”
