Title     : 从“垃圾围城”到“垃圾荒”，垃圾分类还有意义吗？【柴知道】
Video ID  : pgiytzK7ymU
URL       : https://www.youtube.com/watch?v=pgiytzK7ymU
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 290
Saved at  : 2026-06-05 13:31:11
------------------------------------------------------------

[00:00.28]  你最近可能看到过这样的视频
[00:02.04]  讲中国的垃圾不够用了
[00:03.84]  焚烧厂开始抢垃圾
[00:05.16]  埋了 20 年的垃圾都挖出来返工了
[00:07.68]  垃圾分类也不需要了
[00:09.84]  我们向来对这种一惊一乍的说法
[00:11.72]  都表示怀疑
[00:12.84]  垃圾真的会不够烧吗
[00:15.08]  而且这些故事里
[00:15.96]  还藏了另一个情绪点
[00:17.48]  既然什么都能烧
[00:18.72]  那垃圾分类是不是根本没必要
[00:21.28]  我们也对这些问题很好奇
[00:22.88]  但查光靠查资料还不够
[00:25.00]  所以我们找到了几位
[00:26.08]  垃圾处理行业的从业者
[00:28.00]  他们的回答果然很有料
[00:29.64]  我们的工作是变废为宝
[00:31.16]  不是报废
[00:32.08]  方向转了 转极了现在
[00:33.76]  老总得连夜跑路
[00:43.20]  我们直入主题
[00:44.40]  垃圾真的不够烧了吗
[00:47.44]  居然是真的
[00:49.24]  就说白了
[00:49.84]  现在垃圾存量不够了
[00:51.80]  我们市政的中转站
[00:53.04]  有些时候甚至是空转的
[00:55.20]  我们公司现在生活垃圾就不够烧
[00:57.64]  我们公司即使不满载
[00:59.44]  一天也需要 1400（吨）左右的
[01:01.28]  生活垃圾 
[01:01.92]  我们县级市清运过来的垃圾
[01:04.20]  日常在就 1400-1500（吨）
[01:06.60]  生活垃圾比如 1400（吨）
[01:08.04]  排出渗滤液再发酵
[01:09.76]  大概就剩 1100（吨）
[01:10.72]  所以垃圾是不够烧的
[01:12.56]  我们自己做了查证
[01:13.76]  发现统计数据也支持他们的说法
[01:16.48]  截至 2024 年底
[01:17.64]  我国的垃圾焚烧能力
[01:19.00]  已经达到了每年 3.88 亿吨
[01:21.48]  但是全国城市的生活垃圾总清运量
[01:24.32]  只有 2.62 亿吨
[01:25.68]  确实不够烧
[01:27.00]  甚至有焚烧厂的设计处理能力是
[01:28.88]  每年 21.9 万吨
[01:30.80]  但实际处理量只有 5 万吨出头
[01:33.72]  但还有一个问题
[01:35.08]  垃圾多就多烧一点
[01:36.72]  垃圾少那就少烧一点呗
