Title     : 公章这么好伪造，用假公章赖账可刑吗？【柴知道】
Video ID  : ju93PYCpQng
URL       : https://www.youtube.com/watch?v=ju93PYCpQng
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 185
Saved at  : 2026-06-05 13:42:48
------------------------------------------------------------

[00:00.48]  在生意场上混
[00:02.02]  谁不需要学习一些商战技巧呢
[00:05.04]  有经理划破对手共享单车的
[00:07.92]  有董事长翻进对家厂区偷拍专利
[00:11.52]  还有创始人跟老婆闹掰了
[00:13.73]  带着四名壮汉
[00:15.02]  抢走了几十枚公章 财务章
[00:17.52]  然后天天把公章别在裤腰带上
[00:20.88]  看到这个新闻之后
[00:22.46]  柴司的老板很疑惑
[00:24.86]  为啥还要抢公章
[00:26.45]  直接刻几个 “萝卜章” 不行吗
[00:28.37]  如果我刻得好
[00:29.62]  我用假公章签合同事后赖账
[00:32.00]  阁下将如何应对
[00:34.30]  所以老板就授意我
[00:35.67]  帮他研究一下这些问题
[00:45.47]  研究这个问题的第一步
[00:47.26]  是看看这样一枚普普通通的公章
[00:49.31]  是不是真的很好伪造
[00:51.23]  萝卜章好不好刻
[00:53.53]  根据规定
[00:54.49]  公章在大小 文字排列
[00:56.67]  字体 编码等细节上
[00:58.46]  都有明确的要求
[01:00.32]  比如企业事业单位的印章直径
[01:02.43]  不能大于 4.5 cm
[01:04.41]  五角星外的单位名称
[01:05.82]  要自左而右环行 而且是宋体
[01:08.96]  所以如果你看到一个印章
[01:10.56]  它大得离谱
[01:11.90]  或者和其它规定对不上
[01:13.82]  那就要留个心眼儿了
[01:16.19]  但如果万恶的资本家
[01:17.66]  也跟我们一样查了规定
[01:19.45]  注意到了所有这些细节
[01:21.44]  刻了一个能以假乱真的萝卜章
[01:24.00]  那你还能分辨吗
[01:26.40]  emm...很蓝的啦
[01:28.96]  确实没什么好办法
[01:30.69]  刻章毕竟不是什么高科技工作
[01:33.06]  更重要的是 就算是能分辨
[01:35.88]  清纯的你也很少会怀疑
[01:37.60]  面前的章就是个假章
[01:40.10]  比如 2022 年 就有一家叫
