Title     : 出口量第1 VS 关税壁垒，中国车出海怎么走？【柴知道：车圈化简】
Video ID  : IW7BjNXgNBs
URL       : https://www.youtube.com/watch?v=IW7BjNXgNBs
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 309
Saved at  : 2026-06-05 13:34:34
------------------------------------------------------------

[00:00.13]  2023 年 7 月的前两周
[00:02.03]  理想汽车发现
[00:02.87]  自家的交付量和上险量
[00:04.60]  相差了 200 多辆
[00:06.17]  这是怎么回事呢
[00:07.77]  一番调查发现
[00:08.73]  原来这 200 多辆车
[00:09.97]  是被别人“出口”了
[00:11.77]  因为理想目前
[00:12.80]  根本就没有海外业务
[00:14.33]  这些新车是被私人买下来后
[00:16.40]  不用上路
[00:17.43]  直接以二手车的名义
[00:18.77]  倒手卖到了中东 中亚
[00:20.33]  等海外地区
[00:22.00]  你可能听说过
[00:22.97]  这种把新车当成二手车
[00:24.83]  转卖到海外的做法
[00:26.17]  叫做“平行出口”
[00:28.10]  它之所以能成为一门生意
[00:29.57]  是因为中国车的性价比太高
[00:31.80]  一些外国消费者即使加价
[00:33.60]  还没有售后
[00:34.50]  也愿意买中国车
[00:36.40]  在整个 2023 年
[00:37.60]  中国出口了 491 万辆新车
[00:40.03]  超过日本
[00:40.77]  首次成为世界第一
[00:42.73]  其中新能源车出口量
[00:43.97]  相比 22 年直接翻倍
[00:45.60]  达到了 120.3 万辆
[00:47.57]  哪怕扣除掉 30 多万辆
[00:49.10]  在上海生产的特斯拉
[00:50.63]  也还剩 80 万辆
[00:52.53]  正如马斯克所说的那样
[00:54.00]  如果没有贸易壁垒
[00:55.40]  中国电动车企
[00:56.33]  能摧毁世界上
[00:57.37]  大多数竞争对手
[01:06.37]  那你 flag 都立成这样了
[01:08.00]  怎么可能没有贸易壁垒呢
[01:10.01]  而这最终会重塑中国汽车的
[01:12.58]  “出海生态”
[01:14.39]  那么把中国车卖到全世界
[01:16.17]  有哪些方式
[01:17.20]  为什么中国车的出口量
[01:18.53]  已经是世界第一
[01:19.80]  但出海之路才刚刚起步
[01:22.57]  欢迎收看这一期的
[01:23.59]  《车圈化简》
[01:31.57]  先看我们刚才说到的“平行出口”
[01:33.50]  它属于一种半灰色的出海方式
[01:35.93]  而且中亚未必是这些车的终点
[01:38.63]  许多车会从通过
[01:39.50]  比什凯克 阿拉木图等中亚城市
[01:41.83]  再转运到俄罗斯
[01:43.50]  因为俄罗斯等 5 国
[01:44.43]  组成了“欧亚经济联盟”
[01:46.00]  这么倒一手
[01:46.83]  能比直接运往俄罗斯
[01:48.23]  少交 10 个点的税
[01:50.10]  中国汽车在海外的
[01:51.17]  最大买家之一是俄罗斯
[01:52.70]  同时俄罗斯也是平行出口
[01:54.60]  最主要的目的地
[01:56.17]  在 2023 年
[01:57.17]  光是通过平行出口到俄罗斯的中国车
[01:59.80]  就有 19.1 万辆
[02:01.33]  占俄罗斯汽车销量的 1.7%
[02:04.37]  但通过中亚转运来避税的 bug 
[02:06.83]  在 2024 年被堵上了
[02:09.03]  俄罗斯出台新规
[02:10.13]  通过中亚平行出口到俄罗斯的车
[02:12.40]  需要补交税费
[02:14.03]  同时不管哪里的车进口到俄罗斯
[02:16.17]  都要缴纳一笔“车辆报废税”
[02:18.50]  从 2024 年 10 月 1 日起
[02:20.03]  这笔税率将上涨 70%-85%
[02:23.60]  这都意味着“平行出口“的成本暴涨
[02:25.97]  难以为继
[02:27.43]  当然
[02:28.03]  平行出口本来就是灰色地带
[02:29.97]  中国车目前最重要的
[02:31.37]  正经的出海方式
[02:32.73]  是“整车出口”
[02:34.23]  我们在视频开头列的这些数据
[02:36.00]  基本都是“整车出口”
[02:37.60]  它非常简单
[02:38.43]  就是我们先在国内把车造好
[02:40.43]  然后卖到全世界
[02:42.07]  它的优势
[02:42.83]  是能凭借中国完备的汽车产业链
[02:45.03]  和高效的制造能力
[02:46.40]  获得成本优势
[02:48.37]  但问题是
[02:49.20]  在“整车出口”的模式中
[02:51.10]  造车的技术在中国
[02:52.30]  上下游产业链在中国
[02:53.90]  创造出的工作岗位还在中国
[02:55.97]  卖出去车还抢占了当地车企的市场
[02:59.00]  那就
[03:00.30]  纯赚外汇啊
[03:02.50]  很显然
[03:03.17]  没有谁愿意把自己的市场
[03:04.53]  拱手交出来
[03:05.57]  所以“整车出口”
[03:06.60]  正面对着越来越高的贸易壁垒
[03:09.43]  2024 年 10 月
[03:10.40]  欧盟最终决定
[03:11.60]  对从中国进口的电动车（BEV）
[03:13.20]  征收为期五年的最终反补贴税
[03:15.80]  比亚迪
[03:16.43]  吉利
[03:16.73]  上汽
[03:17.23]  在原本 10% 的关税基础上
[03:19.53]  被额外加征 
[03:20.46]  17%-35.3% 不等的反补贴税
[03:24.37]  这意味着中国
[03:25.17]  在欧洲销量最高的上汽
[03:27.20]  成本将会原地提高一半
[03:30.20]  只有特斯拉被放过一马
[03:31.40]  只需要交 7.8% 的关税
[03:33.43]  当然
[03:34.10]  如果硬扛的话
[03:35.30]  中国车企也能消化这些税
[03:37.97]  比如比亚迪在欧洲
[03:39.20]  最畅销的车型
[03:40.29]  是 Atto 3
[03:41.43]  售价大约 3.8 万欧元
[03:43.20]  Atto 3 在国内的对应车型
[03:44.90]  其实就是元 Plus
[03:46.33]  售价 15 万人民币左右
[03:48.23]  二者价格相差一倍还多
[03:50.33]  上汽在欧洲最畅销的车型
[03:52.23]  是 MG4 EV
[03:53.53]  起售价能达到 2.8 万欧元
[03:55.83]  而国内优惠后的最低售价
[03:57.40]  不到 11 万
[03:58.40]  价格同样相差一倍还多
[04:00.80]  所以即使成本原地抬高一半
[04:03.00]  也有利润
[04:03.80]  不过当然并不能
[04:04.95]  就这么默默地认了
[04:06.20]  毕竟加税会大幅蚕食
[04:07.77]  中国汽车的竞争力和利润
[04:09.83]  商务部正在努力跟欧盟磋商
[04:11.73]  有消息说取得了一些进展
[04:13.50]  我们也希望
[04:14.30]  最终能找到双赢的解决方案
[04:16.90]  但这还只是欧洲
[04:18.03]  在世界的其他地方
[04:19.30]  还有更不讲武德的玩家
[04:21.50]  比如美国从 2024 年 9 月起
[04:23.57]  直接把来自中国的电车关税
[04:25.60]  加到了 100%
[04:27.47]  不过目前各国加税
[04:28.93]  主要针对的
[04:29.70]  都是“整车进口”
[04:31.00]  还没有涉及到车上的零件
[04:33.13]  那如果是把车拆成一个个零件
[04:35.20]  运到海外再去组装
[04:36.97]  不就可以在一定程度上
[04:38.40]  规避高额关税了吗
[04:40.03]  这种方式
[04:40.90]  叫做“散件出口”
[04:42.93]  更细致地说
[04:43.80]  如果把车拆解成
[04:44.93]  发动机总成
[04:45.77]  底盘总成
[04:46.53]  车身总成等几大部分
[04:48.23]  那就是“半散件”出口
[04:49.50]  SKD
[04:50.70]  如果拆成数千个
[04:51.87]  大大小小的零部件
[04:53.10]  那就是“全散件”出口
[04:54.60]  CKD
[04:55.73]  散件出口
[04:56.43]  也是常见的汽车出海方式
[04:58.30]  虽然只是在当地组装
[04:59.97]  但要把上千个零部件
[05:01.33]  组装起来并不简单
[05:02.97]  所以哪怕是组装厂
[05:04.57]  也能带动当地的汽车工业发展
[05:06.63]  而且回头来看
[05:07.77]  中国的汽车工业
[05:08.80]  也曾受益于这种模式
[05:10.97]  比如早在 1984 年
[05:12.30]  广州汽车厂就跟日本丰田合作
[05:14.63]  以全散件进口的模式
[05:16.20]  组装过丰田的之花轻卡
[05:18.40]  之后广汽跟丰田的合作
[05:19.67]  愈发紧密
[05:20.37]  并逐步建立了自己的汽车体系
[05:23.23]  在 40 年之后的 2024 年
[05:24.97]  广汽又在吉隆坡
[05:26.23]  建立了自己的第一个
[05:27.40]  海外 CKD 项目
[05:29.03]  只是这一次
[05:30.00]  中国厂商
[05:30.85]  成为了提供技术
[05:31.94]  和就业岗位的那一方
[05:34.10]  近年来不少中国车企
[05:35.53]  都在东南亚地区
[05:36.73]  以 CKD 的形式
[05:37.90]  迈出了出海的步伐
[05:39.37]  甚至在欧洲也有布局
[05:41.50]  比如这款挂着
[05:42.40]  “SportEquipe”的车
[05:43.80]  其实就是国内的瑞虎 8
[05:45.90]  它就是奇瑞跟意大利的经销商
[05:48.17]  DR Automobiles 合作
[05:50.10]  以 CKD 的方式在意大利组装的
[05:53.10]  相比于车去钱回的整车出口
[05:55.60]  拼装出口的方式
[05:56.60]  能带动当地汽车产业的发展
[05:58.60]  给当地提供就业机会
[06:00.20]  所以在关税上
[06:00.97]  不会卡的那么严
[06:02.60]  像欧盟的新规
[06:03.63]  就只针对来自中国的电动新车
[06:06.03]  目前并不会对汽车零件加税
[06:09.03]  但这只是目前
[06:10.53]  只要是出口
[06:11.33]  就永远无法消除
[06:12.63]  贸易壁垒的风险
[06:14.40]  所以把中国车卖到全世界
[06:16.10]  绕过贸易壁垒最终方案
[06:17.90]  不是出口
[06:18.70]  而是海外建厂
[06:20.03]  彻底本地化生产
[06:21.77]  让中国车
[06:22.47]  像麦当劳和肯德基一样
[06:24.17]  融入全世界人民的生活
[06:26.50]  这就如同你在中国
[06:27.57]  看见一辆宝马
[06:28.50]  那它来自沈阳
[06:29.57]  看见一辆丰田
[06:30.53]  那它来自广州
[06:31.77]  看见一辆特斯拉
[06:32.77]  那它来自上海
[06:34.23]  它们的供应商
[06:35.13]  生产线
[06:35.63]  技术团队
[06:36.20]  销售团队
[06:37.10]  都是中国人
[06:38.23]  最后再卖给中国的消费者
[06:40.53]  对于沈阳来说
[06:41.60]  你说宝马是本地车
[06:43.20]  或者外国车
[06:44.23]  都行
[06:45.63]  所有的跨国车企和汽车强国
[06:47.77]  最终都得走本地化生产的路
[06:50.33]  比如我们开头提到
[06:51.40]  日本在 2023 年的汽车出口量
[06:53.43]  已经被中国超越了
[06:55.00]  但日系车的主要出海方式
[06:57.13]  并不是出口
[06:58.70]  在 2023 年
[06:59.63]  日本国内的汽车产量是
[07:01.23]  900 万辆
[07:02.13]  但海外产量
[07:03.07]  却高达 1751 万辆
[07:05.00]  接近两倍
[07:06.43]  这意味着绝大多数
[07:07.70]  海外的日系车
[07:08.80]  并不是从日本国内出口的
[07:10.90]  而是在海外生产 销售
[07:13.70]  单看丰田一家
[07:14.60]  它在 1995 年的出口量
[07:16.20]  就已经不到海外销量的一半了
[07:18.57]  这意味着丰田把自己的工厂
[07:20.40]  盖满了地球
[07:21.37]  完成了真正的国际化布局
[07:24.20]  不光是日本
[07:25.13]  德国大众
[07:25.90]  宝马
[07:26.33]  奔驰御三家的本土产量
[07:27.93]  是 369 万辆
[07:29.43]  海外产量高达 1001 万辆
[07:32.17]  美国御三家
[07:33.00]  通用
[07:33.33]  福特
[07:33.63]  特斯拉的海外产量
[07:34.83]  746 万辆
[07:36.30]  同样接近本土产量的两倍
[07:39.23]  所有这些汽车强国
[07:40.50]  都是把自己的汽车产业链
[07:42.20]  掺进了全球的经济体系中
[07:44.13]  无法剥离
[07:45.53]  所以出口量世界第一
[07:46.97]  并不是出海的巅峰
[07:48.57]  只是下个篇章的开始
[07:50.50]  在这方面
[07:51.30]  中国车企已经起步
[07:53.23]  但也才刚刚起步
[07:54.93]  奇瑞 比亚迪 长城 上汽
[07:56.77]  过去两年
[07:57.33]  都在海外建立了自己的整车厂
[08:00.10]  所以最后
[08:00.83]  我们还可以再引用一句马斯克
[08:03.10]  他说
[08:03.67]  未来全球的十大车企
[08:05.13]  会是特斯拉
[08:06.10]  和 9家中国车企
[08:07.77]  如果真有这一天
[08:09.10]  那中国的汽车工厂
[08:10.40]  不能只在中国
[08:11.77]  而要遍布全球
[08:13.70]  下期见
