Title     : 别再问我什么是AI：10分钟速通AI黑话，这次终于能看懂AI新闻了【柴知道】
Video ID  : G4rBAWNYNsQ
URL       : https://www.youtube.com/watch?v=G4rBAWNYNsQ
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 474
Saved at  : 2026-06-05 13:32:26
------------------------------------------------------------

[00:00.04]  最近这两年
[00:00.88]  我们每天早上
[00:02.08]  都被各种 AI 新闻“引爆“
[00:03.84]  看各家 “突发”
[00:04.92]  “AI 神器”和“神秘项目”
[00:06.96]  只见它们纷纷“火力全开“
[00:08.72]  “刷爆记录”
[00:09.48]  “迅猛爆发“
[00:10.64]  让我们天天“狂喜”
[00:12.00]  然后一边“见证历史”
[00:13.76]  一边点开新闻
[00:14.96]  心里暗暗思量
[00:17.44]  字我都认识
[00:19.24]  但你们到底在说什么啊
[00:22.04]  各家博主的文章里都堆满了
[00:23.68]  不明觉厉的专业名词
[00:25.12]  让我们自惭形秽
[00:26.28]  一脸懵逼
[00:27.36]  只好鬼鬼祟祟地掏出 AI
[00:29.36]  问问这些名词到底是啥
[00:31.32]  但由于缺乏配套的知识体系
[00:33.04]  往往问了也似懂非懂
[00:34.60]  下次看到又不知道在说什么了
[00:36.84]  如果你也有类似感受
[00:38.12]  又想在这些一惊一乍的新闻里
[00:40.16]  学点正经知识
[00:41.72]  那在这期视频里
[00:42.72]  我们会跟你一起在头脑中
[00:44.84]  建立这样一个关于大模型的基本框架
[00:47.84]  它包含大模型工作时的运作流程
[00:50.00]  以及大模型训练时
[00:51.60]  预训练
[00:52.08]  后训练
[00:52.84]  强化学习的基本流程
[00:54.96]  在讲述这个框架的同时
[00:56.28]  我们会介绍每个环节中
[00:58.28]  涉及到的常见概念
[00:59.72]  这样在看完之后
[01:00.76]  不光能搞清这些名词的含义
[01:02.88]  还能知道一些关于大模型的基础知识
[01:05.96]  比如一些不正经的大模型
[01:07.76]  到底是怎么练出来的
[01:09.32]  AI 究竟是复读机
[01:10.44]  还是有灵魂等等
[01:12.24]  开始吧
[01:19.84]  你手机上的 Deepseek 
[01:21.08]  豆包
[01:21.52]  ChatGPT
[01:22.32]  Gemini
[01:22.88]  本质上都是“大语言模型” LLM
[01:25.96]  我们会把它们当成一个个大脑
[01:27.72]  跟它对话
[01:28.96]  当你找它聊天时
[01:30.24]  你的话就是 Prompt
[01:31.80]  提示词
[01:32.96]  它们会被“分词器”
[01:34.24]  切分成这样的一个个 Token
[01:36.44]  Token 是大模型理解内容的最小单元
[01:39.16]  每个 Token 都对应着一个数字
[01:41.32]  叫 Token ID
[01:42.88]  大模型的任务
[01:43.84]  就是算出在这串 token 序列后
[01:46.16]  应当续写哪些 token
[01:48.60]  为了完成这个任务
[01:49.64]  大模型们普遍采用了
[01:50.84]  Transformer 架构
[01:52.28]  它采用了“自注意力机制”
[01:53.92]  能很好地捕捉上下文之间的关联
[01:57.16]  在计算的时候
[01:58.12]  大模型会一个 token 
[01:59.32]  一个 token 地算
[02:00.64]  每次计算它都会把新生成的 token
[02:03.00]  加入到原有的 token 序列
[02:04.64]  再投入进模型中
[02:05.96]  算出下一个 token
[02:07.36]  再把它加入 token 串
[02:08.68]  再投入大模型
[02:09.80]  再算出下一个 token
[02:11.72]  如此循环往复
[02:13.04]  大模型就会输出一个
[02:14.28]  长长长长的回答
[02:16.24]  所以说大模型计算的本质
[02:18.40]  就是在不断地“续写” token 串
[02:20.52]  在使用大模型的时候
[02:21.72]  你可能会开“联网搜索”
[02:23.40]  也有一些教程会教你
[02:24.68]  外挂一个私人知识库
