Title     : 医保DRG改革来了！它能让你安心看病吗？【柴知道】
Video ID  : EBPa55o29U4
URL       : https://www.youtube.com/watch?v=EBPa55o29U4
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 313
Saved at  : 2026-06-05 13:38:57
------------------------------------------------------------

[00:00.80]  每一个自由而不羁的灵魂
[00:02.52]  背地里都舍不得放弃医保
[00:04.92]  我国 95% 的人都有医保
[00:06.76]  你去医院看病
[00:07.76]  医院给你做检查
[00:08.92]  开药
[00:09.48]  然后医保基金给医院
[00:10.84]  按比例报销
[00:12.00]  剩下的由你自负
[00:14.04]  但回想一下这套流程
[00:15.80]  如果医院给你多做一些
[00:17.28]  没必要的检查
[00:18.32]  多开一些没必要的药
[00:19.80]  你能判断出来吗
[00:21.48]  你判断不出来
[00:22.92]  因为医疗行业是一种特殊的
[00:24.72]  “非标准服务”
[00:25.88]  医生和患者之间
[00:27.00]  存在严重的信息不对称
[00:28.92]  就算有意多开药多做检查
[00:30.96]  你也不知道
[00:32.36]  但就会浪费医疗资源
[00:33.96]  增加你和医保基金的支出
[00:36.56]  这种情况只是少数
[00:38.16]  但医保基金的压力一直很大
[00:40.68]  从 2009 到 2017 年
[00:42.48]  我国的卫生总费用
[00:43.60]  增加了近 200%
[00:45.52]  为了应对逐渐失控的医保费用
[00:47.56]  新的医保报销制度
[00:48.88]  DRG 和 DIP
[00:50.28]  登场了
[00:51.56]  它们能帮助医保控费
[00:53.16]  但又引起了一些新的争议
[00:55.16]  很快它就会在全国铺开
[00:56.72]  影响我们每一个人
[00:58.91]  那么 DRG 和 DIP 是什么
[01:00.84]  它怎么帮医保省钱
[01:02.40]  又会如何影响你的看病体验
[01:09.18]  首先要说明的是
[01:10.40]  DRG 和 DIP
[01:11.64]  都只针对你住院的费用
[01:13.36]  不涉及门诊
[01:14.68]  它们管的是医保基金
[01:16.04]  如何给医院打钱
[01:17.64]  它们不直接涉及你
[01:19.12]  但会间接影响你
[01:20.08]  看病的费用和体验
[01:22.28]  之前医院给你做检查
[01:23.64]  开药
