Title     : 医保怎么用最省钱？2023最清晰实用医保指南，适配全国！【柴知道】
Video ID  : USPEabsWr7M
URL       : https://www.youtube.com/watch?v=USPEabsWr7M
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 515
Saved at  : 2026-06-05 13:44:49
------------------------------------------------------------

[00:00.20]  中国的医保
[00:01.12]  是一个覆盖了十几亿人口的
[00:02.75]  庞大系统
[00:04.05]  95%的人都有医保
[00:05.77]  都交过医保钱
[00:07.52]  但前几个月有朋友问我们
[00:09.45]  我到底怎么才能用上医保报销
[00:12.01]  我们才发现
[00:13.18]  这件事真的不简单
[00:15.13]  连柴司的同事们自己
[00:16.96]  都没几个能讲清楚其中的细节
[00:20.00]  而与此同时
[00:20.92]  我们每个月的工资里
[00:22.20]  都会有一笔钱被拿去交医保
[00:24.32]  如果不知道怎么合理
[00:25.60]  用医保报销的话
[00:26.82]  钱不就白交了吗
[00:29.00]  搞清楚这个问题
[00:30.20]  等于是在赚钱
[00:31.72]  所以我们决定做一期
[00:33.12]  医保省钱指南
[00:34.75]  这其中难免要涉及到
[00:36.07]  对一些医保基本概念
[00:37.80]  术语 政策的解释
[00:39.55]  但重点是
[00:40.57]  就算你不明白它们的具体细节
[00:42.77]  我们也会告诉你到底怎么做
[00:44.87]  才能最大限度地用上医保
[00:46.50]  给自己省钱
[00:48.00]  为了把这件事讲清楚
[00:49.45]  本期视频会稍微有点长
[00:51.75]  为了方便你检索
[00:52.97]  我们还加了分段信息
[00:54.90]  那么话不多说 开始吧
[01:03.57]  如果要用医保报销
[01:05.10]  那么首先千万要记得的是
[01:07.22]  不管你是网上挂号
[01:08.67]  还是现场挂号
[01:09.90]  只要你有医保卡
[01:11.17]  别管有没有钱
[01:12.37]  请一定要选择用医保卡挂号
[01:15.05]  而不是自费
[01:16.22]  如果这一步选错了
[01:17.42]  那除非你是急诊
[01:18.82]  否则下面的内容你就不用看了
[01:20.45]  本期视频到此结束 报不了
[01:24.36]  如果你没选错
[01:25.84]  那么现在你拿着医保卡来到医院
[01:28.34]  可能就能直接挂号交费
[01:30.61]  但是也可能 只能挂号不能交费
[01:33.54]  窗口要求你用其他方式支付
[01:35.84]  这是为什么呢
[01:37.41]  首先 虽然说大家都有医保卡
[01:40.06]  但并不是所有人的医保都一样
[01:42.84]  如果你有一份交五险一金的工作
[01:45.16]  那么你的医保
[01:46.19]  就是城镇职工基本医疗保险
[01:48.49]  简称职工医保
[01:50.26]  如果你是学生 农民
[01:51.81]  或者从来不上班的富二代
[01:53.61]  那你的医保
[01:54.51]  就是城乡居民基本医疗保险
[01:56.96]  简称居民医保
[01:58.81]  除了深圳等几个少数城市外
[02:00.99]  全国的医保都是分成这两种的
[02:03.79]  两种医保的区别
[02:05.16]  最简单的理解就是
[02:06.76]  居民医保交得少 保得也少
[02:08.94]  而且是交一年 用一年
[02:10.86]  而职工医保交得多 保得多
[02:13.24]  到退休之后 不交钱也有医保
[02:15.91]  而且职工医保的账户
[02:17.39]  还分为个人账户和统筹基金
[02:20.34]  我们说医保卡里的钱
[02:22.06]  就是指职工医保个人账户里的钱
[02:25.04]  那如果你是职工医保
[02:26.41]  个人账户里有钱
[02:27.69]  你就能在挂号之后直接交费
[02:30.36]  如果个人账户的钱用完了
[02:32.16]  那就得用其他方式支付
[02:34.16]  如果你是居民医保
[02:35.71]  那就只能用其他方式支付
[02:38.19]  但别担心
[02:39.14]  不管挂号这一步用什么方式支付
[02:41.54]  它都不影响你之后享受医保报销
[02:45.11]  那如果你能用医保卡的个人账户支付
[02:47.91]  你是不是会觉得
[02:48.81]  哇好爽 有赚到
[02:51.01]  我们第一次用到的时候
