Title     : 千兆网下载跑不满，真是你的问题？Steam下载速度怎么这么快？【柴知道】
Video ID  : 5EAnMf_4kHs
URL       : https://www.youtube.com/watch?v=5EAnMf_4kHs
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 530
Saved at  : 2026-06-05 13:36:29
------------------------------------------------------------

[00:00.12]  我家本来用的是 300M 的网
[00:02.04]  但办完后我接到一个电话
[00:03.76]  你好 我们现在有一个活动
[00:05.49]  每个月加 12 块钱
[00:06.72]  就能升级成千兆网
[00:08.88]  我没能扛住诱惑
[00:10.84]  但交完钱之后
[00:11.68]  不管是看视频
[00:12.68]  还是下电影
[00:13.40]  还是打游戏
[00:14.56]  我的网络体验
[00:15.40]  跟之前相比
[00:16.36]  都几乎没有变化
[00:17.80]  我都怀疑自己是不是
[00:19.00]  遭受了“电信”诈骗
[00:21.00]  直到我打开 Steam
[00:22.24]  下载游戏的那一刻才发现
[00:24.04]  运营商的良心
[00:25.88]  目前尚未完全泯灭
[00:29.00]  那我平时的网速都到哪去了
[00:30.84]  为什么 Steam 下载速度
[00:32.24]  又这么快
[00:33.84]  在这期视频里
[00:34.68]  我们会梳理这些
[00:35.72]  关于网速的问题
[00:36.92]  跟你一起了解
[00:37.88]  怎么判断网络质量
[00:39.16]  下载速度到底受什么影响
[00:41.16]  你需不需要千兆网
[00:42.44]  以及运营商和网站们的一些
[00:44.52]  商业算计
[00:45.92]  开始吧
[00:53.08]  首先
[00:53.68]  你花钱办的“千兆网”
[00:55.32]  指的是网络的“带宽”
[00:56.92]  单位是“兆比特每秒 (Mbps, Mb/s)”
[00:58.64]  小写的 Mb
[00:59.96]  但我们下载时
[01:00.76]  更常见的单位是字节
[01:02.56]  也就是大写的 MB
[01:04.09]  一个大写的 MB 
[01:05.17]  等于八个小写的 Mb
[01:06.80]  所以千兆网的下载速度
[01:08.28]  理论上能达到 125MB/s
[01:11.28]  就算再除去传输数据时
[01:13.16]  必不可少的发送接收地址
[01:15.08]  协议等杂七杂八的信息
[01:16.92]  它们大约占用 5.6% 的带宽
[01:18.92]  那也能剩大约 118MB/s
[01:22.22]  此外
[01:22.74]  我们并不讨论那些
[01:23.69]  教你换网线 网卡 路由器
[01:25.59]  等硬件方面的答案
[01:27.20]  毕竟 Steam 和测速网
[01:28.68]  已经用事实证明了
[01:30.08]  不是硬件问题
[01:31.44]  我把电脑直插万兆超六类网线
[01:33.68]  仍然跑不满下载速度的主要原因
[01:35.96]  其实很简单
[01:37.64]  限速
[01:38.72]  这不是说运营商偷摸着给你限速
[01:41.04]  而是这些为你提供服务的网站们
[01:43.32]  主动限速
[01:44.44]  这跟昂贵的上传带宽费用有关
[01:47.72]  你的每一次下载
[01:48.68]  站在给你提供数据的
[01:49.89]  那一方的角度来说
[01:51.20]  就是一次上传
[01:52.60]  而在互联网上
[01:53.76]  上传和下载的流量成本
[01:55.39]  是不一样的
[01:56.60]  这其中的技术原因非常复杂
[01:58.84]  但商业原因却非常好理解
[02:01.12]  因为对你来说
[02:02.12]  上网时绝大多数时间
[02:03.52]  都是在下载
[02:04.68]  而给你提供服务的
[02:05.84]  网站和 App
[02:06.96]  需要给用户们
[02:07.96]  上传大量数据
[02:09.44]  所以运营商会优先把
[02:10.96]  下载的带宽卖给普通用户
[02:12.60]  把上传的带宽卖给企业用户
[02:15.20]  在这种情况下
[02:16.16]  我们办的普通网络
[02:17.76]  下载和上传的带宽
[02:19.36]  其实是不对等的
[02:21.20]  我们办的千兆网
[02:22.36]  “千兆”仅指下载带宽
[02:24.44]  而上传带宽
[02:25.52]  可能只有千兆的几十分之一
[02:27.92]  我们随手找了一个千兆套餐
[02:29.72]  它只提供最高
[02:30.84]  大概 6MB/s 的上传速度
[02:33.16]  所以即便我们俩
[02:34.32]  都是千兆网用户
[02:35.56]  相互之间直传文件的速度
[02:37.32]  也快不到哪里去
[02:39.00]  其实别说是普通个人用户了
[02:40.96]  就是很多普通企业用的网
[02:42.92]  上传速度也很慢
[02:44.08]  而且贵得离谱
[02:45.80]  比如柴司办公室所在的写字楼
[02:47.72]  被一家网络服务商完全垄断
[02:50.16]  我们网络套餐的下行速率
[02:51.96]  只有 120Mbps
[02:53.60]  不到家里千兆网的 1/8
[02:56.12]  上行速率更是只有20-30Mbps
[02:59.44]  相当于 3MB/s 左右的上载速度
[03:01.80]  还没有家里的一半快
[03:03.80]  所以我们每次在各个平台发视频
[03:05.88]  上传速度都是龟速
[03:08.00]  那它的价格呢
[03:09.52]  说出来你可能不信
[03:10.92]  高达 12000 一年
[03:12.56]  差不多是家用千兆网套餐的 10 倍
[03:18.16]  所以如果要提高上传速度
[03:19.72]  优化用户的下载体验
[03:21.28]  那互联网公司们
[03:22.52]  势必要付出高昂的带宽成本
[03:25.08]  我们统计了
[03:25.80]  几家主流网站的带宽成本
[03:27.40]  可以看出
[03:28.24]  对于任何互联网企业来说
[03:30.24]  它都是一个巨大的开支
[03:32.60]  地主家里也没有余粮
[03:34.52]  为了省钱
[03:35.28]  大部分网站
[03:36.04]  都会尽量节省自己的上传带宽
[03:38.48]  比如很多小网站
[03:39.68]  就直接把下载点
[03:40.88]  分散到了其他地方
[03:42.40]  而像 B 站这样的视频网站
[03:44.04]  就在前几年升级了
[03:45.36]  H.265 AV1 等视频编码
[03:47.84]  能让视频在画质不变的前提下
[03:49.76]  减小体积
[03:50.88]  节省流量
[03:52.28]  当然
[03:52.92]  最粗暴的省钱办法
[03:54.48]  往往只需要最简单的操作
[03:56.72]  限速
[03:58.20]  为了节省流量
[03:59.08]  绝大多数网站会在源头上
[04:01.00]  限制你的下载速度
[04:02.12]  节省流量费用
[04:03.36]  所以无论你的网有多快
[04:04.96]  都不可能超它的速度
[04:07.16]  有钱的巨头们好一些
[04:08.88]  但也并非毫无限制
[04:10.88]  我们分别用北京 上海的千兆网
[04:12.96]  做了简单的下载速度测试
[04:15.04]  视频网站下载剧集
[04:16.36]  一般最高能跑到
[04:18.00]  50MB/s 左右
[04:19.20]  网盘类等专门下载软件
[04:21.04]  偶尔能达到 100MB/s
[04:22.68]  但都是昙花一现
[04:24.33]  而且请注意
[04:25.40]  这些都是我们斥重金
[04:27.16]  开通了会员后的结果
[04:29.16]  没开会员的话
[04:30.24]  千兆网跟百兆网都差不多
[04:32.60]  我们在上网时访问的
[04:33.92]  绝大多数网站都有限速
[04:35.60]  所以在大多数情况下
[04:37.00]  你的千兆网和 300 兆的网
[04:39.16]  实际下载体验区别不大
[04:41.32]  多花的钱
[04:42.08]  不如捐给一些贫苦的科普博主
[04:44.24]  让他们在接不到广告
