Title     : 听个歌为什么要外接“小尾巴”？真的能让音乐更好听吗？【柴知道】
Video ID  : el4NBqkfhWk
URL       : https://www.youtube.com/watch?v=el4NBqkfhWk
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 213
Saved at  : 2026-06-05 13:41:45
------------------------------------------------------------

[00:01.22]  今年 9 月的一个周末
[00:02.69]  我闲逛进了一家唱片店
[00:04.54]  看到里面的一位大哥
[00:05.89]  拿包装着一大坨砖头在听歌
[00:09.54]  自从音乐软件们
[00:10.56]  逐步支持无损格式以来
[00:12.48]  我就老是看到有人
[00:13.44]  给手机插上了一堆
[00:14.98]  “砖头”或者“尾巴”
[00:16.77]  不一定都这么壮观
[00:18.24]  但也显得很专业的样子
[00:20.61]  我就好奇了
[00:21.70]  他们插的这一大堆东西到底是啥
[00:24.19]  真的能让音质变好吗
[00:26.94]  首先 是一个最基础的问题
[00:29.25]  他们为啥不用无线的蓝牙耳机呢
[00:32.68]  因为用蓝牙耳机播无损音乐
[00:34.85]  那听到的还是有损音乐
[00:37.60]  音乐软件里的音乐
[00:39.08]  本体是一大堆 0 和 1
[00:41.12]  是离散的数字信号
[00:43.24]  但乐器和人声
[00:44.64]  或者自然界中的所有声音
[00:46.69]  本质上都是连续的模拟信号
[00:49.44]  声音是由振动产生的
[00:51.04]  如果我们用横轴代表时间
[00:52.84]  纵轴代表振幅
[00:54.31]  那么声音
[00:55.40]  应当是一段连续不断的平滑曲线
[00:58.50]  但当它被记录成数字音频时
[01:00.67]  平滑的曲线只能被
[01:01.66]  以一个点一个点的方式
[01:03.43]  离散地记录下来
[01:05.09]  采样点越密集 越精准
[01:07.01]  对声音的还原就越好
[01:08.93]  但同时数据量也越大
[01:10.43]  比特率越高
[01:12.32]  无损音乐的比特率
[01:13.67]  至少要达到 CD 级别
[01:15.52]  这远远超出了蓝牙协议的传输速率
[01:18.72]  虽然也能传过去
[01:20.00]  但无损就变成了有损
[01:22.50]  也有一些厂商在做
[01:23.97]  能支持无损音乐的蓝牙技术
[01:26.15]  但并未普及
[01:27.43]  大部分手机都不支持
[01:29.57]  所以专业选手们
[01:30.72]  都付费听无损音乐了
[01:32.51]  那就只能用有线耳机
[01:34.31]  还最好是 HiFi 耳机
[01:35.97]  来听原汁原味的无损音乐
[01:41.67]  有线就有线吧
[01:42.94]  但为什么还要再接上
[01:44.61]  这么一大堆东西呢
[01:52.60]  直接把 HiFi 耳机插进手机
[01:54.45]  是行不通的
[01:55.67]  毕竟很多手机
[01:56.82]  已经取消了极为先进的
[01:58.68]  3.5mm 耳机孔
[02:00.34]  所以根本怼不进去
[02:02.07]  就算把它通过普通的转换器怼进去
[02:04.69]  也可能出现效果不好
[02:06.29]  或者干脆根本就没声音的问题
[02:09.24]  这就是外接“小尾巴” “大砖头”
[02:11.29]  所要解决的问题了
[02:13.52]  这些外接设备主要有两种
