Title     : 啊？胶片还能刻声音？！你绝对想不到的录制技巧！【柴知道】
Video ID  : H5-v27Hq35U
URL       : https://www.youtube.com/watch?v=H5-v27Hq35U
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 172
Saved at  : 2026-06-05 13:38:14
------------------------------------------------------------

[00:00.73]  1937 年
[00:01.73]  美国拍摄了一部促进“大萧条”时期
[00:03.93]  黑人就业的短片
[00:05.23]  We Work Again
[00:07.47]  它在影史上
[00:08.83]  其实啥也不是
[00:10.83]  但你看这里
[00:12.23]  看到了吗
[00:13.33]  它胶片的左侧有一条“声带”
[00:15.37]  这意味着它同时记录了画面和声音
[00:19.00]  没错
[00:19.63]  在有声电影诞生初期
[00:21.33]  声音就已经这样直接被记录在胶片上了
[00:24.57]  而且你看我们手上的这些现代电影的胶片
[00:27.40]  它们上面同样有音轨
[00:34.80]  声音是怎么刻进胶片
[00:36.53]  又是怎么被放出来的
[00:43.60]  在有声电影出现之前
[00:45.07]  人类已经在用胶片拍默片了
[00:47.97]  胶片只对光线敏感
[00:49.33]  要把声音刻到胶片上
[00:51.13]  就要把它转换成光线
[00:53.53]  怎么转换呢
[00:54.73]  首先需要一个麦克风
[00:56.17]  声音的振动
[00:57.13]  会推动麦克风中的振膜
[00:59.97]  振膜带动线圈在磁场中运动
[01:01.80]  利用电磁感应原理
[01:03.00]  产生感应电流
[01:04.77]  感应电流经过放大器
[01:06.20]  就来到了光调幅器这里
[01:08.27]  光调幅器的后面
[01:09.43]  有一个恒定的光源
[01:11.37]  再次利用电磁感应效应
[01:12.80]  变化的电信号就能控制调制器中
[01:15.47]  缝隙的开口大小
[01:17.30]  声音越大
[01:18.07]  对应的开口越大
[01:19.20]  透过去的光越多
[01:20.57]  通过透镜
[01:21.33]  它们就会在胶片上留下更大的波形
[01:24.23]  而声音的频率越高
[01:25.53]  开口的开合越快
[01:26.77]  会在胶片上留下更密的波形
[01:30.17]  妙啊
[01:30.93]  只是利用电磁感应原理和一些奇技淫巧
[01:33.47]  就能得到这样一条记录了声音的“声带”
[01:37.07]  不过等等
[01:38.17]  这些声音是怎么播放出来的呢
[01:43.57]  在放电影的时候
[01:44.63]  灯光会通过胶片照射出画面
[01:47.17]  而在角落里
[01:48.17]  还藏着另一盏灯
[01:49.63]  用来“照射出声音”
[01:52.33]  在这盏灯的前面
[01:53.43]  有一个叫声鼓的装置
[01:55.27]  声鼓中间的这根管道
[01:56.60]  会将背后的光集中到一条缝隙
[01:59.27]  当胶片经过时
[02:00.53]  通过缝隙的光线会不断地“扫描”声带
[02:03.23]  透出变化的光线
[02:04.83]  不断变化的光线会到达
[02:06.30]  另一侧的光电传感器
[02:07.80]  转换成变化的电信号
[02:09.57]  再送进扬声器
[02:10.73]  推动振膜
[02:11.93]  声音就被“照射”出来了
[02:21.37]  到此为止
[02:22.07]  一套完整的用胶片记录
[02:24.00]  播放声音的方案
[02:25.17]  就成型了
[02:26.23]  这就是有声电影诞生之初
[02:28.00]  人类捣鼓出的“片上录音”法
[02:31.67]  《雨过天青》 《歌场春色》
