Title     : 国行 iPhone 无线充电功率腰斩，到底是谁的锅？【柴知道】
Video ID  : IZ-r4K8Fwgc
URL       : https://www.youtube.com/watch?v=IZ-r4K8Fwgc
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 235
Saved at  : 2026-06-05 13:35:47
------------------------------------------------------------

[00:00.13]  这是苹果今年发布的
[00:01.29]  iPhone 16 系列
[00:02.43]  和第 10 代 Apple Watch 手表
[00:04.77]  对于国行用户来说
[00:06.13]  它们最大的“提升”是
[00:08.33]  反向升级的无线充电功率
[00:10.83]  从之前几代本就不富裕的最高 15W 
[00:13.80]  又被砍一刀 到了 7.5W
[00:16.50]  但在世界的其他地方
[00:17.77]  iPhone 16 的最高无线充电功率
[00:19.90]  却能达到 25W
[00:21.83]  虽然跟动辄大几十瓦的
[00:23.33]  安卓 鸿蒙们没法比
[00:25.10]  但也足以让大家心里犯嘀咕了
[00:27.80]  国行 iPhone 无线充电功率这么低
[00:30.20]  到底是谁的锅
[00:31.60]  而且以前的安卓机都能把
[00:32.93]  无线充电卷到上百瓦
[00:35.10]  怎么现在也只有几十瓦了呢
[00:37.50]  今天 我们就来好好分个锅
[00:45.90]  对科技界稍有了解的朋友们
[00:47.47]  应该听说过
[00:48.40]  苹果无线充电的反向升级
[00:50.77]  是因为它充电时用的“无线电频率”
[00:53.33]  跟中国的现行规定冲突了
[00:55.97]  手机 手表的无线充电
[00:57.20]  都基于电磁感应原理
[00:58.77]  在充电板和手机里
[01:00.03]  分别有一个发射线圈和接收线圈
[01:02.93]  充电板通电后
[01:04.00]  发射线圈产生交变磁场
[01:05.73]  和高频交流电
[01:07.13]  它们在手机背面的接收线圈中
[01:09.13]  形成感应电流 给电池充电
[01:11.77]  那发射线圈中
[01:12.80]  这个高频交流电的频率
[01:14.57]  就是无线充电器的工作频率
[01:17.50]  和有线充电一样
[01:18.57]  无线充电也有许多种不同的协议
[01:21.00]  不同的协议又有不同的工作频率
[01:23.50]  其中 目前兼容性较好
[01:25.20]  广泛使用的无线充电协议是 Qi
[01:28.03]  它是由无线充电联盟 WPC 制定的
[01:31.53]  WPC 总共有 300 多个成员公司
[01:33.83]  不管是卖家电的 卖手机的 充电器的
[01:35.80]  甚至是很多卖车和奢侈品的公司
[01:38.77]  都是它的成员
[01:40.40]  旗下 Qi 协议的历史也很悠久
[01:42.43]  早在 2012 年
[01:43.73]  还算是“一线大厂”的诺基亚
[01:45.43]  发布了极为先进的
[01:46.90]  支持无线充电的
[01:48.17]  Lumia 920 手机
[01:49.70]  让 Qi 协议在全球名声大振
[01:52.70]  目前根据充电功率不同
[01:54.30]  Qi 主要有三个版本
[01:55.90]  BPP EPP 和 MPP
[01:58.97]  我们常说的 Qi 1.x
[02:00.63]  就是指 BPP 和 EPP 
[02:02.83]  最高充电功率分别为 5W 和 15W
[02:05.63]  在相当长的一段时间里
[02:07.23]  15W 就是 Qi 协议充电功率的上限
[02:10.30]  即使它的成员公司们都开发出了
[02:12.37]  上百瓦的私有无线充电协议
[02:14.63]  WPC 也是我自岿然不动
[02:17.43]  直到 2023 年
[02:18.57]  WPC 发布了 Qi2 协议
[02:20.70]  充电功率
[02:22.17]  还是15W
[02:23.60]  Qi2 最大的变化是
[02:24.77]  引入了这个磁铁环 方便定位对准
[02:27.43]  因此得名 MPP
[02:29.30]  而这个磁铁环的“始作俑者”
[02:31.10]  一看就知道
[02:31.90]  肯定就是苹果嘛
[02:33.80]  iPhone 16 的无线充电功率
[02:35.30]  最高 25W
[02:36.40]  同时也兼容 Qi2 15W 的充电功率
[02:39.90]  好的 现在问题来了
[02:41.73]  iPhone 跟 Qi2 的
[02:42.77]  无线充电工作频率
[02:44.33]  跟我国最新的无线电管理规定
[02:46.70]  冲突了
[02:48.03]  2021 年 工信部发布了
[02:49.77]  关于无线充电的征求意见稿
[02:51.77]  其中只允许无线充电器
[02:53.57]  用这三个频段
[02:54.90]  并且限定最高功率只有 50W
[02:57.77]  这也是自 2021 年后
[02:59.20]  上百瓦的无线充电器
[03:00.77]  逐渐销声匿迹的原因
[03:03.10]  到了 2023 年 根据反馈意见
[03:05.23]  新规将充电功率上限
[03:07.00]  放宽到了 80W
[03:08.70]  2024 年 9 月 1 日
[03:09.97]  规定正式施行
[03:11.50]  所以未来一些年
[03:12.57]  你手上的无线充电设备
[03:14.30]  只能在这三个频段范围内
[03:16.30]  上限就是 80W
[03:18.13]  而 Qi2 协议的工作频率呢
[03:19.83]  是 360kHz
[03:21.33]  并不在这三个频段中
[03:23.20]  所以新规一生效
[03:24.30]  苹果只能把无线充电频率
[03:26.30]  限制到了 127.7Khz
[03:28.97]  也就是用最原始版本的 Qi 协议
[03:31.33]  以 7.5W 的功率龟速充电
[03:33.83]  国行的 iPhone 和 Apple Watch
[03:35.43]  就此跟无线快充说拜拜了
[03:38.00]  虽然本来也没多快吧
[03:41.13]  但问题又来了
[03:42.30]  凭什么世界其他地方的新款 iPhone
[03:44.19]  都能用 25W 无线充电
[03:46.10]  也都能用 Qi2 协议
[03:47.63]  就咱们这儿不让用呢
[03:49.13]  这是针对苹果吗
[03:51.10]  但实际上
[03:51.97]  这规定也不是我们定的
[03:53.83]  而是制定国际无线电标准的国际组织
[03:56.83]  “国际电信联盟”定的啊
[03:59.23]  我们曾经讲过的 Wi-Fi 蓝牙
[04:00.93]  手机信号 无线电 以及各种各样的
[04:03.07]  无线通讯 遥控等等
[04:04.90]  只要跟“无线”相关的
[04:06.57]  本质上都是在利用各种频率的电磁波
[04:10.00]  为了避免不同频率的电磁波发生干扰
[04:12.43]  “国际电信联盟” 也就是 ITU
[04:14.70]  把全球划分成了三个区域
[04:16.90]  并且详细规定了每个区域中的
[04:18.97]  每个频段分别可以用来干什么
[04:21.80]  中国 以及日本 印度
[04:23.33]  澳大利亚等亚太国家
[04:24.73]  被划分到了“国际电联 3 区”
[04:27.37]  这些国家在规划自己的无线电频率时
[04:29.97]  首先都要遵守 ITU 的规定
[04:32.33]  而在整个“国际电联 3 区”
[04:34.33]  Qi2 用的 360kHz 都应当是
[04:37.00]  给航空无线电导航用的
[04:39.33]  我国这份关于无线充电的规定
[04:41.17]  就是在 ITU 划分频段的基础上
[04:43.70]  来制定的
[04:44.70]  所以没有把 360kHz 划给无线充电
[04:48.43]  理论上来说
[04:49.37]  同在 3 区的其他国家
[04:51.03]  也应该遵循 ITU 的规定
[04:53.13]  只是其他这些国家
[04:54.43]  暂时还没有出台相关的法规而已
[04:57.43]  但我们也不是唯一一个这么干的
[04:59.43]  南边的印度尼西亚也出台了法规
[05:01.53]  专门划分了一些
[05:02.63]  可用于无线充电的频段
[05:04.53]  其中同样不包括 360kHz
[05:07.73]  所以印尼用户们的新款 Apple Watch
[05:10.00]  跟我们一样
[05:10.77]  无线充电功率 也要被砍一刀
[05:14.20]  所以这事儿 要怪只能怪
[05:16.17]  WPC 和苹果
[05:17.63]  当年在规划 Qi2 协议的时候
[05:19.53]  直接用了 360kHz 的频率
[05:22.00]  本身就跟“国际电信联盟”
