Title     : 年轻人也会得肾病？肾透支的真相，比“雄风不再”更可怕【柴知道】
Video ID  : fHGE9KePsMI
URL       : https://www.youtube.com/watch?v=fHGE9KePsMI
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 228
Saved at  : 2026-06-05 13:30:06
------------------------------------------------------------

[00:00.36]  这是你的尿
[00:01.40]  一切正常的话
[00:02.48]  它应该呈现出
[00:03.56]  如柠檬水一般的淡黄色
[00:05.52]  微熏 清澈透明
[00:07.24]  但如果你的尿
[00:08.40]  像啤酒
[00:09.20]  或者像可乐 茶水
[00:11.40]  别笑
[00:12.20]  这有可能是肾病的信号
[00:15.08]  没错 你可能以为
[00:16.52]  肾病是让人
[00:17.40]  有心无力的中年福报
[00:20.52]  但现实没有这么轻松
[00:22.52]  真正的肾病
[00:23.40]  是胳膊大腿上一按一个坑
[00:25.44]  尿血 身体中毒
[00:27.16]  最后靠透析才能维持生命
[00:29.60]  而且不仅老年人会得肾病
[00:31.24]  二三十岁的年轻人
[00:32.68]  不论男女
[00:33.40]  都可能会得肾病
[00:35.08]  更要命的是
[00:36.16]  肾是非常沉默的器官
[00:38.36]  等你发现它撑不住的时候
[00:40.20]  可能已经救不回来了
[00:41.96]  那肾为什么会出问题
[00:43.64]  怎么才能发现肾脏的求救信号呢
[00:49.16]  你的肾脏大约是拳头大小
[00:50.84]  在靠近背部的肋骨下方
[00:53.04]  它和“雄风”其实关系不大
[00:55.24]  很多问题不该让肾来背锅
[00:58.48]  肾脏真正的功能
[00:59.64]  是身体里的“高端净水器”
[01:02.12]  肾脏包含许多
[01:03.04]  用于过滤的“肾单位”
[01:04.52]  其中的肾小球
[01:05.68]  是一个个带孔的微细血管簇
[01:08.36]  当血液流经这里时
[01:09.64]  它们就会按需截留水和蛋白质
[01:11.96]  等“有用”的物质
[01:13.04]  排出废物
[01:14.20]  你的两颗肾一共有大约
[01:15.84]  200 万个肾单位
[01:17.08]  每天能生成并处理
[01:18.72]  大约 200 升“原尿”
[01:20.44]  大部分
[01:20.92]  被肾小管高效重吸收后
[01:22.96]  最后排出 1-2 升的尿液
[01:25.44]  那如果这 200 万个肾单位里
[01:27.84]  坏了 10 万个会怎样呢
[01:30.28]  嗯
[01:31.48]  不会怎样
[01:33.08]  就跟大部分公司一样
[01:34.64]  让剩下的 95% 加个班就行
[01:39.08]  就算裁员 50%
[01:41.16]  拿掉一个肾
[01:42.24]  剩下的一个肾也能硬撑
[01:44.64]  这就是为什么肾脏
[01:45.72]  被称为“沉默的器官”
[01:47.52]  早期的肾损伤
[01:48.60]  往往没有任何症状
[01:50.32]  而等到出现疲劳 
[01:51.68]  食欲减退 皮肤瘙痒 
[01:53.36]  尿出啤酒可乐等明显症状时
[01:56.24]  往往提示肾功能
[01:57.52]  已经受到了严重影响
[01:58.88]  有用的物质回收不了
[02:00.32]  废物排不出去
[02:01.96]  所以肾
[02:02.88]  是怎么一步步被透支的呢
[02:05.64]  其实大部分情况下
[02:06.68]  都不是它自己的锅
[02:07.96]  而是给高血压和糖尿病
[02:09.56]  等其他疾病背锅
[02:11.28]  长期高血压
[02:12.04]  会持续冲击肾脏的毛细血管
[02:14.12]  导致“过滤网眼”逐渐被破坏
[02:16.44]  而高血糖导致的炎症反应
[02:18.16]  以及各种代谢废物
[02:19.64]  也会日积月累地侵蚀肾脏
[02:21.96]  由高血压 糖尿病等导致的肾病
[02:23.96]  叫“继发性肾病”
