Title     : 座椅通风，豪车才配？电车怎么把价格给家人们打下来的？【柴知道：车圈化简】
Video ID  : QsJ-wdcGOWs
URL       : https://www.youtube.com/watch?v=QsJ-wdcGOWs
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 225
Saved at  : 2026-06-05 13:31:46
------------------------------------------------------------

[00:00.24]  这是有座椅通风时
[00:01.68]  车上的你
[00:02.72]  这是没有座椅通风
[00:04.12]  车上冷热不均的你
[00:05.84]  很多夏天坐车的朋友
[00:07.08]  都体验过
[00:07.76]  “正面透心凉 背面桑拿房”的酸爽感
[00:10.92]  而“座椅通风”
[00:11.80]  就是能救你于水火的神仙功能
[00:14.56]  但这么好的功能
[00:15.60]  几年前一般只有
[00:16.64]  中高档车才能选配
[00:18.40]  像这台 58 万的奥迪 A6
[00:20.24]  选配座椅通风
[00:21.52]  起码要额外掏 6 万
[00:23.52]  便宜些的奔驰宝马
[00:24.68]  差不多也要掏一两万
[00:26.44]  再便宜些的买菜车
[00:28.12]  啊 不好意思
[00:29.28]  就没这个选配项
[00:31.24]  想要 只能自己改装
[00:32.92]  改装费也得要个小一万
[00:35.16]  但如果你是 2025 年才买车
[00:37.32]  那么恭喜你
[00:38.24]  时代变了
[00:39.60]  不用什么豪车
[00:40.76]  18 万的小鹏
[00:41.84]  13 万的海豹
[00:42.68]  9 万的好猫
[00:44.20]  都开始标配
[00:45.60]  注意是标配 座椅通风了
[00:48.48]  为什么以前的座椅通风这么贵
[00:50.32]  新能源车企是怎么把它的价格
[00:52.44]  给家人们打下来的
[00:54.28]  欢迎来到本期的《车圈化简》
[00:57.68]  以前座椅通风之所以贵
[00:59.20]  是因为它
[01:00.44]  确实不便宜
[01:02.08]  座椅通风要装风扇
[01:03.40]  它们的总成本加起来
[01:04.96]  差不多两百多块钱
[01:06.16]  这个确实很便宜
[01:08.24]  真正贵的部分
[01:09.12]  是怎么把这些便宜风扇
[01:10.92]  装进结构复杂的汽车座椅里
[01:13.80]  首先 需要在座椅的“发泡层”里
[01:15.72]  增加进风口 导风层 风袋 风道
[01:18.24]  通风孔 控制系统
[01:19.68]  再通过计算机模拟热舒适性
[01:21.76]  重新设计座椅
[01:23.12]  而发泡层是
[01:24.08]  汽车座椅成本的大头之一
[01:26.20]  它直接决定了乘坐体验的好坏
[01:28.48]  如果设计不到位
[01:29.56]  那不仅影响气流通过
[01:31.32]  还可能影响支撑效果
[01:32.80]  让你一屁股坐出俩坑
[01:34.64]  所以这里的钱不能省
[01:37.24]  同样不能省的还有面套
[01:39.44]  带通风的座椅
[01:40.36]  一般用的是仿皮或真皮面套
[01:43.12]  材料本身不透气
[01:44.28]  需要单独打孔才能通风
[01:46.68]  而打孔不仅要额外的加工费
[01:48.36]  还得重新认证
[01:49.72]  确保外皮打孔不影响强度
[01:51.64]  这又是一笔钱
[01:53.24]  这还没完
[01:54.08]  座椅通风还分
[01:55.24]  “吹风”和“吸风”两种方案
[01:57.64]  吹气的方案
[01:58.40]  降温更快
[01:59.20]  但是相对没那么舒服
[02:01.12]  吸风方案能把座椅表面的
[02:02.60]  热空气 湿气吸走
[02:04.12]  噪音小 体感温和
[02:05.92]  但是要做更精细的风道设计
[02:08.00]  成本又会上涨
[02:09.60]  所有这些改造下来
[02:10.72]  原本六七千的基础款座椅
[02:12.96]  升级成带通风的高档座椅后
[02:15.00]  成本可能直接干到一万三以上
[02:17.76]  所以对于平价车来说
[02:19.36]  座椅通风的性价比太低
[02:21.36]  反倒是座椅加热简单方便
[02:23.28]  埋几圈电热丝就能搞定
[02:25.20]  这也是很多平价车型的座椅
[02:27.12]  只能加热 不能通风的原因
[02:29.56]  因为在夏天凉快和冬天暖和之间
[02:32.80]  车企选了更便宜的那一个
[02:34.92]  而对于更贵的车型
[02:36.20]  由于座椅通风成本高 又复杂
[02:38.52]  那理所当然地
[02:39.40]  就被当成了区分档次
[02:41.16]  拉开价格梯度的手段
[02:43.44]  不是三十万的车装不起
[02:45.32]  而是三十万就有通风的话
[02:47.20]  那四五十万的车要怎么卖
[02:49.44]  就算四五十万的车
[02:50.80]  座椅通风也不标配
[02:52.20]  还要作为更尊贵的定制升级项
[02:55.16]  毕竟“豪”的本质
[02:56.40]  就是为一分货付十分钱
[02:58.44]  才能拉开差距
[03:00.00]  能花 50 万的人
[03:01.24]  不在乎再多加 5 万
[03:03.88]  但我们普通人在乎
[03:05.64]  所以在很长的一段时间里
[03:07.12]  冰火两重天
[03:08.12]  是大部分车主不得不忍受的尴尬
[03:10.64]  不过幸好 时代变了
[03:12.88]  我们找到了一份 2024 年的数据
[03:14.68]  其中 40 万以上的车型
[03:16.16]  提供座椅通风的比例
[03:17.48]  已经是 100%
[03:19.08]  25-40 万是不到 40%
[03:21.64]  但再细看一下
[03:23.12]  15-25 万的配备比例
[03:24.96]  甚至还比右边高一丢丢
[03:27.08]  就算 15 万以下
[03:28.44]  也有 8% 提供了座椅通风
[03:30.84]  而我国 2024 年 20 万以上
[03:32.96]  销量最高的 20 款车里
[03:34.84]  已经有 75% 的新能源车
[03:37.44]  都标配了座椅通风
[03:39.16]  说好的很贵很尊贵
[03:40.68]  为什么国产电车
[03:42.00]  都愿意给家人们上通风座椅
[03:45.00]  其中一个原因
[03:45.80]  我们确实没想到
[03:47.32]  因为通风座椅 能提升续航
[03:50.24]  没错 是能提升续航
[03:52.80]  这背后的逻辑有点绕
[03:54.08]  我们来捋一捋
[03:55.60]  首先 我们在这期视频里讲过
[03:57.48]  新能源车的空调能耗
[03:58.92]  能占到总能耗的15%～40%
[04:02.16]  想要提升续航
[04:03.16]  就要降低空调的能耗
[04:05.12]  而如果装了座椅通风
[04:06.32]  哪怕车内温度稍高一点
[04:08.64]  乘客也会感觉凉爽
[04:10.56]  就可以主动把空调
[04:11.96]  风力调小 温度调高
[04:13.72]  这样就能节约空调能耗
[04:15.44]  间接提升续航
[04:16.92]  这何尝又不是一种“曲线救国”
[04:19.52]  同时从结构上看
[04:20.88]  电车天生就比油车
[04:22.56]  更适合装座椅通风
[04:24.44]  因为座椅通风里的风扇
[04:25.80]  是需要电力供能的
[04:27.36]  大部分油车只有一块12V蓄电池
[04:29.96]  还要优先要保证动力 灯光用电
[04:32.24]  然后才能分配给风扇和其他系统
[04:34.64]  供电和电控上都很麻烦
[04:36.88]  但电车的底盘有那么大一块电池
[04:39.24]  控制架构也完全电子化
[04:41.28]  额外接入一套
[04:42.08]  通风系统要方便得多
[04:44.40]  所以 虽然前面说的这些
[04:45.96]  20 万以上的高销量车型里
[04:47.68]  有 75% 的电车都标配座椅通风
[04:51.24]  但油车里的标配比例却还是 0%
[04:54.36]  因为性价比还是不够高
[04:56.04]  不过座椅通风各环节的成本
[04:58.00]  也正在被打下来
[04:59.08]  这些油车
[04:59.84]  现在只要加一点钱
[05:01.08]  那 80% 也都能选配通风功能了
[05:04.96]  在硬件上
[05:05.68]  如今的风扇可以做的更小
[05:07.36]  节约了座椅空间
[05:08.52]  设计难度大幅降低
[05:10.48]  座椅面套用合成皮革的更多
[05:12.56]  更方便打孔
[05:13.48]  强度也足够
[05:14.72]  在人力上
[05:15.48]  通风座椅的生产开始模块化
[05:17.44]  效率更高 需要的工人更少
[05:19.96]  在产业链上
[05:20.84]  以往的汽车座椅
[05:21.84]  一般都不是车企自己生产的
[05:23.92]  而是从国外座椅厂整个采购
[05:26.52]  但如今国内的座椅厂也越来越多
[05:28.64]  竞争激烈
[05:29.52]  有些直接就是国内车企的子品牌
[05:32.24]  采购价格能砍到更低
[05:34.68]  根据 2025 年这份报告
[05:36.16]  一套价值 3000～5000 的基础款座椅
[05:39.24]  升级通风功能大概只要 1500
[05:42.16]  所以十几万的平价车型
[05:43.88]  也能 Cover 得住
[05:45.56]  总而言之 既然本来就不是
[05:47.40]  什么高门槛的技术
[05:48.68]  又有市场需求
[05:49.72]  还正好贴合电车的特点和需要
[05:52.64]  那就刚好进入了
[05:53.92]  中国制造业的舒适区
[05:55.56]  很难不普及
[05:57.00]  再加上座椅功能和智能座舱的
[05:58.76]  融合也越来越深
[06:00.32]  标配也就成了大势所趋
[06:02.88]  只有一些思维停留在过去的厂商
[06:05.08]  还试图重塑座椅通风的
[06:07.04]  “高端形象”
[06:08.40]  明明硬件都安装在车上了
[06:10.16]  想用却得花钱订阅解锁
[06:12.88]  如果你不幸买到了
[06:13.84]  这种“高端品牌”
[06:15.08]  又不想加钱
[06:16.16]  那就只能在 38 度的天里
[06:18.04]  开着 16 度的空调
[06:19.60]  正面透心凉
[06:20.56]  背面桑拿房了
[06:22.40]  当然 也不是没有办法
[06:24.92]  我们帮你上网看了看
[06:26.48]  35 块
[06:27.44]  解君愁
[06:33.16]  老板 这整啥高科技呢
[06:34.80]  豪车标配啊
[06:36.08]  面部通风
[06:36.96]  座椅通风
[06:37.84]  颈部通风
[06:39.04]  你站起来骑快点不就通风了吗
