Title     : 我们给AutoGPT写了个插件，手把手带你玩新工具~【柴司ChaiCo】
Video ID  : JGpYBFvnwWg
URL       : https://www.youtube.com/watch?v=JGpYBFvnwWg
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 247
Saved at  : 2026-06-05 13:45:32
------------------------------------------------------------

[00:00.26]  自从 ChatGPT 火了之后
[00:01.87]  每隔一阵
[00:02.65]  就会有新的基于 GPT 的产品出现
[00:04.92]  搞得大家是又激动又紧张
[00:07.47]  最近又有一个叫 AutoGPT 的应用火了
[00:10.18]  顾名思义
[00:11.00]  它能“自动完成你给的任务”
[00:12.80]  就是告诉它它的角色是啥
[00:15.22]  然后描述你的任务需求
[00:16.77]  剩下的 它能全自动完成
[00:18.90]  比如你可以让它 cos 一个市场研究员
[00:21.31]  任务是完成新款运动鞋的市场分析
[00:23.95]  然后撰写一份报告
[00:25.73]  在执行任务的过程中
[00:27.38]  AutoGPT会自己分析需求
[00:29.35]  制定每一步的计划
[00:30.62]  直到最后完成你交给它的任务
[00:33.45]  已经有很多用户上手体验了
[00:35.52]  比如有人拿它来自动写个网站
[00:37.88]  或者在网上搜集
[00:39.08]  某个行业的竞争对手的情况
[00:40.74]  并整理成报告
[00:42.23]  给人感觉是这个 AI 简直杀疯了
[00:45.75]  那么 AutoGPT 到底是
[00:47.63]  怎么做到这些的
[00:48.58]  它真的有大家说的那样神乎其神吗
[00:56.62]  少废话 直接开始用
[00:58.45]  顺便也讲一下到底怎么用
[01:00.50]  它在使用上还是有一定门槛的
[01:02.95]  首先 你要在这个 GitHub 网址
[01:05.15]  找到 AutoGPT 的库
[01:07.17]  然后直接下载 
[01:08.70]  或者使用 git clone 的方式拉到本地
[01:11.85]  先保证你电脑里安装了 Python
[01:14.15]  然后使用的第一步是
[01:15.40]  安装运行所需要的库
[01:17.30]  这需要你输入这行代码
[01:19.17]  它会安装这个 txt 文件
[01:21.22]  里面所有的库
[01:22.97]  比如 openai 库是
[01:24.08]  用来调用 ChapGPT 的功能
[01:26.60]  beautifulsoup4 是用来
[01:28.30]  解析网页内容等等
[01:30.38]  除此之外
[01:31.60]  你还需要使用 OpenAI 的 Key
[01:33.47]  才能运行程序
[01:35.08]  你可以在这里创建一个 Key
[01:37.35]  然后在下载下来的文件夹里
[01:39.78]  创建一个名叫 .env 的文件
[01:42.78]  把它复制进去
[01:46.03]  到此为止
[01:46.85]  所有准备工作就算大功告成
[01:49.75]  只需要在终端里输入这行代码
[01:52.83]  就能开始运行了
[01:54.83]  AutoGPT 目前没有图形化界面
[01:57.30]  每个操作 都要你自己打字
[02:00.30]  首先你要给你的 AI 取个名字
[02:02.72]  然后做一下角色扮演
[02:04.28]  比如你可以说它是一个助手
[02:06.70]  或者程序员
[02:07.83]  或者某个行业的专家
[02:09.55]  然后再给它制定任务
[02:11.72]  最多 5 个
[02:12.50]  剩下的就可以全交给它来完成了
[02:15.72]  在执行任务的每一步
[02:17.35]  AutoGPT 都会告诉你
[02:18.80]  它的想法和背后的逻辑
[02:20.60]  以及之后的计划
[02:22.22]  列完这些计划之后
[02:23.78]  它会告诉你它下一步所要采取的行动
[02:26.93]  包括上网浏览网站 写入文件
[02:29.43]  分析代码等等
[02:31.35]  你觉得它当前的分析
[02:32.97]  和下一步的行动靠谱
[02:35.07]  那你就输入 y 确定
[02:37.07]  不行就输入你的想法
[02:38.97]  如果你想完全自动
[02:40.53]  那就输入 y -N
[02:42.12]  其中 N 表示未来多少轮的命令
[02:44.65]  不需要用户许可
[02:46.30]  AI 可以自动执行一系列行动
[02:49.12]  这就是 AutoGPT 的整个工作方式了
[02:52.45]  你最近可能也看过
[02:54.22]  很多吹 AutoGPT 的文章了
[02:56.60]  那 AutoGPT 的能力
[02:58.05]  真的有他们说的那么强吗
[03:00.72]  俗话说恐惧来源于未知
[03:03.22]  所以为了了解 AutoGPT
[03:05.25]  我们好好地研究了一下
[03:07.07]  AutoGPT 的源代码
[03:08.57]  看看它都是怎样实现的
[03:11.10]  和你平时用 ChatGPT 一样
[03:13.47]  程序本身也要写一段
[03:14.82]  prompt 发给 GPT 模型
[03:16.88]  你输入的 AI 名字 角色 
[03:18.47]  会在这个代码文件里面
[03:20.43]  被整合成下面这段话
[03:22.68]  你叫XX 角色是XX 目标是XX
[03:26.88]  你必须独立决策
[03:28.50]  不要寻求用户的帮助
[03:30.57]  发挥你作为大语言模型的优势
[03:33.43]  追求简单的策略
[03:35.15]  不要带来法律纠纷
[03:37.30]  这个代码文件里
[03:38.85]  有所有 AI 可以执行的命令
[03:41.30]  比如谷歌搜索 浏览网站 读写文件等
[03:44.70]  除此之外还有一系列的限制
[03:47.07]  比如告诉AI所有发送的命令都是要钱的
[03:50.38]  所以你得聪明高效一点
[03:52.70]  当 AI 选择下一步的行动
[03:54.64]  是谷歌搜索
[03:55.75]  那么就会调用 Google 的 API 获取网页
[03:59.10]  有意思的是
[04:00.18]  我们点开这里 google_search 一看
[04:02.00]  它真正调用的
[04:03.07]  其实是 DuckDuckGo 的搜索引擎
[04:05.10]  只有当你设置好
[04:06.22]  谷歌 API 的 Key 之后
[04:08.12]  程序才会调用真正的 Google 搜索
[04:11.12]  另外 由于这两种搜索引擎
[04:13.05]  我们自己用起来都不是很方便
[04:15.22]  很多用户也在反馈这个事
[04:16.98]  所以我们自己给 AutoGPT 
[04:18.70]  做了支持 Bing 和百度搜索的插件
[04:21.25]  只要你按照我们添加的文档说明
[04:24.35]  设置好微软 Azure 的 Key 
[04:27.12]  或者百度的 Cookie 之后就能使用
[04:30.38]  等我们这支视频做完之后
[04:32.55]  这个插件没准就能被整合进去了
[04:36.30]  在获取搜索引擎返回的信息之后
[04:39.15]  AutoGPT 会根据网页的基础信息
[04:42.02]  选择某个网页浏览
[04:43.80]  这一步主要是靠这个代码文件实现
[04:46.75]  具体来说
[04:47.68]  程序会先获取网页的全部内容
[04:50.32]  如果网页内容太长
[04:51.93]  超过了 GPT 的模型限制
[04:53.77]  就把它们切成一块一块的
[04:55.73]  然后让 GPT 写每一段总结
[04:58.35]  最后把它们汇总到一起
[05:00.48]  做成一个全文总结
[05:02.52]  这基本上就是 AutoGPT 
[05:04.55]  在 GPT 基础之上
[05:06.64]  加上「上网」功能的实现过程
[05:09.65]  如果你有兴趣
[05:10.94]  可以自己看一看
[05:12.15]  其他功能是怎么实现的
[05:14.15]  我们之前说过
[05:15.48]  ChatGPT 的一个问题是不能上网
[05:17.70]  而 AutoGPT 巧妙地用
