Title     : 手机电池集体“注水”，背后究竟发生了什么？【柴知道】
Video ID  : ptWkBXOMorA
URL       : https://www.youtube.com/watch?v=ptWkBXOMorA
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 157
Saved at  : 2026-06-05 13:36:43
------------------------------------------------------------

[00:00.23]  这是青海湖电池
[00:01.83]  这是金沙江电池
[00:03.63]  这个是蓝海电池
[00:05.68]  而这位更是重量级
[00:07.05]  叫冰川电池
[00:09.03]  你之前未必注意过
[00:10.26]  但现在你知道了
[00:11.46]  从去年开始
[00:12.39]  各家手机厂商纷纷给电池起名字
[00:15.06]  而且都不约而同地蹭上了各种水系
[00:17.93]  我们斗胆称之为
[00:19.86]  “水货电池”
[00:21.46]  大家都注水
[00:22.23]  等于大家都没注水
[00:23.52]  毕竟普通用户根本分不清
[00:25.19]  金沙江和青海湖
[00:26.52]  到底是被哪家承包了
[00:28.39]  在这一众选手中
[00:29.93]  反而是华为特立独行
[00:31.82]  它明明可以叫自己
[00:32.99]  “松山湖电池”
[00:34.16]  但它偏偏就叫
[00:35.33]  “硅碳负极”大电池
[00:36.83]  听起来非常纯朴
[00:38.12]  而且直击重点
[00:39.59]  因为这一堆“水货”的真实身份
[00:41.62]  无一例外
[00:42.52]  全部都是“硅碳负极”电池
[00:44.73]  本期视频没有广告
[00:45.99]  我们就来看看
[00:46.99]  它们真的比以前的电池好用吗
[00:51.33]  实事求是客观地说
[00:53.06]  确实比以前好一点
[00:54.79]  比如小米 14 Ultra 的
[00:56.16]  “金沙江电池”容量
[00:57.16]  是 5300 毫安时
[00:58.36]  比小米 13 Ultra 的电池容量
[00:59.96]  高了 300 毫安时
[01:01.23]  而且体积还小了 8%
[01:03.83]  一加 Ace 3 Pro的“冰川电池”
[01:05.69]  容量是 6100 毫安时
[01:07.42]  比 Ace 2 Pro 高了 1100 毫安时
[01:09.59]  而且还变薄变小了
[01:12.06]  蓝海 青海湖什么的
[01:13.53]  也都有些改进
[01:15.03]  所以总而言之
[01:16.19]  水货电池们的“能量密度”
[01:18.06]  确实变高了
[01:20.26]  一点点
[01:21.86]  所谓的“能量密度”
[01:22.96]  就是用电池的容量
[01:24.26]  除以电池的质量或者体积
[01:26.16]  所得到的结果
[01:27.33]  比如我们用小米给的数据为例
[01:29.16]  简单算一下就知道
[01:30.76]  14 Ultra 上的“金沙江电池”
[01:32.56]  单位体积的“能量密度”
[01:33.86]  大约是 13 Ultra 的 1.15 倍
[01:36.16]  也就是提升了 15%
[01:38.39]  而这一轮手机厂商的
[01:39.66]  电池能量密度普遍提升
[01:41.76]  就是因为开头华为官网上
[01:43.72]  提到的那个词
[01:45.16]  “硅碳负极”
[01:46.66]  这玩意儿到底是个啥呢
[01:48.53]  目前手机 汽车上用的电池
[01:50.53]  全部都是锂离子电池
[01:52.33]  从 1991 年索尼发布
[01:54.03]  第一块商用锂离子电池至今
[01:55.96]  它的基础结构从来没有变过
[01:58.26]  就是正极 负极 隔膜
[01:59.99]  和电解质
[02:01.26]  其中正极
[02:02.16]  就是各种含锂的化合物
[02:04.06]  在充电的时候
[02:04.96]  锂离子从正极脱出
[02:06.56]  穿过隔膜
[02:07.36]  到负极上存蓄起来
[02:09.16]  放电的时候
[02:09.96]  锂离子回到正极
[02:11.39]  为了保持电荷平衡
[02:12.79]  电子也会随之移动
[02:14.19]  产生电流
[02:15.12]  你的手机就亮了
[02:17.26]  所以如果要在体积不变的情况下
[02:19.26]  让电池有更多的电
[02:20.99]  就要改进正 负极材料
[02:22.82]  提高它们储存锂的能力
[02:25.06]  目前锂电池的主要负极材料
[02:26.82]  就是在这些宣传物料中的
[02:28.59]  传统势力代表
[02:30.12]  “石墨”
[02:31.53]  上过初中化学的人都知道
[02:33.06]  石墨是由层状结构的碳原子所组成的
[02:36.22]  锂离子过去之后
[02:37.36]  就会进到石墨的夹层里面
[02:39.32]  形成一个类似于煎饼果子的 
[02:41.28]  这个化合物
[02:42.46]  看化学式就知道
[02:43.59]  平均一个碳原子
[02:44.93]  只能吸收 1/6 个锂离子
[02:46.93]  弱爆了
[02:48.16]  但如果把负极材料换成硅
[02:49.99]  那它就能和锂离子形成一个
[02:51.96]  类似于棉花糖的合金结构 
[02:54.59]  那看这个化学式就知道
[02:55.93]  平均一个硅原子
[02:57.16]  就能吸收 4.4 个锂离子
[02:58.96]  碉堡了
[03:00.39]  既然硅这么强
[03:01.56]  而且人类最不缺的就是沙子
[03:03.56]  那为什么不直接用硅当负极呢
[03:06.72]  因为很可惜
[03:07.66]  硅在充电结合大量锂离子之后
[03:10.32]  体积的膨胀率会超过 300％
[03:12.46]  这一膨胀
[03:13.46]  一是会
[03:13.91]  爆
[03:16.99]  二是充放电循环次数一多
[03:18.79]  硅就粉碎了
[03:19.86]  电池也就废了
[03:23.21]  那怎么办呢
[03:25.01]  没什么好办法
[03:25.91]  只能先在石墨里掺一点硅
[03:28.38]  稍微提升些容量
[03:29.84]  同时控制膨胀
[03:31.01]  这就成了一块“硅碳负极电池”
[03:34.18]  那这些水货电池们
[03:35.61]  掺了多少硅呢
[03:37.11]  不多
[03:38.24]  目前小米的金沙江
[03:39.44]  vivo 的蓝海
[03:40.21]  一加的冰川
[03:41.04]  硅含量都是 6%
[03:42.91]  荣耀的这个青海湖电池第三代
[03:45.11]  是 10%
[03:46.61]  所以它们现阶段的提升幅度
[03:48.28]  还没有那么大
[03:49.11]  但已经能让手机厂商
[03:50.51]  做出一些新卖点了
[03:52.24]  比如今年各家新出的
[03:53.61]  折叠屏产品全都主打轻薄
[03:55.81]  就有这些水货电池们的功劳
[03:58.24]  不出意外的话
[03:59.04]  在未来几年
[04:00.01]  你买到的手机里
[04:01.07]  就会逐渐普及这些
[04:02.61]  “注水”的硅碳负极电池
[04:04.51]  各家也一定会继续努力
[04:05.88]  提升电池里的硅含量
[04:07.44]  卷电池的能量密度
[04:08.91]  目前还没有用上
[04:10.11]  硅碳负极电池的主流手机品牌
[04:12.44]  好像只剩下 OPPO 和苹果了
[04:15.04]  虽然没有人知道其中的具体原因
[04:17.07]  但我们拿到了一些独家内幕
[04:19.88]  听说是卡在取名环节了
