Title     : 搜什么推什么！App 们是如何串通一气，组团追踪你的？【柴知道】
Video ID  : S9COHBhJJlM
URL       : https://www.youtube.com/watch?v=S9COHBhJJlM
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 269
Saved at  : 2026-06-05 13:44:58
------------------------------------------------------------

[00:00.55]  此时此刻 掏出手机
[00:02.02]  在社交 app 上发一条
[00:03.92]  “塞尔达天下第一”的动态
[00:05.70]  半小时后
[00:06.55]  你就能在另一个 app 上
[00:08.10]  看见一堆塞尔达攻略视频
[00:09.38]  和 Switch 广告
[00:11.30]  如果再搜一条
[00:12.62]  “一个人旅游要注意些什么”
[00:14.65]  下一秒
[00:15.25]  社交 app 就会给你推“同城异性交友”
[00:18.77]  所有的 app
[00:19.70]  都否认自己会搜集用户隐私
[00:22.25]  但像这样的场景你肯定经历过无数次
[00:25.35]  真的很难让人不怀疑
[00:27.07]  自己的隐私就是在全网裸奔
[00:29.60]  搜什么推什么
[00:31.05]  app 们是如何串通一气
[00:32.85]  组团追踪你的
[00:40.95]  很多人会说
[00:41.98]  就是 app 们在窃听我的谈话
[00:44.23]  心情能理解
[00:45.23]  但冷静一下
[00:46.40]  直接窃听的风险和成本都太高
[00:48.90]  人家没必要这么干
[00:50.50]  更重要的是
[00:51.58]  你在第一次使用 app 时
[00:53.20]  是不是“同意”过
[00:54.50]  这长达几十页的《隐私政策》
[00:56.75]  是的
[00:57.33]  谁都知道你根本没看
[00:58.65]  而且也没得选
[00:59.65]  但反正你在法律上就是同意过
[01:02.67]  所以
[01:03.38]  app 们完全有更隐蔽 自然
[01:05.58]  而且合法的方式
[01:06.97]  来搜集信息追踪你
[01:08.90]  具体来说
[01:09.78]  主要有三种方式
[01:11.35]  第一种叫 Cookie
[01:12.88]  这是最复古的一种方式
[01:14.72]  你应该在很多网站上看到过这种提示
[01:17.70]  在你访问这个网页的瞬间
[01:19.60]  网站会记录你的登录帐号
[01:21.50]  搜索记录 浏览内容
[01:22.97]  停留时长等各种信息
[01:24.75]  这份存在本地的文件就叫 Cookie
[01:28.08]  Cookie 的好处
[01:29.17]  是每次登录时你不用再输一遍帐号密码
[01:31.90]  设置选项偏好
[01:33.08]  网络冲浪更丝滑
[01:35.20]  这种自己创建自己用的 Cookie
[01:37.38]  被称为“第一方 Cookie”
[01:38.95]  但还有一种 Cookie
[01:40.35]  叫“第三方 Cookie”
[01:41.65]  它是给别人用的
[01:43.55]  比如当你打开浏览器访问天猫时
[01:46.15]  它就会同时创建一个天猫
[01:47.62]  和一个淘宝的 Cookie
[01:49.75]  只要你登录过天猫
[01:51.20]  下次打开淘宝时
[01:52.80]  它就能用同个帐号密码自动登录
[01:54.90]  省去麻烦
[01:56.25]  听起来很方便是吧
[01:57.91]  但第三方 Cookie 的真正目的
[01:59.67]  其实是收集更多信息
[02:01.78]  给你推送广告
[02:03.45]  为了方便理解
[02:04.65]  我们设想一个场景
[02:06.17]  假如柴司转行卖狗粮
[02:08.50]  需要投放广告
[02:09.65]  那就会面临一个问题
[02:11.12]  我不能到处乱投
[02:12.72]  我得找到真正养狗的那些人
[02:14.57]  给他们投广告
[02:16.12]  但问题是
[02:16.78]  我怎么知道哪些网站里
[02:18.32]  哪些用户养了狗
[02:20.12]  我们是没精力对接每一个网站
[02:22.05]  挨个问一遍的
[02:23.60]  所以为了提高投广告的效率
[02:25.60]  让金主更高效地撒币
[02:27.53]  一种营销机构出现了
[02:29.07]  那就是“广告联盟”
[02:31.00]  Google Facebook BAT
[02:32.85]  京东 字节
[02:34.12]  还有卖手机的厂商们
[02:35.55]  全都有自己的广告联盟
[02:37.45]  广告联盟们一边对接
[02:38.88]  柴司这种卖货的甲方
[02:41.03]  另一边对接了
[02:41.97]  一大堆接入了联盟的网站
[02:44.25]  此时柴司只要把狗粮广告
[02:46.47]  交给广告联盟
[02:47.75]  然后由广告联盟们来对接网站
[02:49.75]  筛选出养狗的用户就可以了
[02:52.30]  但广告联盟怎么同时对接这么多网站呢
[02:56.18]  是的
[02:56.62]  可以用第三方 Cookie
[02:58.53]  当你访问一个网站时
[03:00.12]  这个网站会同时创建
[03:01.70]  多个第三方 Cookie
[03:03.38]  而当你打开另一个网站时
[03:05.22]  只要它们同属于一个广告联盟
[03:07.75]  那就能从这些记录中
[03:08.90]  找出留给自己的那份
[03:10.85]  所以哪怕你从来都没有登录过这个网站
[03:13.68]  也没在这个网站里搜索任何
[03:15.75]  跟狗粮相关的内容
[03:17.40]  它们也能利用这些数据
[03:18.88]  跨网站生成精准的广告推荐
[03:21.45]  这难免让很多人觉得自己被监控了
[03:24.40]  比如作为“全球最大的中文搜索引擎”
[03:26.85]  百度也经营着一个
[03:28.60]  规模巨大的广告联盟
[03:30.30]  诸多接入了百度广告联盟的网站
[03:32.68]  都能为你量身定制广告
[03:34.95]  2013 年
[03:36.05]  南京的朱女士
[03:37.05]  发现用百度搜索
[03:38.80]  “减肥”“隆胸”等关键词后
[03:40.38]  在浏览其他网站时会出现这些广告
[03:43.00]  于是以侵犯隐私权为由
[03:44.95]  将百度告上法庭
[03:46.55]  但最终败诉
[03:48.30]  Cookie 虽然强
[03:49.68]  但有两个问题
[03:50.80]  首先 刚才说了
[03:52.50]  Cookie 是一个本地文件
[03:54.28]  这就意味着
[03:55.15]  用户和各种软件都可以随时清除掉它们
[03:58.70]  而第二个问题
[03:59.93]  就更加致命了
[04:01.28]  那就是
[04:02.47]  时代
[04:03.82]  这年头谁还用网页上网啊
[04:05.78]  大家都用 app 了好吗
[04:07.32]  Cookie 什么的 真不熟
[04:09.43]  所以为了跟上时代的浪潮
[04:11.35]  如今的广告联盟除了 Cookie 之外
[04:13.72]  还用上了两个更新的手段
[04:15.88]  一个叫“帐号”
[04:17.40]  一个叫“设备标识符”
[04:19.70]  “帐号”很好理解
[04:21.32]  你帐号的访问信息会被记录
[04:23.20]  并直接传到服务器
[04:24.80]  想删都删不掉
[04:26.12]  而且网站会给你的账号打上各种标签
[04:29.18]  比如阿里的“达摩盘”平台
[04:31.02]  能给你的淘宝帐号打上上千个标签
[04:33.73]  比如当地天气特征
[04:35.15]  你的身高 体重 消费能力
[04:36.95]  甚至连你住什么档次的小区都包含在内
[04:40.52]  如果你被标记为“养狗”用户
[04:42.65]  那不光淘宝能给你精准推送柴司狗粮
[04:45.77]  其他接入了阿里广告联盟的 app 上
[04:47.93]  可能也会出现狗粮广告
[04:50.05]  如果说“帐号”是软件
[04:52.00]  那“设备标识符”就是在
[04:53.60]  硬件层面锁定你
[04:55.20]  你可以把“设备标识符”理解成为
[04:57.23]  手机的身份证号
[04:58.80]  比如每台手机都有一个设备标识符
[05:00.88]  叫 IMEI
[05:02.40]  全球唯一 且不可修改
[05:04.30]  早期许多 Android app
[05:05.90]  会向用户索要“电话”权限
[05:08.27]  它并不是真的要打电话
