Title     : 撞豪车、被水淹、化粪池炸飞……遭遇奇葩事故，车险管用吗？【柴知道：车圈化简】
Video ID  : he3tDOQbc-0
URL       : https://www.youtube.com/watch?v=he3tDOQbc-0
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 243
Saved at  : 2026-06-05 13:33:29
------------------------------------------------------------

[00:03.70]  你的车
[00:04.53]  吻过劳斯莱斯吗
[00:06.93]  它在车库里游过泳
[00:08.20]  自动“泊”过车吗
[00:09.97]  它撞过大运 丢过人吗
[00:12.23]  它发过火 文过身
[00:13.60]  在化粪池上起过舞吗
[00:17.17]  它最好都没有
[00:19.40]  但是万一呢
[00:22.13]  请注意 本期视频不是广告
[00:24.00]  我们就是未雨绸缪地研究一下
[00:26.10]  假如自己某一天也荣登
[00:27.77]  奇葩事故混剪集锦
[00:29.60]  那你的车险能赔吗
[00:31.53]  买哪些车险 能拯救你于水火
[00:34.63]  欢迎来到本期的《车圈化简》
[00:38.17]  首先 第一题
[00:39.53]  假设你开着一辆 15 万的买菜车跑高速
[00:41.97]  发现前方有一辆
[00:42.93]  30 万的奔驰 CLA 在减速
[00:45.10]  你来不及刹车
[00:45.97]  下意识向右借道躲闪
[00:47.37]  然后砰地一下
[00:48.57]  撞上了右侧一辆价值 400 万的劳斯莱斯
[00:51.13]  被判了全责
[00:52.63]  这种情况下 车险能赔吗
[00:56.50]  答案是能赔
[00:58.10]  但能赔多少 看情况
[01:00.53]  车险有很多种类
[01:01.57]  有买了才能上路的交强险
[01:03.60]  也有可买可不买的商业险
[01:05.80]  最差的情况 是你勤俭节约
[01:07.93]  完全没买商业险
[01:09.53]  只能靠强制购买的交强险进行赔付
[01:13.10]  交强险是一种兜底保障
[01:15.17]  价格不贵 但保额也不高
[01:17.40]  最多只能赔偿 2000 元的财产损失
[01:20.03]  还不够劳斯莱斯补个漆
[01:22.77]  所以 我们不建议任何车主
[01:24.80]  在没有商业险的情况下撞劳斯莱斯
[01:28.50]  如果你非要撞 那也可以
[01:31.40]  请提前购买商业险里的三者险
[01:34.10]  它的功能和交强险一样
[01:35.83]  能赔付交通事故中对第三方构成的损失
[01:39.37]  而且额度更高
[01:40.53]  从 10 万 50 万 300 万
[01:42.33]  甚至 1000 万 都有得选
[01:44.67]  一般来说
[01:45.43]  多数人都会选择 100 万额度以上的
[01:48.30]  就算撞的是豪车
[01:49.63]  100 万的赔付一般也够用了
[01:51.90]  而且这个额度 是按次结算的
[01:54.50]  也就是说 如果你一年里
[01:56.33]  连续撞了三辆劳斯莱斯
[01:58.43]  那么恭喜你
[01:59.97]  你每次 理论上都能最高 100 万的赔付
[02:03.80]  然后第二年
[02:04.60]  你就会进所有保险公司的黑名单
[02:08.63]  如果但劳斯莱斯质量好 没受伤
[02:11.33]  受伤的是开劳斯莱斯的资本家
[02:14.03]  那车险该怎么赔
[02:17.50]  这一题也是靠交强险和三者险来赔
[02:20.70]  因为这俩险赔付的不光是财产损失
[02:23.63]  也赔偿人身伤害
[02:25.50]  而且就算你没买三者险
[02:27.10]  只有交强险
[02:28.17]  也能提供 1.8 万的医疗费用赔偿
[02:30.77]  和 18 万元的死亡伤残赔偿
[02:33.60]  可以说 这部分赔付
[02:35.30]  才是交强险存在的主要意义
[02:37.77]  它强制让每一台能上路的车
[02:39.60]  都有赔偿受害人本人的能力
