Title     : 暴打4K屏，CRT显示器玩老游戏居然显示效果更好？【柴知道】
Video ID  : yVk3WlnVRTc
URL       : https://www.youtube.com/watch?v=yVk3WlnVRTc
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 225
Saved at  : 2026-06-05 13:34:06
------------------------------------------------------------

[00:00.23]  这是 1997 年的游戏
[00:01.70]  《恶魔城X月下夜想曲》
[00:03.77]  用 4K 显示器装上模拟器后
[00:05.80]  里面的德古拉长这样
[00:07.53]  红色豆豆眼 是认真的吗
[00:10.30]  但如果我们穿越回 1997 年
[00:12.00]  用一台后脑勺巨大的
[00:13.50]  CRT 电视打开它
[00:15.30]  万万没想到
[00:16.40]  德古拉居然瞬间就貌美了起来
[00:19.40]  我始终认为
[00:20.23]  科技是不断向前发展的
[00:21.90]  所以当本期视频的策划同事说
[00:24.17]  真的有人因为热爱老游戏
[00:25.97]  去买几十年前的 CRT 显示器的时候
[00:28.60]  我只有一个想法
[00:30.53]  智商税
[00:31.97]  但当这些赤裸裸的对比图
[00:33.60]  摆在我面前的时候
[00:35.70]  我X 难道是真的
[00:38.43]  于是我们不光查了资料
[00:39.73]  还请教了一位做老游戏滤镜的开发者
[00:42.60]  和一位真的自己买了很多 CRT 的朋友
[00:45.60]  来研究下
[00:46.53]  为什么老游戏用CRT显示效果更好
[00:55.70]  首先
[00:56.33]  老游戏在现代显示器上的显示效果垃圾
[00:59.10]  不光是因为老游戏本身画质不高
[01:01.43]  更因为它们的显示
[01:02.80]  本来就是“错误”的
[01:04.63]  你现在用的显示器
[01:05.69]  分辨率至少 1080P 起步
[01:07.93]  但老游戏多为 480P 甚至 240P
[01:11.13]  所以要么只显示这么一小块
[01:13.00]  要么就得增加像素 扩大画面
[01:15.83]  扩大画面不是很简单吗
[01:17.57]  是的 当模拟器把老游戏
[01:19.63]  输出为更高分辨率时
[01:21.33]  通常会默认采用邻近像素插值的
[01:23.95]  傻瓜式处理方式
[01:25.35]  也就是直接把新像素点的值
[01:27.08]  设置为离得最近的原像素点的值
[01:30.05]  结果就是每个像素点都需要
[01:31.47]  1变4 1变9
[01:32.80]  变成大方块 甚至拉长变形
[01:35.28]  看起来很垃圾
[01:37.10]  理论上 用一些比较高级的插值算法
[01:39.43]  能补全图像
[01:40.77]  但大家能遇到的
[01:41.90]  往往不够高级 不是变方块就是变糊
[01:45.20]  许多奇怪的画面问题
[01:46.63]  其实都是插值带来的问题
[01:49.10]  所以对待老游戏最好的方式
[01:50.97]  就是不放大 不插值
[01:52.73]  点对点显示
[01:54.27]  巧了
[01:54.93]  这正是老式 CRT 显示器的强项
[01:57.80]  而且老游戏的很多设计
[01:59.73]  就是为 CRT 量身制作的
[02:02.70]  讲到这里我们需要简单地了解一下
[02:04.60]  到底什么是 CRT
[02:06.77]  CRT 是阴极射线管的缩写
[02:09.00]  这个大后脑勺里装的
[02:10.40]  就是阴极射线管 也叫显像管
[02:13.03]  在通电后 阴极电子枪会发射电子束
[02:15.57]  轰击屏幕上的荧光粉 从而产生图像
[02:18.73]  这也是电视屏幕
[02:19.83]  被称为荧幕的原因
[02:21.93]  通过控制横向偏转
[02:23.27]  和纵向偏转的两个线圈
[02:25.30]  电子束的落点就会发生变化
[02:27.53]  这样一条条打过去
[02:28.90]  逐行逐列地照射 就能点亮屏幕
[02:31.77]  所以 CRT 显示器不管屏幕大小
[02:33.77]  都是靠电子枪一行行扫射产生画面的
[02:36.83]  没有固定的像素行
[02:38.23]  无需插值就能全屏显示老游戏
[02:41.43]  而且 CRT 显示器
[02:42.83]  还会给老游戏带来更柔和的观感
[02:45.60]  现代屏幕上的像素
[02:47.10]  是亮度调整的最小单位
[02:48.60]  无论明暗都是一个形状
[02:50.57]  但在 CRT 显示器上
[02:52.13]  发光的是微小的荧光粉
[02:54.30]  显示器上并没有
[02:55.27]  大小固定的最小发光单元
[02:58.20]  当电子击中荧光粉后
[02:59.97]  会形成无数个中间亮四周暗的圆
[03:02.97]  CRT 显示器上的画面
[03:04.30]  就是由水平方向的一个个圆
[03:06.40]  连续叠加出来的
[03:07.90]  所以画面上图形的边缘有种
[03:09.83]  自带抗锯齿的柔化效果
[03:11.90]  这就会让画面显得更自然细腻
[03:14.70]  你可能觉得 这是没有锯齿了
[03:16.80]  但也挺模糊的啊
[03:18.83]  那 你看现在是不是好多了
[03:21.93]  这就是 CRT 显示器
[03:23.17]  另一个欺骗人脑
[03:24.40]  让画面更精致的特性
