Title     : 杀虫剂科学选购指南！耗资150只蟑螂果蝇和16款杀虫剂~【柴知道】
Video ID  : Iqdap9FUVrA
URL       : https://www.youtube.com/watch?v=Iqdap9FUVrA
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 272
Saved at  : 2026-06-05 13:42:58
------------------------------------------------------------

[00:04.47]  你知道人类发明了多少种杀虫剂吗
[00:07.92]  大概 有这么多种
[00:11.18]  我们耗费巨资
[00:12.18]  买来了其中的 16 种
[00:14.03]  然后忍着痛苦
[00:15.12]  弄来了 150 只果蝇和蟑螂
[00:17.68]  挨个做实验
[00:18.93]  就为了弄清一个问题
[00:20.82]  这么多杀虫剂有什么区别
[00:23.07]  到底怎么选
[00:31.77]  人类发明的绝大多数杀虫剂
[00:33.77]  都属于“广谱杀虫剂”
[00:35.42]  也就是只要是虫子都能杀
[00:38.08]  选择杀虫剂的关键在于两方面
[00:40.62]  一 是有效成分
[00:42.38]  二 是剂型
[00:43.92]  比如是喷雾还是饵剂
[00:45.50]  你可以轻易地在产品外包装上找到它们
[00:48.60]  我们先说有效成分
[00:50.45]  有效成分是杀虫剂的灵魂
[00:52.75]  它决定了杀虫剂是以何种方式杀死虫子
[00:56.42]  比如这两瓶的有效成分
[00:57.85]  是拟除虫菊酯和新烟碱
[01:00.05]  属于神经毒素
[01:01.33]  一个能让虫子进入兴奋模式
[01:03.55]  嗨到无法自拔
[01:04.80]  最后抽搐痉挛而死
[01:06.80]  另一个
[01:07.75]  能让虫子进入麻痹状态
[01:09.30]  变成“植物虫”
[01:10.42]  最后瘫痪而死
[01:11.90]  而这两瓶的有效成分
[01:13.55]  是氟蚁腙和鱼藤酮
[01:15.35]  作用于呼吸作用
[01:16.53]  让虫子窒息而死
[01:18.53]  这一盒的有效成分是硼酸
[01:20.58]  也就是无穷小亮倾情推荐过的成分
[01:23.58]  它能腐蚀昆虫的外骨骼 堵塞气门
[01:26.25]  最后引发脱水
[01:27.33]  让虫子活活渴死
[01:29.30]  剩下的这些我们就不赘述了
[01:31.75]  毕竟当我们查到这些内容的时候
[01:33.70]  内心也是为之一颤
[01:35.65]  不禁感叹人类的手段之残忍
