Title     : 涨得比黄金猛，为什么内存条原地起飞？AI看得上我这200块破内存？【柴知道】
Video ID  : 8QcPwNIaoKk
URL       : https://www.youtube.com/watch?v=8QcPwNIaoKk
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 297
Saved at  : 2026-06-05 13:30:53
------------------------------------------------------------

[00:00.48]  2025 年 10 月
[00:01.64]  柴司利润爆表
[00:03.52]  我们把旧电脑上
[00:04.32]  拆下的内存条挂上闲鱼
[00:06.24]  瞬间被来自华强北的神秘买家
[00:08.60]  以 90-200 不等的高价拍下
[00:10.76]  狂赚一笔
[00:12.12]  选择此时出手
[00:13.32]  是因为柴司极强的商业嗅觉
[00:15.90]  2025 年
[00:16.68]  存储芯片价格一路狂飙
[00:18.92]  各种内存条的价格
[00:19.96]  在几个月内翻了一倍
[00:21.64]  涨势比黄金更快
[00:23.48]  连雷总都说贵
[00:25.16]  我们随手在电商网站上
[00:26.48]  找了一根 16G 内存条
[00:28.16]  它的“双11促销专享价”
[00:30.56]  相比 5 月份的
[00:31.56]  日常价格都翻倍了
[00:33.56]  而在疯狂捞金之时
[00:34.92]  我们也要打开格局
[00:36.56]  为各位普通人搞清一个问题
[00:39.04]  为什么内存条的价格涨上天了
[00:41.28]  谁能把它的价格打下来
[00:48.84]  关注过数码产品的朋友都知道
[00:50.68]  内存和硬盘的价格
[00:52.24]  经常大涨大跌
[00:53.96]  一些朋友也许有印象
[00:55.64]  2019 年的内存
[00:56.72]  硬盘曾经大降价
[00:58.48]  让当年存储芯片行业的
[01:00.14]  总收入下降了 1/3
[01:02.64]  就在全行业一片鬼哭狼嚎之时
[01:04.96]  突如其来的疫情冲击
[01:06.44]  导致居家办公盛行
[01:08.44]  连带着存储价格鸡犬升天
[01:11.96]  之后疫情缓解
[01:13.00]  各家厂商积压了大量库存
[01:14.88]  又开始跳楼大甩卖
[01:16.56]  存储价格从高点腰斩
[01:18.24]  让三星创下了 14 年内
[01:20.04]  最低的季度利润
[01:21.60]  之后各家相继减产
[01:22.96]  价格又触底回弹
[01:24.76]  直到今年
[01:25.72]  存储芯片的价格彻底飞升了
[01:29.20]  虽然每次涨价 降价的
[01:30.52]  具体原因不同
[01:31.52]  但背后的规律是一致的
[01:33.92]  首先 存储芯片的
[01:35.34]  玩家集中度非常高
[01:38.20]  存储芯片分两种
[01:39.26]  用于固态硬盘这类产品的
[01:40.80]  叫 NAND
[01:41.64]  用于生产内存条的
[01:43.08]  叫 DRAM
[01:44.40]  在 NAND 市场
[01:45.28]  主要的玩家是
[01:46.24]  美国 韩国 日本的这几家公司
[01:48.92]  中国的长江存储市占率正在爬升
[01:51.36]  但目前还不到 10%
[01:53.64]  而在做内存条的 DRAM 领域
[01:55.52]  三星 SK海力士 美光这御三家
[01:58.36]  就占据了 90% 以上的市场
[02:01.32]  剩下的玩家中
[02:02.24]  只有中国的长鑫科技
[02:03.72]  占了大约 5%
[02:05.08]  中国台湾的南亚科技占了 1%
[02:07.24]  集中趋势更明显
[02:09.00]  可以说 在存储芯片领域
[02:10.64]  尤其是做内存条的 DRAM 领域
[02:13.36]  完全是几家巨头把控整个市场
[02:16.24]  除了中国厂商之外
[02:17.40]  已经很久没有其他人能上桌了
[02:19.92]  而买过内存条的朋友都知道
[02:21.76]  各家的产品都差不多
[02:23.48]  在参数相同的情况下
[02:24.96]  挑个便宜的就行
[02:26.32]  相互之间的可替代性很强
[02:28.88]  也就是说
[02:29.88]  整个存储芯片市场上
[02:31.32]  就这几个玩家
[02:32.72]  它们背后的供应链差不多
[02:34.32]  能卖的产品也差不多
[02:36.08]  面对的市场需求更差不多
[02:38.08]  这导致了它们在减产
[02:39.36]  扩产的节奏上
[02:40.80]  也差不多
[02:41.88]  比如疫情期间
[02:42.92]  供应短缺
[02:43.80]  三星 海力士 美光
[02:45.36]  都同时在 2020 年
[02:46.72]  下半年宣布扩产
[02:48.60]  而在库存高企
[02:49.72]  价格跳楼后
[02:50.96]  美光 海力士 三星等
[02:52.24]  又在 2022 23 年
[02:53.68]  相继宣布减产
[02:55.44]  总而言之 存储市场上
[02:57.00]  很少有一家减产
[02:58.20]  另一家扩产的平衡
[02:59.88]  而是大家的产能
[03:00.96]  都随着价格的波动而波动
[03:03.52]  其实如果产能调整得够快
[03:05.44]  那市场的自发调节也能平稳价格
[03:08.44]  但现实是
[03:09.48]  存储芯片的生产速度
[03:11.44]  比养猪还慢
