Title     : 用ChatGPT写科普稿是一种怎样的（痛苦）体验？【柴司ChaiCo】
Video ID  : zjfPidJPHX4
URL       : https://www.youtube.com/watch?v=zjfPidJPHX4
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 362
Saved at  : 2026-06-05 13:45:56
------------------------------------------------------------

[00:00.90]  我们之前做了一期视频
[00:02.47]  介绍 ChatGPT 的原理
[00:04.37]  之后网上的很多教程都把 ChatGPT
[00:06.17]  说得神乎其神
[00:07.70]  但如果观察一下
[00:09.00]  目前大部分内容都还停留在"惊叹" 
[00:11.30]  或者"玩具"层面
[00:12.53]  真正借助 ChatGPT 
[00:13.93]  或者其他 AI 大模型做严肃创作的
[00:16.33]  还是很少
[00:17.30]  虽然但是
[00:17.90]  我们的评论区里已经有朋友在问
[00:20.00]  这篇稿子是不是用 AI 写的
[00:22.50]  于是我们就真的试了一下
[00:24.00]  高度依赖 ChatGPT 和 New Bing
[00:26.03]  来写一篇及格的科普稿
[00:27.70]  看到底行不行
[00:29.47]  顺便一说不是我们不想用别的产品
[00:31.70]  但别的要么暂时不支持中文
[00:34.00]  要么还不给我们用
[00:35.47]  所以目前还得用它俩
[00:37.97]  写出来的稿件我们已经发布过了
[00:39.93]  有兴趣的朋友可以去看一下
[00:41.67]  接下来我就讲讲
[00:42.87]  我用 ChatGPT 和 New Bing 
[00:44.37]  高强度写稿的真实感受
[00:52.27]  在一开始
[00:52.93]  我们就决定要选择一个对 ChatGPT 
[00:55.07]  相对友好的选题来操作
[00:56.80]  因为 ChatGPT 目前没有联网
[00:58.60]  不了解 2021 年之后的事情
[01:00.97]  所以比较新的选题就算了
[01:03.10]  我想找那些比较经典的
[01:04.67]  在很多书和文献
[01:05.77]  上都已经介绍过的题材来给它操作
[01:08.13]  最终选定的选题就是
[01:09.87]  动物的求偶方式
[01:11.73]  接下来我的思路就是让 ChatGPT 
[01:13.67]  先生成一篇
[01:14.67]  以“动物求偶方式”为主题的大纲
[01:17.50]  然后再一点点充实其中的内容
[01:20.60]  ChatGPT 生成大纲确实很快
[01:22.97]  如果感觉不满意还能再来一个
[01:25.40]  嗯这些大纲看起来呢
[01:27.13]  内容丰富 案例翔实 感觉确实不错
[01:30.97]  那么接下来
[01:31.73]  就是顺着 ChatGPT 提供的大纲
[01:33.93]  来一点点丰富内容
[01:35.57]  整个训练内容太长了
[01:37.33]  我们把它总结成一份文档
[01:39.00]  如果你好奇 ChatGPT 
[01:40.90]  具体回答了一些什么
[01:41.87]  那么可以在后台回复 ChatGPT 
[01:43.60]  来获取这份文档
[01:45.47]  这是我用 OpenAI 
[01:46.33]  最新发布的 GPT-4 引擎生成的内容
[01:49.30]  没错 我已经给 OpenAI 充值了
[01:51.97]  但生成的内容给我的感觉嘛
[01:54.97]  好像什么都说了
[01:56.57]  又好像什么都没说
[01:58.37]  更重要的是
[01:59.70]  大部分知识点不能说错得离谱
[02:02.37]  只能说编得真好
[02:04.47]  比如这一条关于“舞蛛”求偶的内容
[02:07.00]  舞蛛确实存在
[02:08.57]  但英文名不叫 Jumping Spiders
[02:10.37]  这个 Jumping Spiders 叫“跳蛛” 
[02:12.17]  也确实存在
[02:13.27]  它俩都不是一个科的
[02:14.90]  舞蛛在狼蛛科 跳蛛在跳蛛科
[02:17.70]  另外 它们的求偶方式
[02:19.40]  都不是给雌性送好吃的
[02:21.70]  比如根据《国家地理》的这篇文章
[02:23.60]  跳蛛靠跳舞求偶
[02:25.30]  而且雄性跳蛛在求偶时 要非常小心
[02:28.47]  一旦惹怒了雌性
