Title     : 电车为何如此“易上火”？如何科学地防范新能源车自燃？
Video ID  : D8vcHRSqndE
URL       : https://www.youtube.com/watch?v=D8vcHRSqndE
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 274
Saved at  : 2026-06-05 13:42:09
------------------------------------------------------------

[00:03.00]  在买新能源车之前
[00:04.75]  很多人最操心的事情不是续航
[00:06.78]  不是性能
[00:08.16]   而是
[00:08.80]  安全
[00:10.03]  相比于油车
[00:11.36]  新能源车自燃时的
[00:12.50]  火势蔓延速度往往更快
[00:14.28]  而且更随机
[00:15.62]  在 2021 年发生的 
[00:17.02]  3000 多起能源汽车火灾中
[00:19.12]  有大约 40% 发生在行驶途中
[00:21.98]  35% 发生在充电阶段
[00:24.35]  还有 25% 
[00:25.36]  是在停车静止状态下发生的
[00:27.82]  这到底是怎么回事
[00:29.80]  所有新能源车企都必须直面这一问题
[00:33.17]  正好 我们来到了
[00:34.60]  武汉的奥特能超级工厂
[00:36.19]  来看看电池为什么会自燃
[00:38.58]  上汽通用汽车
[00:39.72]  又是怎么应对这些问题的
[00:52.81]  其实电池自燃快的原因并不复杂
[00:55.12]  就是“热失控”
[00:56.50]  如果我们把电池拆开
[00:58.33]  就能看到其中布满了
[00:59.55]  密密麻麻的电芯单元
[01:01.15]  它们是组成电池的最小结构
[01:03.85]  如果个别电芯发生故障
[01:05.70]  就可能让局部温度快速上升
[01:07.88]  然后把热量传递给周围的其他电芯
[01:10.03]  引发更多电芯故障
[01:11.30]  释放更多热量
[01:12.50]  就像多米诺骨牌一样
[01:13.95]  引发连锁反应 
[01:14.92]  越烧越猛 越烧越快
[01:16.95]  这就是热失控
[01:19.03]  电动汽车的使用环境非常复杂
[01:21.30]  在现实世界中
[01:22.62]  能引发热失控的诱因
[01:23.99]  大致可以分为三类
[01:25.38]  机械滥用
[01:26.50]  比如  碰撞 挤压等物理损伤
[01:29.20]  电滥用 
[01:30.00]  也就是过度充电 放电等电路问题
[01:32.78]  还有热滥用 
[01:33.70]  也就是电池温度太高 过热
[01:35.43]  所导致的热失控问题
[01:37.25]  要提升新能源汽车的安全性
[01:39.33]  预防电池自燃
[01:40.60]  也就是从这三个方面下手
[01:42.58]  现在我们看到的
[01:43.80]  就是上汽通用汽车
[01:45.27]  奥特能智电平台生产的
[01:46.79]  智电大五座 SUV 别克 ELECTRA E5 
[01:49.85]  使用的电池包
[01:51.12]  它由8组电池模组组成
[01:53.25]  每份模组内又容纳有 12 颗电芯单元
[01:56.78]  要保护这么多电芯的安全
[01:59.04]  避免碰撞 挤压等“机械滥用”
[02:01.15]  导致电池失控
[02:02.40]  那最直观高效的方法就是
[02:04.40]  包一层最强悍的外壳
[02:06.88]  强悍到在满电状态下
[02:08.57]  受到 3 倍于国标的挤压力
[02:10.40]  也没有异常
[02:11.95]  从 2 倍于国标要求的高度跌落
[02:14.32]  也安然无恙
[02:15.70]  在针刺实验中
[02:16.97]  也能保证电池包
[02:18.35]  无明火 不爆炸 无热失控
[02:21.10]  这块外壳之所以这么强
[02:22.93]  是因为它采用了高强度的井字形结构
[02:25.85]  横梁和侧边防护梁都选用了
[02:28.12]  1500MPa 的超高强度钢
[02:30.55]  并以激光焊接工艺连接
[02:32.70]  这能让电池经受各种高强度的机械碰撞
[02:35.78]  让奥特能电池包的实际表现
[02:37.47]  明显超出国标要求
[02:39.22]  这意味着 哪怕汽车经受了
[02:41.32]  比一般情况更为严重的机械损伤
[02:44.00]  奥特能电池包依然能
[02:45.53]  有效控制热失控的风险
[02:47.15]  避免自燃发生
[02:49.12]  碰撞 挤压等问题
[02:50.32]  主要来源于外部环境
[02:52.07]  而“电滥用”
[02:53.15]  也就是电池过充 
[02:54.40]  过放所导致的热失控
[02:56.15]  就跟外壳无关了
[02:58.12]  要管理好这么多颗电芯
[02:59.82]  防止内部出问题
[03:01.20]  需要的是另一套系统
[03:02.70]  BMS
[03:03.75]  也就是“电池管理系统”
[03:05.62]  它负责通过温度传感器和电流传感器
[03:08.97]  随时监测 评估并管理
[03:11.05]  每一颗电芯的充放电过程
[03:13.50]  其实现在几乎每一辆新能源汽车
[03:15.72]  都配备了 BMS
[03:17.18]  你现在看到的
[03:18.22]  就是奥特能平台的 wBMS 系统
[03:21.00]  它的特别之处在于
[03:22.62]  大多数 BMS 系统
[03:24.32]  是通过有线连接传输数据的
[03:26.60]  而奥特能平台的 wBMS 系统
[03:29.43]  是通过这样的无线射频模块
[03:31.53]  来实时传输信号的
[03:33.38]  无线方案有什么好处呢
[03:35.75]  它一方面能大幅降低线材老化
[03:38.53]  可能带来的故障风险
[03:40.10]  另一方面
[03:40.85]  它还简化了电池装配的流程
[03:43.28]  提高了电池包生产的质量和效率
[03:45.60]  让 BMS 系统更加可靠
[03:48.15]  除此之外
[03:49.18]  奥特能平台还给本地的电池管理系统
[03:51.43]  接入了一套云端的
[03:52.82]  “电池健康智能监测系统”
[03:54.90]  这样就能基于电池的全生命周期数据
[03:57.86]  24 小时全天候综合评估电池的健康状态
[04:01.25]  给出更长远的风险管理建议
[04:04.45]  再看一下导致“热失控”的
[04:05.97]  三大类原因
[04:06.97]  其中最直接的
[04:08.32]  就是电池的温度过高
[04:09.82]  但其实温度太低也不行
[04:12.00]  因为电池会罢工摆烂
[04:13.85]  这也是很多手机在冬天会被冻关机
[04:16.32]  很多车在冬季的续航会下降的原因
[04:20.20]  而解决这些问题的方案
[04:21.90]  是“热管理系统”
[04:23.62]  奥特能平台的热管理系统
[04:25.38]  叫做的 BEV HEAT
[04:26.65]  高效综合热管理系统
[04:28.68]  它负责给电池提供适宜的工作温度
[04:31.43]  具体来说
[04:32.31]  就是管理汽车中的各类发热与散热装置
[04:35.30]  将它们连接成各种热回路
[04:37.20]  温度高时开空调制冷
[04:39.10]  温度低的时候接加热器升温
[04:41.43]  动态调节电池温度
[04:42.90]  避免电池过热或者躺平
[04:45.43]  除了给电池降温
[04:46.93]  避免电池过热
[04:47.85]  提升安全性以外
[04:49.05]  BEV HEAT 还能根据电池的
[04:51.20]  实际温度 环境温度
[04:52.80]  以及车内的空调需求
[04:54.30]  智能分配能量
[04:55.30]  平衡能耗续航 电芯寿命 电池安全 
[04:57.52]  以及驾乘的舒适性
[05:00.27]  在预防热失控方面
[05:01.82]  奥特能已经做了很多措施
[05:03.88]  但所有的安全问题
[05:05.23]  都不能只考虑“预防”
[05:07.32]  还要考虑万一出问题后要如何应对
[05:10.30]  假如真的有一个电芯出问题了
[05:12.32]  怎么办呢
[05:13.77]  还记得之前的针刺实验吗
[05:15.62]  在针刺实验中
[05:17.20]  电芯显然被破坏了
[05:18.95]  但热量并没有扩散
[05:21.15]  这是因为奥特能电池包
[05:22.68]  在电芯和电芯之间
[05:24.35]  设计了航天级的气凝胶隔热材料
[05:27.15]  能隔绝热量传递
[05:28.68]  切断热失控的传递链条
[05:30.85]  同时还做了防爆阀
[05:32.38]  与快速排气通道的设计
[05:34.32]  这为了快速平衡电池内外的压强
[05:37.02]  避免爆炸
[05:38.30]  同时 电池包内
[05:39.80]  还使用了特种绝缘材料
[05:41.56]  来保护高压元器件
[05:43.55]  这是为了防止空气电离引发电弧
[05:46.05]  避免次生灾害
[05:47.95]  这些设计的目标 就是应急
[05:50.43]  是要做到即使个别电芯发生爆燃
[05:53.27]  引发热失控
[05:54.20]  也能很快被控制住
[05:55.77]  不至于产生快速 不可控的后果
[05:58.50]  当然了 完成这些设计只是第一步
[06:01.35]  因为“安全不仅仅需要被设计出来”
[06:03.80]  更关键的是
[06:04.62]  它还需要“被制造”出来
[06:06.23]  而这就要工厂的技术实力足够硬才行
[06:09.15]  现在 就让我们一起来看看
[06:11.02]  这间奥特能电池车间里
[06:12.80]  究竟都有哪些硬核技术
[06:15.82]  大家看到这个机械臂了吗
[06:17.98]  它主要负责把一个个模组
[06:19.70]  装到电池包里面
[06:21.62]  我们可以在这里看到这样两个摄像头
[06:24.68]  它可以像人眼一样生成 3D 视觉信号
[06:27.60]  实现高精度的空间定位
[06:29.82]  同时这个机械臂跟我们的手臂差不多
[06:32.43]  是能够感知到力量大小的
[06:34.75]  通过这套系统
[06:35.77]  奥特能工艺能把模组的安装精度
[06:38.38]  控制到 0.2mm 
[06:40.00]  还可以通过视觉系统进行定位补偿
[06:43.32]  然后我们现在看到的这个大机器人
[06:46.55]  它负责的工作是给电池包涂胶 合盖
[06:49.88]  你不要小看这个工作
[06:51.35]  因为这项工作
[06:52.52]  直接就决定了
[06:53.68]  电池最终的密闭性好不好
[06:55.27]  能不能防水防尘。
[06:57.20]  在实际涂胶合盖之前
[06:59.23]  这台机器人会先在虚拟场景中
[07:01.52]  把整个过程跑上百次
[07:03.10]  不断迭代方案
[07:04.32]  找出最佳的一套参数设置
[07:06.35]  再进行实际操作
[07:07.70]  这样就能保证每次涂胶合盖
[07:09.80]  都能达到足够的精度
[07:11.62]  这整块电池也能达到 IP67 
[07:13.98]  和 IP6K9K 的防尘防水等级
[07:17.85]  那像这样的智能技术
[07:19.38]  在电池车间各个生产线工位上
[07:21.52]  我们还见到了很多很多
[07:23.35]  从模组安装 拧紧 
[07:24.85]  到电性能测试 合箱操作
[07:26.93]  再到冷却系统
[07:27.95]  和电池整包的泄露漏测试
[07:29.65]  看得我们眼花缭乱
[07:31.35]  但所有这些
[07:32.55]  其实还只是这座超级工厂中的一间车间
[07:36.07]  作为一座规模巨大的
[07:37.68]  新能源汽车生产基地
[07:38.93]  上汽通用汽车武汉基地
[07:41.02]  除了奥特能电池车间外
[07:43.00]  其实还有一间奥特能电驱车间
[07:44.82]  和总装车间
[07:46.15]  我们也参观了一圈
[07:47.80]  发现在这两间车间里
[07:49.40]  还有很多很多
[07:50.18]  我们前面完全没有提到的复杂生产技术
[07:52.93]  比如高精度的柔性化机加工生产线
[07:55.50]  高集成的模块化电驱系统 
[07:57.50]  大规模可自动运输物料的
[07:59.05]  智能AGC小车等等等等
[08:01.43]  凭我们这一期视频肯定是讲不完了
[08:04.00]  但你肯定也能看出来
[08:05.57]  正是因为所有这些大大小小的
[08:07.77]  技术设备 工艺流程 生产设计
[08:10.07]  才最终确保了从这间工厂开出的电动车
[08:13.23]  是足够安全 让人放心的
[08:16.00]  奥特能平台实际上
[08:17.65]  也确实达到了如今汽车行业
[08:19.85]  电子电气系统安全层面的最高标准
[08:22.55]  ASIL-D 等级
[08:24.45]  在总装车间里
[08:25.77]  我们还看到了刚刚新鲜出炉
[08:27.65]  刚下线的智电大五座 SUV 
[08:29.65]  别克 ELECTRA E5
[08:31.27]  它就是基于奥特能平台打造的
[08:33.85]  工作人员告诉我们
[08:35.10]  在过去的一个月里
[08:36.33]  上汽通用新能源车的交付量
[08:38.23]  已经达到了 8000 多辆
[08:40.98]  最后 我们试驾着别克 ELECTRA E5
[08:43.88]  顺着“上汽通用大道”
[08:45.60]  “雪佛兰大道”
[08:46.50]  “别克大道”
[08:47.48]  围着厂区转了一圈
[08:49.27]  那从路名中就能感受到
[08:50.95]  汽车产业的地位有多重要
[08:53.30]  在新能源汽车狂飙突进的时代浪潮中
[08:56.25]  一座这样先进而庞大的汽车工厂
[08:58.95]  推动的不光是汽车
[09:00.70]  还是整座城市的科技创新
[09:03.00]  和经济发展
