Title     : 电车换电池有多贵？开了 6、7 年，电池还能用吗？【柴知道：车圈化简】
Video ID  : RfUvSyEJJ30
URL       : https://www.youtube.com/watch?v=RfUvSyEJJ30
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 270
Saved at  : 2026-06-05 13:39:30
------------------------------------------------------------

[00:00.60]  这是 2021 年
[00:01.73]  一位特斯拉车主
[00:02.73]  给自己的 Model S
[00:03.80]  绑上了 30 公斤炸药
[00:05.57]  然后轻轻一摁
[00:11.97]  他炸车的原因是因为
[00:13.07]  这辆 Model S 的电池出了故障
[00:14.92]  只能换新
[00:15.83]  价格大概是 2 万欧元
[00:17.80]  相当于同款二手车的一半价格
[00:20.73]  他越想越气 越气越想
[00:22.57]  最后 气炸了
[00:29.67]  很多人买电车
[00:30.60]  是因为用电成本低
[00:31.97]  但很多人不买电车
[00:33.57]  是担心它电池维修成本高
[00:35.60]  衰减快 二手折价率高
[00:37.97]  那么换电池真的那么贵吗
[00:39.83]  等你想卖车的时候
[00:41.17]  这块电池还能用吗
[00:47.83]  你可能觉得换电池很贵
[00:49.47]  但实际上
[00:50.80]  可能比你想的还贵
[00:52.67]  我们统计了这些国产车型的
[00:54.30]  换电池价格
[00:55.40]  一般相当于新车整车出厂价的
[00:57.57]  四分之一到二分之一
[00:59.20]  如果是跟二手车比
[01:00.47]  那换电池的成本就显得更高了
[01:03.17]  中保研给出的零整比数据
[01:04.50]  也证明这一点
[01:05.80]  零整比是反映某个零件的
[01:07.67]  维修价格相对于整车价格的比例
[01:10.87]  售价 27 万的比亚迪汉 EV
[01:13.43]  电池包的零整比是 28.5%
[01:16.33]  而售价 17 万的北汽新能源 EU7
[01:19.33]  电池包的零整比高达 98.7%
[01:22.73]  这意味着换电池跟买新车
[01:24.80]  基本是一个价格
[01:26.83]  根据这份报告的统计
[01:28.13]  50 款新能源样本车型的电池包的
[01:30.55]  平均零整比超过 50%
[01:33.07]  整体来看就是
[01:34.17]  换个电池 相当于买半辆车
[01:36.60]  这下跟开头那位
[01:37.39]  特斯拉车主的遭遇对上了
[01:39.77]  而且在一些个案中
[01:40.87]  还有更离谱的情况
[01:42.63]  比如 2022年
[01:43.57]  一辆售价 24万9 的极星2
[01:45.60]  遭遇事故 需要换电池
[01:47.43]  你猜要花多少钱
[01:49.20]  换整个电池组的价格大概是
[01:50.80]  54 万
[01:52.73]  由于报价过于离谱
[01:54.13]  最后车主选择直接报废走全损
[01:56.17]  让保险公司赔付了
[01:58.13]  那既然换电池这么贵
[01:59.63]  为什么不维修呢
[02:01.43]  当然可以维修
[02:02.40]  但电池的维修很麻烦
[02:04.43]  除了少部分“换电”车型外
[02:06.03]  大部分车的电池包
[02:07.17]  都不同程度地集成在了
[02:08.60]  汽车的底盘上
[02:09.93]  这会增加拆卸的难度和成本
[02:12.53]  而且电池包本身的结构也很复杂
[02:14.87]  一块电池包里有很多个小电芯
[02:16.87]  但就算只换一个 也要打开外壳
[02:19.27]  送回车间重新配装
[02:21.23]  所以很多车企并不愿意维修
[02:23.23]  而是让车主换掉整块电池包
[02:26.07]  当然 遭遇事故要换电池的情况
[02:28.43]  毕竟是少数
[02:29.97]  更多人会在意如果车一直正常开
[02:32.73]  那么过了六年八年之后
[02:34.33]  需要换电池吗
[02:36.47]  电池是一种消耗品
[02:38.20]  手机电池用了几年之后容量会衰减
[02:40.73]  车也一样
[02:42.03]  那车的电池会衰减多少呢
[02:44.60]  根据加拿大远程信息处理公司
[02:46.43]  Geotab 发布的
[02:47.67]  在 2012 到 2019 年间
[02:49.53]  全球 64 款纯电车型的
[02:51.23]  电池衰减情况
[02:52.50]  结论是
[02:53.23]  大约平均每年衰减 2.3%
[02:57.00]  其中最早一批的部分车型
[02:58.67]  在使用了七年之后
[03:00.33]  平均电池最大容量掉到了 80%
[03:03.13]  也就是原本续航 400 公里的话
[03:05.87]  七年后就只能跑 300 刚出头了
[03:08.97]  但实话实说 这个衰减速度
[03:11.13]  比我们预想的要好得多
[03:13.27]  而且随着近几年
[03:14.40]  动力电池技术的发展
[03:15.77]  新车的电池衰减程度还会更低
[03:18.60]  那这个衰减
[03:19.47]  会影响正常的用车体验吗
[03:22.17]  根据 2015 年发布的
[03:23.40]  关于电车电池寿命的国标
[03:25.63]  一块合格的电池在完成
[03:27.40]  500 或 1000 次充放电循环后
[03:29.97]  分别要保持 90% 或 80% 以上的
[03:32.70]  初始容量
[03:33.97]  根据这个标准
[03:35.07]  如果一块电池的
[03:36.23]  初始总续航是 400 公里
[03:38.40]  那么在充放电 500 次
[03:39.97]  或者 1000 次后
[03:40.93]  它的总里程应该至少能达到
[03:42.87]  18万或者32万公里
[03:45.03]  也就是说
[03:45.77]  假如你每年都开2万公里
[03:47.93]  那么第九年的容量
[03:49.27]  应该还在 90% 以上
[03:51.27]  第十六年的容量
[03:52.43]  也至少还有 80%
[03:54.13]  可以说相当不错了
[03:56.27]  而且这里的一次“充放电循环”
[03:58.37]  是指把电池电量充到 100%
[04:00.53]  再用到 0%
[04:01.93]  是最损害电池寿命的一种方式
[04:04.47]  所以正常使用的情况下
[04:05.87]  会比这个估算的数据更好一些
[04:08.80]  更何况现在很多电池的
[04:10.12]  标称续航还超过 400 公里
[04:12.33]  完成 500 或 1000 次循环的里程
[04:14.40]  就更长了
[04:15.83]  所以从这个角度来看
[04:17.13]  大部分车主不用过度操心
[04:18.80]  电池衰减的问题
[04:20.97]  不过 电车的标称续航
[04:22.47]  跟实际续航之间肯定有差距
[04:25.00]  而且 电车在寒冷环境下的
[04:26.71]  续航多少还会差一些
[04:28.60]  如果你住在北方
[04:29.67]  或者电池本身的标称续航就一般
[04:32.20]  充电条件也一般
[04:33.47]  那可能也要考虑一下这个问题
[04:36.40]  当然 车企也知道
[04:37.60]  你对电池维修成本和寿命
[04:39.20]  有所顾虑
[04:39.83]  所以纷纷推出了各种质保方案
[04:42.03]  甚至是免费换电池的服务
[04:44.63]  不过
[04:45.53]  你如果想薅他们的羊毛
[04:47.60]  那需要满足亿点点前提
[04:50.03]  我们整理了十几家厂商
[04:51.40]  关于电池的质保服务
[04:53.03]  其中这 11 家车企
[04:54.60]  都为首任车主提供了
[04:56.10]  电池终身质保服务
[04:58.17]  如果不提供终身质保
[04:59.47]  或者你买的是二手车
[05:01.03]  那一般也享有8到10年
[05:02.83]  或者是12到16万公里的
[05:04.60]  电池质保
[05:05.60]  如果期间内电池衰减严重
[05:07.33]  那么理论上
[05:08.33]  你就享有免费换电池的质保服务
[05:11.83]  但现实中的情况
[05:13.23]  当然会更复杂一些
[05:15.03]  除了意外碰撞不保 水泡不保
[05:16.87]  在第三方维修的不保
[05:18.07]  未按官方要求充电养护的不保
[05:19.83]  等一系列免责条款外
[05:21.63]  更重要的是
[05:22.73]  还有关于年行驶里程
[05:24.53]  和衰减更换标准的条款
[05:27.03]  比如比亚迪和埃安都要求
[05:28.83]  每年的行驶里程需要少于 3 万公里
[05:31.53]  否则不保
[05:32.80]  而电池具体衰减到多少
[05:34.47]  才算是“质量问题”
[05:35.73]  各家的标准也不同
[05:37.43]  像特斯拉和理想
[05:38.63]  是质保期内衰减不超过 30%
[05:41.07]  就算正常
[05:42.47]  比亚迪和小米
[05:43.43]  是明确写出了不同年限或者里程下
[05:46.17]  能提供免费更换服务的
[05:47.80]  衰减容量分别是多少
[05:49.67]  达到这些标准 才能换电池
[05:52.37]  阿维塔和小鹏 则是用国标要求
[05:54.60]  和属不属于“正常衰减”
[05:56.73]  来界定能不能免费换电池
[05:59.20]  我们整理完一圈的感受是
[06:00.87]  只要电池出厂时符合国标要求
[06:03.63]  那你基本上不可能薅到
[06:05.30]  车厂“免费换新”的羊毛
[06:07.27]  而如果不符合国标
[06:09.20]  那说不定你反而可以
[06:10.20]  通过 12315
[06:11.33]  或者法律渠道薅到羊毛
[06:13.93]  现在
[06:14.57]  我们可以回答开头的问题了
[06:16.37]  换电池真的那么贵吗
[06:18.60]  是的 确实不便宜
[06:20.40]  有时相当于半辆车的价格
[06:23.20]  但好消息是 只要正常用
[06:25.17]  电池的衰减是很慢的
[06:26.73]  不用太担心
[06:28.03]  当然坏消息是
[06:29.13]  买的没有卖的精
[06:30.27]  你也几乎也薅不到
[06:31.43]  车厂免费换新电池的羊毛
[06:34.23]  而如果是二手车主
[06:35.63]  一是享受不到首任车主的
[06:37.47]  电池终身质保服务
[06:39.27]  二是电池多少会有一些损耗
[06:42.03]  所以你在卖车的时候
[06:43.53]  很难卖到太高的价格
[06:45.80]  不过换个思路
[06:46.77]  你也可以去当二手买家呀
[06:49.23]  毕竟价格低 电池损耗也不算多
[06:51.60]  这么一想就很划算了
[06:54.00]  如今的汽车 是升级换代很快
[06:56.23]  会逐渐贬值的大件消费品
[06:58.53]  作为自媒体团队
[06:59.63]  我们会讲解 推广很多
[07:01.17]  新的技术功能点 养活自己
[07:03.37]  但作为消费者
[07:04.47]  你可以冷静地考虑一下
[07:05.87]  自己到底需要哪些功能
[07:07.47]  量力而行
[07:08.67]  我个人的感觉是
[07:09.87]  如果你在为用车成本殚精竭虑
[07:12.47]  或者操心卖车的时候
[07:13.77]  会不会亏到心疼
[07:15.53]  那也许
[07:16.40]  可以在一开始就考虑买一辆
[07:18.37]  更在自己消费能力之内的车
[07:21.17]  反正 又不是不能开
[07:24.17]  感谢你看到这里
[07:25.07]  这是我们关于汽车领域的
[07:26.73]  第四期常规内容
[07:28.33]  从这一期开始
[07:29.23]  我们会把所有关于车的内容
[07:31.53]  归纳进这个新的视频系列
[07:33.27]  《车圈化简》
[07:34.60]  我们希望通过这个系列
[07:35.97]  在养活自己的同时
[07:37.77]  也能在充满了各种
[07:39.07]  “亲切问候”的车圈舆论场里
[07:41.23]  化繁为简 清晰地梳理 理解
[07:43.80]  汽车行业的各种新技术和热门话题
[07:46.40]  给大家提供气质清新 实用
[07:48.80]  值得一看的汽车内容
[07:50.63]  喜欢的话 欢迎点击关注
[07:52.00]  或者一键三连支持我们
[07:53.80]  下期见
[07:55.52]  老板准备换车呀
[07:57.52]  你说我是换宝马还是特斯拉呢
[08:00.30]  我觉得这个
[08:01.32]  我跟你讲啊
[08:01.82]  现在油价8块5
[08:02.76]  我要是买宝马 一年跑两万公里
[08:03.82]  那就是1万2 十年就是12万
[08:04.57]  特斯拉我算它每度电5毛
[08:05.07]  一年1700 &￥**#（%&@￥*
[08:05.85]  &（#%￥*$@%
[08:06.60]  我们有钱人
[08:07.54]  都是精打细算省出来的
[08:09.02]  我跟你讲
[08:09.65]  这个事情还是要好好考虑
[08:11.25]  要不然以后卖车的时候多亏呀
[08:12.90]  对不对
[08:16.23]  走啦
