Title     : 画饼十几年，永远在跳票，固态电池为何总是“下次一定”？【柴知道】
Video ID  : JPIvEZDom_U
URL       : https://www.youtube.com/watch?v=JPIvEZDom_U
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 225
Saved at  : 2026-06-05 13:32:56
------------------------------------------------------------

[00:00.21]  在 2024 年
[00:01.47]  柴司策划小卡就说要写“固态电池”选题
[00:04.22]  因为“2025 年是固态电池元年”
[00:06.46]  提前部署好接广告
[00:08.38]  等到了 2025 年
[00:09.69]  “固态电池元年”
[00:10.71]  又跳票到了 2026 年和 2027 年
[00:14.01]  如果我们往前翻翻合订本
[00:15.80]  会发现  2018 年 2021 年
[00:17.68]   2022 年 2023 年
[00:19.32]  年年都是“固态电池元年”
[00:22.11]  翻一翻汽车内容的评论区
[00:23.93]  还真有一群人说要等到固态电池上车
[00:27.32]  才愿意买新能源车
[00:29.60]  这期视频
[00:30.19]  我们找到了中国科学院物理所
[00:32.36]  研究电池的博士生白睿
[00:34.17]  来看看固态电池好在哪里
[00:36.49]  为什么永远是“明年一定”
[00:39.03]  虽然说等等党永不认输
[00:40.70]  但等到哪个明年
[00:42.17]  汽车才能用上固态电池
[00:49.72]  各个行业尤其是汽车界
[00:51.96]  期盼固态电池已经很久了
[00:54.57]  这主要是因为固态电池
[00:56.01]  画了一个真香的大饼
[00:57.59]  安全
[00:58.82]  很多人觉得电车不安全
[01:00.60]  是因为电池包易燃易爆炸
[01:02.33]  这个锅
[01:03.35]  主要跟锂电池里的电解液相关
[01:05.89]  我们如今用的锂电池
[01:07.19]  正负极之间是一层隔膜
[01:09.24]  其中浸满了用于传导离子的电解液
[01:12.01]  在充放电时
[01:12.99]  带正电的锂离子经过隔膜和电解液到达对面
[01:16.03]  带负电的电子则通过外部电路移动
[01:18.56]  形成电流
[01:19.67]  这里的“电解液”
[01:21.02]  主要成分是有机碳酸酯类溶剂和锂盐
[01:24.50]  有机碳酸酯类溶剂易挥发 闪点低
[01:27.01]  一旦泄露或者受热
[01:28.31]  就容易爆炸
[01:29.66]  后者比如六氟磷酸锂
[01:31.19]  受热分解的同时会释放更多热量
[01:33.44]  加剧燃烧
[01:34.92]  那如果
[01:35.87]  我们能把电解液和隔膜打包扔掉
[01:38.61]  替换成某种作用相同
[01:40.35]  但更稳定的固体不就安全了吗
[01:43.34]  而且这样一来
[01:44.33]  固态电池的体积能量密度也能更高
[01:59.43]  据说固态电池的体积能量密度
[02:01.17]  能达到 800-1000Wh/L
[02:03.79]  相比目前使用液态电解液的
[02:05.84]  三元锂电池和磷酸铁锂电池接近翻倍
[02:09.63]  又安全又持久
[02:10.90]  这就是固态电池给各位画的饼
[02:13.46]  但要把饼做出来还剩下一个问题
[02:16.32]  到底要用什么固体来充当电解质呢
[02:19.96]  如果你还没把《高中化学必修 1》还给老师的话
[02:22.75]  那应该能记得它曾高屋建瓴地指出
[02:25.83]  电解质往往需要在溶液
[02:27.43]  或者高温熔融状态下才能导电
[02:29.94]  而呈固态时离子不能自由移动
[02:32.35]  所以无法导电
[02:34.27]  要做固态电池就要改写教科书
[02:36.88]  被寄予厚望逆天改命的材料有好几种
[02:39.81]  聚合物 氧化物和硫化物
[02:42.26]  以及一些“非主流”路线
[02:44.30]  固态电池什么时候能上车
[02:45.54]  就看这些技术路线哪个能率先跑通
[02:48.81]  首先其中的聚合物已经被淘汰了
[02:52.18]  2011 年
[02:52.79]  法国一家公司
[02:53.47]  推出过一款搭载聚合物固态电池的电动汽车
[02:57.07]  它电池小续航少
[02:58.27]  充电慢
[02:59.17]  更奇葩的是每次开车前
[03:01.42]  要先把电池预热到 60-80℃
[03:04.79]  之所以这么拉胯
[03:05.63]  是因为聚合物固态电池
[03:07.29]  在室温下的离子电导率非常低
[03:11.12]  所谓的“离子电导率”
[03:12.22]  就是衡量电解质导电能力的物理量
[03:15.30]  聚合物在室温下的离子电导率
[03:17.15]  只有电解液的千分之一甚至更低
[03:20.01]  没法儿用
[03:21.27]  加热到60℃后也只有液态电解质的十分之一
[03:25.14]  所以聚合物固态电池上车之后
[03:26.88]  很快又下车了
[03:29.13]  相比而言氧化物 硫化物的电导率
[03:31.61]  比聚合物高了几个数量级
[03:33.89]  他们也是目前车企和电池厂的主流技术路线
[03:38.22]  其中的氧化物也已经上车了
[03:40.19]  但却只能以所谓“半固态电池”的身份上车
[03:43.83]  这是为啥呢
[03:45.48]  氧化物很稳定
[03:46.61]  生产 使用都很安全
[03:48.38]  虽然电导率也远不如电解液
[03:50.43]  但差不多能用
[03:51.65]  它最大的问题是
[03:53.06]  解决不了“界面阻抗”的问题
[03:56.02]  界面阻抗
[03:57.09]  是指锂离子在通过电极和电解质的接触面时
[04:00.48]  所遇到的阻力
[04:01.91]  我们现在用的锂电池中
[04:03.36]  电极是浸润在电解液中的
[04:05.41]  二者接触面积很大
[04:06.82]  锂离子很容易就能移动
[04:08.74]  但固态电池就麻烦了
[04:27.53]  不管用哪种材料
[04:28.55]  “界面阻抗”都是固态电池
[04:30.53]  目前最大的技术难题之一
[04:32.50]  一些车企宣传的“半固态电池”
[04:35.24]  就是在氧化物之外
[04:36.58]  再加入一部分电解液
[04:38.01]  来解决界面阻抗的问题
[04:40.18]  属于一种妥协方案
[04:42.16]  但问题是加了电解液之后
[04:44.20]  还是得面对锂电池“易燃易爆炸”的风险
[05:17.92]  所以“半固态电池”
[05:19.20]  到底能不能在现有的技术路线上
[05:21.51]  发展成全固态电池
[05:23.81]  难说
[05:25.08]  不过已经有车企宣称
[05:26.39]  会在 2026–2027 年前后
[05:28.78]  让“全固态电池”上车
[05:30.55]  用的就是氧化物和其他物质混合的方案
[05:33.84]  至于能不能成真
[05:35.90]  明年再说吧
[05:37.64]  而硫化物
[05:38.71]  则是目前电池行业的顶级玩家
[05:41.01]  宁德时代 比亚迪 丰田 三星
[05:43.25]  都在押注的“版本答案”
[05:45.26]  硫化物的电导率非常优秀
[05:47.04]  目前研究最多的 LGPS
[05:49.02]  锂锗磷硫
[05:50.16]  导电率几乎跟电解液相当
[05:52.44]  但它的问题是
[05:53.63]  安全性弱了亿点
[05:56.32]  硫化物固态电解质一旦暴露在空气中
[05:59.14]  就容易水解产生硫化氢
[06:00.86]  是著名的易燃易爆 
[06:02.51]  有剧毒和臭鸡蛋味的气体
[06:05.29]  这不光对生产环境提出了很高的要求
[06:07.65]  还大幅推高了生产成本
[06:10.20]  有报道说
[06:10.98]  目前锂锗磷硫的价格高达每公斤 7 万美元
[06:14.78]  作为对比每公斤电解液只要 5 美元
[06:18.25]  就算不管价格和安全性
[06:19.94]  技术上的难点也很多
[06:21.97]  就说“界面阻抗”问题
[06:23.20]  硫化物也很难解决
[06:25.70]  相比于坚硬的氧化物
[06:27.47]  硫化物呈粉状
[06:28.58]  跟电极的接触面相对好一些
[06:30.74]  但目前也只能在实验室里通过外部加压等方式
[06:34.66]  勉强缓解这个问题
[06:37.15]  真要量产上车有多难
[06:38.92]  手握 1000 多个固态电池专利的丰田
[06:41.71]  对此最有发言权
[06:43.41]  早在 2011–2012 年
[06:45.15]  丰田就发布了基于锂锗磷硫开发的固态电池
[06:48.29]  并宣布将在 2015–2020 年商用
[06:51.72]  到了 2017 年的东京国际车展上
[06:53.92]  丰田又说他们计划在 2020 年初
[06:56.31]  推出一款由固态电池供电的原型车
[06:59.30]  结果到了 2019 年的东京车展上
[07:01.86]  这个“年初”又变成了 2020 年东京奥运会期间
[07:06.10]  而众所周知
[07:07.17]  2020 年东京奥运会其实是在 2021 年办的
[07:09.92]  所以丰田的 flag 也延期到了 2021 年
[07:12.74]  到了 2021 年
[07:14.08]  又毫不意外地迅速跳票
[07:16.09]  再等到了 2023 年
[07:17.54]  丰田又计划在 2027 年
[07:19.22]  推出全固态电池的电动车
[07:21.18]  但很快
[07:22.08]  这个时间点又推迟到了 2030 年
[07:25.12]  怎么讲 GTA VI 都没有丰田跳得多
[07:28.19]  GTA VII 跟全固态电池谁先上市
[07:30.98]  那都不好说
[07:32.71]  除了这三种外
[07:34.02]  目前还有一些新的热门方向
[07:35.97]  比如卤化物
[07:37.31]  清陶能源正在开发的第二代半固态电池
[07:40.06]  就使用了“氧化物+卤化物+聚合物”的组合
[07:43.54]  还有把有机物和无机物
[07:45.37]  复合在一起的固态电解质
[07:47.32]  总之就是各种排列组合都试试
[07:49.34]  万一蒙对了呢
[07:51.57]  那么最后到底在哪个明年
[07:53.97]  “等等党”才能等到固态电池呢
[07:55.94]  这个问题不是我们能回答的
[07:58.61]  不过就在诸多玩家又又又又宣布
[08:01.66]  要在 26 年 27 年量产固态电池的时候
[08:04.49]  2024 年 9 月电池行业的头号玩家
[08:07.37]  宁德时代的老板曾毓群说
[08:24.51]  至少宁德时代还拿不准
[08:26.26]  固态电池是不是能在 2027 年量产
[08:29.12]  他们预计至少要在 2030 年之后
[08:31.89]  固态电池才能大规模应用
[08:33.86]  并实现和目前锂电池同样的价位水平
[08:37.52]  我们也问了问白睿啊
[08:39.19]  他似乎更“乐观”一点
[09:31.59]  听到这里
[09:32.39]  你心里应该有个数了
[09:33.68]  所以最后呢
[09:34.76]  我们祝愿产业界能顺利突破技术难题
[09:37.90]  让我们早日用上固态电池
[09:40.02]  但各位等等党也要做好心理预期
[09:42.85]  光明就在 2 年
[09:45.13]  3 年
[09:46.31]  或者 5 年后
[09:48.08]  反正总会来的吧
[09:49.42]  加油
[09:50.24]  下期见
[09:51.43]  但各位等等党也要做好心理预期
[09:54.15]  光明就在 2 年
[09:55.89]  3 年
[09:57.49]  或者 5 年后
[09:59.58]  哎呀反正总会来的吧
[10:01.19]  加油
[10:02.15]  下期见
