Title     : 瘦到40斤，厌食症患者真不饿吗？男的也有进食障碍？【柴知道】
Video ID  : In2afJdX2TE
URL       : https://www.youtube.com/watch?v=In2afJdX2TE
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 210
Saved at  : 2026-06-05 13:43:55
------------------------------------------------------------

[00:06.00]  像这样
[00:06.78]  把自己饿成骷髅的厌食症患者
[00:09.12]  你应该在新闻里见过不少了
[00:12.19]  所以我们直接做题
[00:13.72]  以下哪种情况可能出现在
[00:15.95]  厌食症患者身上
[00:19.51]  是不是觉得只有 A 像厌食症
[00:21.98]  B C D 毫不沾边
[00:24.05]  但是恰恰相反
[00:25.53]  B C D 都可能出现在
[00:26.74]  厌食症患者身上
[00:28.25]  只不过需要加一些后缀
[00:30.43]  比如 疯狂泡健身房 
[00:32.41]  过度健身
[00:34.63]  计算每一顿饭的热量
[00:35.97]  但只摄取一点点
[00:37.43]  一粒米都不多吃
[00:42.53]  下厨准备丰盛的餐点
[00:44.00]  但是给别人吃 自己不吃
[00:49.20]  而厌食症患者对食物是有兴趣的
[00:51.77]  但就是不吃
[00:53.37]  为什么会这样
[00:54.52]  男性就不会得厌食症吗
[01:04.63]  厌食症的大名叫 “神经性厌食症”
[01:07.53]  吊诡的是 患者并不讨厌食物
[01:10.03]  那为什么就是不吃呢
[01:12.48]  问题在于 他们真的认识不到
[01:14.83]  自己已经 “过瘦” 了
[01:16.43]  哪怕骨瘦如柴
[01:17.90]  他们还是觉得自己胖
[01:22.63]  这不是故作谦虚的炫耀
[01:24.84]  是真心地觉得自己胖
[01:27.08]  在医学上 这叫 “体象障碍”
[01:29.58]  或者 “躯体变形障碍”
[01:31.60]  就是出现了一种
[01:32.78]  对自己身体的认知障碍
[01:34.78]  所以不是节食的人就会得厌食症 
[01:37.72]  重点是出现了心理问题
[01:40.41]  在整个过程中
[01:41.43]  他们的食欲一直都在
[01:43.48]  当然 他们可能会说
[01:44.76]  自己 “没有食欲”
[01:46.30]  但这很可能是强烈的减重意识
[01:48.54]  让他们否认自己有饥饿感
[01:50.52]  或者是由于营养不良
[01:52.38]  导致消化功能减弱了
[01:54.47]  正是因为这样
[01:55.64]  哪怕身边人提醒他们已经太瘦了
[01:58.39]  他们也不敢多吃
[01:59.99]  而是继续减重 没有尽头
[02:08.94]  一些比较配合的病人
[02:10.28]  能承认自己营养不良
[02:12.20]  但是也不承认自己 “瘦”
[02:14.19]  情况再好些的病人
[02:15.98]  能被人说服
[02:17.06]  从某种程度上认可自己太瘦了
[02:19.50]  想要配合增重
[02:21.40]  但是 增重
[02:22.31]  也不是 “吃” 就行了
[02:24.23]  因为他们不敢吃
[02:26.64]  打个比方
[02:27.73]  火灾时总有从高楼跳下的人
