Title     : 真心话：你真的需要智驾吗？5年后，你的智驾还能用吗?【柴知道：车圈化简】
Video ID  : 8p2RLNvfBBg
URL       : https://www.youtube.com/watch?v=8p2RLNvfBBg
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 180
Saved at  : 2026-06-05 13:37:03
------------------------------------------------------------

[00:03.17]  2024 年
[00:04.13]  一大堆车企老板都开了直播
[00:06.57]  吹
[00:09.00]  推广自己家的智驾系统
[00:11.17]  还有一些更疯狂的家伙
[00:12.87]  把自己和别人的命都交给了智驾
[00:19.67]  我们毫不怀疑
[00:20.43]  智能驾驶是日后的方向
[00:21.87]  但直到今天
[00:22.87]  真正使用过智能驾驶的人
[00:24.43]  还是少数
[00:25.73]  很多年轻人在买
[00:26.67]  自己的第一辆车的时候
[00:28.03]  其实并不知道
[00:28.77]  智驾是噱头还是真实用
[00:31.23]  也有很多人觉得
[00:32.23]  就算现在智能驾驶不成熟
[00:34.37]  但买回来后随着系统的不断更新
[00:36.77]  它早晚会进化完全
[00:38.73]  那
[00:39.63]  真的是这样吗
[00:41.43]  这期视频
[00:42.13]  我们采访了两位车主
[00:43.43]  和车圈大 V 韩路老师 
[00:45.67]  来试着回答一下两个问题
[00:47.63]  现在的智能驾驶好用吗
[00:49.80]  这两年的带智驾的新车
[00:51.83]  能战未来吗
[00:53.87]  欢迎来到这一期的
[00:55.20]  “车圈化简”
[00:58.27]  首先 在买了带智驾功能的车之后
[01:00.77]  你会不会经常用智驾呢
[01:03.17]  我们在之前的这期视频中介绍过
[01:05.07]  高速路况简单
[01:06.47]  地图信息齐全
[01:07.93]  所以目前“高速智驾”
[01:09.27]  已经比较成熟
[01:10.83]  但城区路况复杂很多
[01:12.53]  各家的“城区智驾”
[01:13.40]  都才起步不久
[01:14.80]  我找到了两位朋友
[01:15.93]  他们跟车圈没有任何利益关系
[01:18.27]  分别开着蔚来 ET5T
[01:19.87]  和小鹏 G9 MAX 
[01:21.63]  都配备了同品牌最好的智驾
[01:24.20]  那他们会在城区用智驾吗
[02:06.07]  很显然 谢老师对目前智驾系统
[02:08.33]  在城区的评价并不高
[02:10.17]  他认为城区智驾要想变好用
[02:12.47]  不光要解决技术问题
[02:13.83]  还要解决智驾系统
[02:15.40]  跟电瓶车或者行人博弈时
[02:17.47]  可能涉及的法规问题
[02:19.43]  那韩路老师差不多也是这个意思
[02:48.80]  但开着小鹏 G9 的 Sheldon 老师
[02:50.77]  却跟我说
[02:51.60]  他在城区也会用智驾
[02:53.80]  因为如果认清需求找对场景
[02:56.17]  智驾能帮他节省精力
[03:27.67]  所以看起来似乎是
[03:29.00]  虽然很多厂商都宣传自己
[03:31.27]  已经在城区里实现了
[03:32.70]  “无图智驾”
[03:33.43]  到处都能开
[03:34.80]  但实际情况
[03:35.90]  好像离他们的宣传还有
[03:37.70]  一点点差距
[03:40.03]  所以如果你真的非常为
[03:41.77]  城区智驾心动的话
[03:43.13]  那还是建议你认清现实
[03:45.07]  别被车厂带跑了
[03:47.07]  但请注意
[03:47.97]  我们绝不是说智驾是鸡肋
[03:50.27]  因为当我们谈到
[03:51.53]  “高速智驾”的时候
[03:52.73]  画风瞬间就变成了
[03:54.23]  “用过的都说好”
[05:02.14]  就算是在买车前
[05:03.68]  不太看重智驾功能的谢老师
[05:05.84]  也表示高速智驾用过就回不去了
[05:22.52]  看到这里
[05:23.29]  相信各位大概能了解目前智驾系统
[05:25.82]  在高速和城市道路上的实际体验了
[05:28.52]  而且几位老师表达的看法
[05:30.32]  跟我自己用智能驾驶的体验
[05:31.89]  也差不多
[05:33.29]  就是高速和环路上很好用
[05:35.12]  但城区就
[05:36.86]  还差一点意思
[05:39.06]  所以这就引出了下一个话题
[05:40.86]  虽然城区智驾现在还不成熟
[05:43.32]  但随着软件一版一版更新
[05:45.12]  过几年不就成熟了吗
[05:46.73]  我提前买好一辆带智驾的车
[05:49.29]  我坐等它战未来不就行了
[05:52.09]  我之前也是这么想的
[05:54.26]  但随着我们关注智驾越来越多
[05:56.69]  就好像觉得这个事情不太对劲
[05:59.93]  比如这是过去 10 年
