Title     : 眼镜店真的暴利吗？配眼镜时有哪些坑？【柴知道】
Video ID  : WiCEfTKkIRE
URL       : https://www.youtube.com/watch?v=WiCEfTKkIRE
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 412
Saved at  : 2026-06-05 13:41:31
------------------------------------------------------------

[00:00.31]  眼镜行业历来被人们称为暴利
[00:02.82]  那么一副眼镜生产成本究竟是多少
[00:05.50]  来看记者采访
[00:06.75]  一般而言
[00:07.59]  镜片的生产成本会是在
[00:09.69]  10 块钱左右 到 50 块钱左右
[00:13.15]  你肯定也看过这样的新闻
[00:15.01]  说眼镜的成本很低
[00:16.42]  但我们配一副眼镜的成本却很高
[00:19.11]  配眼镜 似乎是一个暴利行业
[00:21.02]  以至于去换眼镜的时候
[00:22.24]  我们心里都会犯嘀咕
[00:23.91]  到底应该选哪种镜片
[00:25.31]  我是不是在交智商税
[00:26.98]  眼镜店的验光
[00:27.94]  是不是没有医院的验光准
[00:29.46]  验完光去网上
[00:30.32]  配一副便宜的不行吗
[00:32.35]  这些问题的答案
[00:33.25]  还是藏在一线从业人员的脑袋里
[00:36.06]  所以我们发了动态请教大家
[00:38.11]  来自天南海北的热心朋友们
[00:39.97]  为我们解答了这些问题
[00:45.67]  在这期视频里
[00:46.69]  我们一方面会介绍
[00:47.91]  眼镜店的实际经营状况
[00:49.83]  另一方面  也会给你自己配眼镜
[00:51.88]  会遇到的各类问题
[00:53.48]  提供来自一线的实用建议
[01:01.87]  首先 眼镜店真的这么赚钱吗
[01:04.75]  我们先翻了博士眼镜 2022 年的财报
[01:07.83]  他们 2022 年的营业收入
[01:09.28]  是 9.6 亿
[01:10.32]  其中销售
[01:11.09]  主要是房租和工资社保
[01:13.08]  就花掉了 4.2 亿
[01:14.87]  再扣除 3.6 亿的营业成本
[01:17.23]  主要是进货成本
[01:18.71]  那剩下这个不到 8% 的利润率
[01:21.65]  好像也没比柴司强多少啊
[01:24.40]  这情报可靠吗
[01:26.32]  几位采访者的说法
[01:27.41]  基本跟财报上的内容一致
[01:29.14]  对 是的是的 啊 那肯定是
[01:30.22]  对对对
[01:31.61]  房租和工资
[01:32.83]  占了线下眼镜店最大头的费用
[01:35.45]  大部分眼镜店 
[01:36.28]  都要租在一个人流量大的地方
[01:38.14]  租金低不了
[01:39.42]  而且还需要投入一定的资金
[01:41.08]  用于购买仪器
[01:42.81]  比较大的连锁店
[01:43.92]  单店在仪器设备上
[01:45.40]  可能就要花几十万
[01:47.12]  一位开了 12 年眼镜店的
[01:48.49]  店主告诉我们
[01:49.71]  她开业时
[01:50.64]  买验光仪和磨边机的花费
[01:52.88]  大概是
[01:53.77]  三十多万 三十大几万吧
[01:56.54]  而且还有一些成本
[01:57.82]  是我们此前从未想到过的
[02:00.32]  比如 试错成本
[02:02.73]  如果给客户的眼镜配得不合适
[02:04.93]  需要重做
[02:05.95]  那这部分成本需要店家自己来承担
[02:08.90]  而很多人 包括我们自己在内
[02:11.33]  可能从来都没有退换过眼镜
[02:13.69]  就算感觉这个眼镜有哪里不太对
[02:15.87]  也觉得适应一下就好了
[02:21.14]  比如说今天你近视 500 度
[02:23.34]  我去给你拿一个 525 度的眼镜
[02:26.09]  在你刚刚戴上去的时候
[02:28.34]  那你会觉得不适应
[02:30.00]  那很多的一些眼镜店会说
[02:31.53]  你回去适应一下就好了
[02:33.20]  就是在这种适应的过程当中
[02:35.25]  慢慢自己就接受了这种
[02:37.38]  其实是错误的一个度数
[02:51.92]  所以如果你以后遇到这种情况
[02:53.92]  应该去检查一下
[02:54.88]  眼镜是不是有问题
[02:56.73]  有问题的话
[02:57.44]  完全可以要求眼镜店帮你调整
