Title     : 磁带是怎么记录你的青春的？它为什么适合盗版？【柴知道】
Video ID  : --X4DhES-9k
URL       : https://www.youtube.com/watch?v=--X4DhES-9k
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 255
Saved at  : 2026-06-05 13:36:20
------------------------------------------------------------

[00:01.97]  这
[00:02.60]  是一盒普普通通的磁带
[00:04.33]  是属于我们这一代人的青春回忆
[00:07.93]  在那个流媒体还没有
[00:08.97]  占领世界的年代
[00:10.23]  哪个80后 90后没听过磁带呢
[00:13.97]  当然 它播放的不一定是伍佰
[00:16.04]  或者王心凌
[00:18.73]  Section A 
[00:20.43]  Activity 2d
[00:23.10]  磁带不光记录了你的青春
[00:24.63]  还在音乐行业
[00:25.53]  引发了一场大规模的盗版风潮
[00:28.03]  而且不同的磁带之间
[00:29.63]  还有音质上的高下之分
[00:31.80]  高级的磁带机
[00:32.90]  功能也远比我们
[00:34.20]  用过的复读机多得多
[00:36.37]  磁带是怎么记录声音的
[00:38.10]  这期视频 
[00:38.93]  我们就来讲讲磁带的故事
[00:48.43]  我们小时候听的磁带
[00:49.57]  属于“卡式磁带”
[00:50.77]  相对应的还有另一种磁带
[00:52.13]  叫“盒式磁带”
[00:53.57]  像午夜凶铃里的贞子
[00:55.30]  就寄生在这种录像带里
[00:59.30]  顺便一说
[01:00.03]  我们现在说的 VCR
[01:01.60]  就来源于
[01:02.40]  “盒式录像机” 的英文缩写
[01:05.13]  磁带出现前
[01:05.97]  音乐大多数都记录在黑胶唱片上
[01:08.23]  而磁带的出现
[01:09.40]  极大程度上方便了音乐
[01:11.43]  尤其是盗版音乐的传播
[01:13.63]  我们小时候听的
[01:14.43]  孙燕姿 周杰伦 陶吉吉
[01:16.17]  可能绝大多数都是盗版的
[01:18.63]  盗版磁带大流行
[01:19.70]  是因为磁带非常容易记录声音
[01:21.97]  在这条棕色的塑料基带上
[01:23.63]  有一层磁性涂层
[01:25.63]  通常是氧化铁颗粒
[01:27.10]  它们磁力原本是无序的
[01:29.40]  在录音时
[01:30.20]  当声音被麦克风转换成电流后
[01:32.60]  就会来到录音磁头这里
[01:34.37]  让磁头处产生相应变化的磁力线
[01:37.13]  这些磁力线会在
[01:38.17]  录音磁头的开口处漏出来
[01:40.17]  把经过此处的磁性涂层磁化
[01:42.30]  形成一个个有序的磁化区域
[01:44.70]  这些区域里的磁性涂层的
[01:46.50]  排列和强度
[01:47.57]  就对应着录音时的声音信号
[01:50.20]  播放时就简单了
[01:51.53]  播放磁头从磁带上读取磁力信号
[01:54.13]  产生电信号
[01:55.20]  送进扬声器
[01:56.53]  声音就出来了
[01:58.33]  这就是磁带记录声音的基础原理
[02:00.40]  简单巧妙
[02:01.97]  我们中国家庭
[02:02.93]  大多数都没经历过昂贵的黑胶机
[02:05.50]  所以磁带
[02:06.30]  就是很多人接触音乐的最初渠道
[02:08.88]  而正是因为磁带录音 播放
[02:10.72]  都太简单方便
[02:11.93]  有利于大规模盗版
[02:13.43]  所以有些唱片公司非常痛恨磁带
[02:16.10]  喊出了打击盗版运动的口号
[02:18.20]  说“家庭录音正在扼杀音乐”
[02:22.00]  但也有人跟他们对着干
[02:23.43]  比如有一支英国的新浪潮乐队
[02:25.33]  就在自己发行的磁带中
[02:26.90]  特意将 B 面留空
[02:28.20]  鼓励你自己在家翻录音乐
[02:30.53]  然后惨遭百代唱片解约
[02:34.57]  磁带不仅有利于盗版
[02:35.83]  它本身的价格也便宜
[02:37.50]  所以我们小时候的英语课
[02:39.10]  配的都是磁带
[02:40.73]  在上学的时候
[02:41.70]  英语老师会让我们把
[02:42.90]  口语练习用复读机录到磁带上
[02:45.50]  如果你没有空白磁带
[02:47.00]  那就必须在这一堆最爱中
