Title     : 管理100万条数据是怎样一种体验？亲手试试，看华为云RDS有多强？
Video ID  : LerewXu9QC4
URL       : https://www.youtube.com/watch?v=LerewXu9QC4
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 270
Saved at  : 2026-06-05 13:35:32
------------------------------------------------------------

[00:00.37]  柴司的办公室
[00:01.37]  就设在北京五环外
[00:02.91]  一座普普通通的写字楼里
[00:04.83]  在同一楼层里 还有其他十几家
[00:06.87]  同样迷你的团队
[00:08.07]  包括几家电商公司
[00:09.70]  我们天天都能看到他们打包 点货
[00:12.53]  电商的每一笔订单
[00:13.70]  都涉及到客户的个人信息
[00:15.27]  产品信息 订单信息 库存情况
[00:17.03]  物流信息等等
[00:18.50]  最终汇总成一个庞大的数据库
[00:20.90]  从客户下单 到发货 进货
[00:22.90]  分析营销推广策略等等
[00:24.33]  全都要围绕着这个数据库来
[00:26.37]  尤其在双 11 黑五这样的营销季
[00:28.67]  订单暴涨 数据库的一个故障
[00:30.97]  损失的就是实实在在的辛苦钱
[00:33.93]  但当多年积累的数据
[00:35.37]  摆在面前的时候
[00:36.37]  到底应该怎么管理 查询
[00:38.13]  难道用 Excel 吗
[00:40.13]  为了演示这个问题
[00:41.23]  我们真的生成了 100 万条数据
[00:43.87]  并趁着华为云数据库双 11 的活动
[00:46.63]  看看管理 100 万条数据
[00:48.53]  是怎样一种体验
[00:50.77]  首先 当然不能用 Excel
[00:53.57]  不少小企业在订单数小
[00:55.27]  历史数据不多的时候
[00:56.43]  会用本地数据库
[00:57.97]  简单来说 就是自己买服务器硬件
[01:00.03]  使用 MySQL 等数据库软件
[01:02.07]  花钱请专门的运维人员
[01:04.07]  从头开始搭建一个数据库系统
[01:06.23]  并焚香洗手沐浴更衣
[01:07.90]  祈祷它能 7×24 小时稳定运行
[01:10.97]  数据量小的时候
[01:12.13]  本地数据库确实可以应付
[01:14.17]  但一旦遇到双 11 和
[01:15.83]  跨境电商的“黑五”这样的营销季
[01:17.93]  业务量暴涨 只要一次故障
[01:20.10]  就可能让客户刚下的订单
[01:21.90]  和原本能赚到的钱 直接消失
[01:24.83]  但如果花钱买更强的硬件
[01:26.87]  又要看着它们在非高峰期落灰闲置
[01:30.13]  所以也有一些企业
[01:31.17]  会买虚拟的云服务器
[01:32.63]  用来建立数据库
[01:33.93]  也就是大家说的用 ECS 自建数据库
[01:36.93]  这相当于把硬件外包了出去
[01:39.27]  但搭建数据库的成本
[01:40.87]  包括运维人员的成本
[01:42.33]  还是得自己负担
[01:44.07]  哪天运维大哥想喝酒撸串
[01:45.87]  其他人面对着复杂的数据库页面
[01:47.93]  只能一脸懵逼
[01:49.53]  那云数据库能解决这些问题吗
[01:52.67]  我们这次用的华为云提供的
[01:54.23]  基于 MySQL 的关系型数据库服务
[01:56.53]  也就是 RDS for MySQL 
[01:58.00]  来做个测试
[01:59.11]  看看它的性能有多强
[02:01.47]  首先 我们要搭一个电商数据库
[02:03.53]  并生成 100 万条数据
[02:05.63]  数据库中要有客户表 产品表
[02:07.47]  订单表 以及付款 物流等等表格
[02:10.03]  总之 要尽可能模拟一个
[02:11.93]  电商公司的真实运作
[02:14.23]  之后 我们创建了一个 Python 脚本
[02:15.93]  用 Faker 库随机创建了
[02:17.47]  2 万个虚拟用户
[02:18.58]  以及 15 万条订单 付款和物流数据
[02:21.37]  在运行之后 数据库中就出现了
[02:23.63]  云南省哈尔滨市的王秀珍
[02:25.30]  和广西西安市的丁海燕
[02:27.53]  这不重要 反正这 2 万名
[02:28.97]  随机生成的虚拟用户
[02:30.27]  只是我们测试道具罢了
[02:32.17]  产品表里 我们也模拟了
[02:33.67]  售价 823.62 元的小说
[02:35.93]  和仅售 121 块钱的空调等爆款商品
[02:39.87]  而且请注意
[02:40.77]  这些表之间有着复杂的关系
[02:42.87]  比如订单表里面有 customer_id
[02:44.93]  关联到用户表里面的用户 id
[02:47.17]  付款表里有 order_id 关联到订单表
[02:49.87]  所以这类数据库才叫关系型数据库
[02:53.17]  在创建完这八张表
[02:54.30]  一共近 100 万条数据之后
[02:56.03]  我们就可以开始试试
[02:57.17]  RDS for MySQL 到底有几把刷子了
[03:00.13]  我们使用了华为云现在提供
[03:01.70]  免费试用的单机版 8 核 16G 配置
[03:04.53]  只需要点两下鼠标
[03:05.87]  选择自己需要的配置
[03:07.13]  就能直创建数据库 既开即用
[03:09.63]  相比于本地自建服务器的繁琐流程来说
[03:12.43]  实在太简单了
[03:14.07]  因为我们已经用 Python 脚本
[03:15.57]  设置好了数据
[03:16.70]  所以进入数据管理服务界面之后
[03:18.87]  就可以直接开始查询
[03:20.73]  我们先看看过去一个月内注册的用户
[03:23.07]  热热身
[03:24.27]  结果耗时 1ms
[03:26.67]  那么提高一下难度
[03:27.90]  我们想看看每个用户的购物总花费
[03:30.57]  并按照从高到低的顺序给他们排序
[03:33.33]  以便于后续给土豪推奢侈品
[03:35.93]  那可以使用聚合函数来查询
[03:37.93]  你猜猜这次要多久
[03:39.97]  答案是 177ms
[03:41.93]  对于 RDS for MySQL 来说
[03:43.67]  依然是没有流一滴汗
