Title     : 通话免费，覆盖全球，直通月球！无线电玩到尽头有多强？【柴知道】
Video ID  : tkRFRNu-LEY
URL       : https://www.youtube.com/watch?v=tkRFRNu-LEY
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 316
Saved at  : 2026-06-05 13:37:24
------------------------------------------------------------

[00:00.12]  这个玩意儿
[00:00.88]  是上个月
[00:01.64]  柴司策划蹲点抢购到的
[00:03.40]  “薯条对酱机”
[00:04.88]  它的最大输出功率
[00:05.84]  不到 10mW
[00:06.79]  只要距离超过 300 米
[00:08.40]  信号就
[00:09.98]  就
[00:10.62]  弱了
[00:11.40]  再高级一些的
[00:12.36]  像保安用的对讲机
[00:13.92]  信号能覆盖一个商场或者小区
[00:16.84]  而这个玩意儿
[00:17.80]  是“业余无线电”的电台
[00:19.84]  也许你是第一次听说
[00:21.00]  “业余无线电”这个名字
[00:22.44]  你可以把它理解为一台
[00:23.76]  Pro 版的对讲机
[00:25.20]  通话完全免费
[00:26.44]  而且传输距离
[00:27.52]  可以让你通达美国
[00:30.00]  直拨空间站
[00:33.52]  甚至直通月球
[00:37.96]  为什么这么一台小小的电台
[00:39.60]  就能连通全球
[00:40.84]  甚至冲出地球呢
[00:42.88]  答案很简单
[00:43.88]  因为玩业余无线电的人
[00:45.92]  非常专业
[00:47.64]  没错
[00:48.28]  业余无线电“业余”
[00:49.56]  是相对于航空航天
[00:50.92]  铁路交通
[00:51.60]  广播通信
[00:52.50]  等无线电专业用途来说的
[00:54.72]  并不是说玩家水平业余
[00:57.36]  我们采访了几位玩家
[00:58.64]  跟你一起窥探一下
[01:00.12]  “业余无线电”怎么玩
[01:01.64]  玩到尽头有多强
[01:10.92]  对讲机就是把声音
[01:12.36]  转换成电信号
[01:13.52]  再通过无线电发射出去
[01:15.64]  其中这些频段
[01:16.68]  都是划分给“业余无线电”用的
[01:19.48]  玩“业余无线电”之前
[01:20.80]  你得先考个操作证
[01:22.20]  就好比是开车需要一个驾照
[01:24.64]  考完后
[01:25.28]  你就可以买个设备
[01:26.36]  申请一个呼号
[01:27.36]  就好比是开车需要一个车牌号
[01:30.28]  每个合法的业余无线电玩家
[01:32.04]  都有一个专属呼号
[01:34.04]  比如为我们这期视频提供内容支持
[01:36.28]  中国人民大学附属中学
[01:37.68]  朝阳实验学校的许刚老师的呼号
[01:40.24]  就是 BD1KV
[01:42.60]  这里呼号的第 1 位代表国家
[01:45.00]  第 2 位代表电台性质
[01:46.96]  第 3 位是分区
[01:48.24]  1 代表北京
[01:49.28]  中国大陆一共有
[01:50.32]   0 到 9 十个分区
[01:52.28]  最后的部分就是后缀
[01:53.64]  随机分配
[01:55.16]  许老师呼号的后缀是两位字母
[01:57.28]  这说明他是资历深厚的老玩家
[02:00.20]  因为呼号跟 QQ 号一样
[02:01.84]  早年的后缀长度比较短
[02:03.36]  而现在一般都是 3 个字母了
[02:05.96]  拿到呼号之后
[02:06.96]  你就成为了一名真正的 HAM
[02:08.84]  中文名“火腿”
[02:10.36]  是“业余无线电爱好者”的代名词
[02:13.04]  那么火腿们
[02:14.00]  是怎么玩无线电的呢
[02:17.16]  最基础的玩法
[02:18.12]  就是打开一个频段
[02:19.36]  找人聊天
[02:20.28]  有点像是现代漂流瓶
