Title     : 锟斤拷�⊠是怎样炼成的——中文显示「⼊」门指南【柴知道】
Video ID  : zSstXi-j7Qc
URL       : https://www.youtube.com/watch?v=zSstXi-j7Qc
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 454
Saved at  : 2026-06-05 13:49:58
------------------------------------------------------------

[00:00.55]  2022 年 一则娱乐新闻冲上了热搜
[00:03.82]  但网友们很快发现
[00:05.12]  这里的「⼊」并不是我们常用的中文「入」
[00:07.77]  而是热心人为了降热度用的替换符号
[00:10.37]  给我们玩了一个花招
[00:12.05]  这只是有关电脑文字的无数小故事之一
[00:15.20]  在过去的日子里
[00:16.37]  你见过跟别的字格格不入的孤寡文字
[00:19.17]  打开过全是「锟斤拷」的 txt 小说
[00:22.47]  全是框框的游戏对话
[00:24.42]  点击过长得跟真网址
[00:25.82]  一模一样的钓鱼网站
[00:27.42]  甚至有一个连派出所也登记不了的名字
[00:30.90]  所有这一切
[00:31.80]  都跟电脑显示文字的原理有关
[00:33.55]  在这期视频里
[00:34.60]  我们会带你入门中文显示
[00:35.95]  了解乱码 孤寡文字
[00:37.60]  和钓鱼网站背后的有趣故事
[00:39.95]  话不多说 开始吧
[00:47.57]  电脑显示文字
[00:48.57]  涉及到三个重要的概念
[00:50.37]  字符 字符集 和字符编码
[00:53.67]  一个汉字 一个拉丁字母 一个数字
[00:56.02]  世界上各种语言里的字和标点符号
[00:58.22]  都属于字符
[00:59.82]  一堆字符组成的集合
[01:01.42]  叫做字符集
[01:02.67]  人类世界有海量的字符
[01:04.22]  它们原本都写在纸上甚至刻在石头上
[01:07.25]  而所有这些字符
[01:08.47]  计算机
[01:09.57]  一个都不认识
[01:11.10]  你肯定知道计算机只认二进制
[01:13.30]  只能以比特的形式记录 0 和 1
[01:15.87]  为了让计算机识字
[01:17.17]  我们就需要把这些字符用 0 和 1 表示出来
[01:20.27]  把字符转换成 0 和 1 的规则
[01:22.55]  叫做字符编码
[01:24.00]  那么怎么给字符编码
[01:25.02]  把它们变成0和1呢
[01:27.35]  很简单
[01:28.40]  我们可以选定一个字符集
[01:29.40]  让字符们排排坐
[01:30.90]  再把座位序号转换成二进制
