Title     : 麋鹿测试≠操控！为什么新能源车把“麋鹿测试”玩坏了？【柴知道：车圈化简】
Video ID  : U0PK_3_NIbI
URL       : https://www.youtube.com/watch?v=U0PK_3_NIbI
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 279
Saved at  : 2026-06-05 13:35:21
------------------------------------------------------------

[00:01.08]  在瑞典
[00:01.80]  每年大约有
[00:02.48]  5000～6000 头驼鹿
[00:03.76]  会像这样
[00:06.92]  一头撞在车上
[00:08.36]  所以瑞典人发明了
[00:09.44]  “驼鹿测试”
[00:10.40]  结果不知道是哪位
[00:11.62]  不认鹿的大哥
[00:12.52]  把它翻译成了
[00:13.80]  “麋鹿测试”
[00:17.00]  在中国
[00:17.68]  每年撞上车的驼鹿
[00:19.24]  一头都没有
[00:20.28]  因为中国压根就没几头驼鹿
[00:22.84]  但这并不妨碍
[00:23.60]  各家新能源车企
[00:24.80]  天天宣传自己的麋鹿测试成绩
[00:26.76]  有多牛逼
[00:28.12]  有人登顶“麋鹿测试榜”
[00:30.08]  有人刷新“全球最高麋鹿测试成绩”
[00:33.16]  还有人
[00:33.76]  成为了“麋鹿之王”
[00:35.92]  而车企之所以这么热衷
[00:37.32]  搞“麋鹿测试”
[00:38.52]  是因为对于新能源车来说
[00:40.80]  做“麋鹿测试”
[00:41.52]  有点像“作弊”
[00:42.96]  很容易拿高分
[00:44.00]  但分再高
[00:44.88]  也说明不了什么问题
[00:46.44]  麋鹿测试
[00:47.36]  似乎已经被他们玩坏了
[00:49.44]  为什么这么说呢
[00:50.56]  欢迎来到本期的“车圈化简”
[01:02.20]  瑞典人最初发明麋鹿测试的目的
[01:04.36]  非常单纯
[01:05.32]  就是为了测试车辆的
[01:06.76]  “躲鹿”能力
[01:08.12]  像瑞典驾考的“科目二”里
[01:09.56]  就有一项“避让障碍物”项目
[01:11.60]  需要司机在湿滑路面上
[01:13.32]  模拟躲避随时窜出的野生动物
[01:15.96]  如果没躲过
[01:16.96]  那不好意思
[01:17.76]  交 800 克朗
[01:18.60]  相当于 550 块钱人民币
[01:20.84]  然后补考
[01:22.40]  所谓“麋鹿测试”
[01:23.40]  就是测试汽车
[01:24.40]  在遭遇“高速公鹿”
[01:25.80]  “鬼探头”
[01:26.68]  “货车空投”
[01:27.48]  等突发情况时
[01:28.88]  躲闪避让能力的方法
[01:30.80]  在成功避障的情况下
[01:32.28]  车速越快
[01:33.12]  麋鹿测试成绩就越高
[01:35.08]  一般测试成绩达到 70km/h
[01:37.12]  就已经是不错的水平了
[01:38.96]  80 以上
