Title     : American English Idiom
Video ID  : OUljZbi8Qoc
URL       : https://www.youtube.com/watch?v=OUljZbi8Qoc
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 13
Saved at  : 2026-06-05 17:06:40
------------------------------------------------------------

[00:04.00]  are you still buying things online yeah
[00:07.60]  i like to shop your shopping is really
[00:10.40]  getting out of hand when something gets
[00:13.84]  out of hand it means it gets out of
[00:16.48]  control so for instance if somebody
[00:19.12]  shopping is getting out of hand it means
[00:21.76]  that they are spending way too much
[00:23.60]  money and they need to stop it
[00:26.00]  when something gets out of hand maybe a
[00:28.24]  party or an event it means it was out of
[00:30.64]  control and crazy it is usually a
[00:33.36]  negative phrase to say that something
[00:35.20]  was out of hand
