Title     : April 30, 2023
Video ID  : zY3_kk5zdeo
URL       : https://www.youtube.com/watch?v=zY3_kk5zdeo
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 18
Saved at  : 2026-06-05 16:25:39
------------------------------------------------------------

[00:00.00]  hey did you have to pay to get into this
[00:01.98]  art show no I skirted around the front
[00:05.10]  table
[00:07.44]  my pants
[00:08.88]  no to Sky
[00:12.00]  seconds to pass it or avoid it
[00:14.16]  especially to avoid danger or being seen
[00:16.92]  what about when you avoid doing a job
[00:20.22]  so if you just lie and say that you did
[00:22.38]  the job or you're not doing what you're
[00:24.90]  supposed to do for your responsibilities
[00:26.58]  you can say you're skirting your
[00:28.86]  responsibilities last week I skirted
[00:32.10]  around doing laundry I just bought new
[00:34.44]  clothes
[00:35.94]  um You probably shouldn't skirt doing
[00:37.68]  that it could get really expensive true
[00:41.04]  but I hate laundry
