Title     : English writing tip
Video ID  : UzZhLm35RS8
URL       : https://www.youtube.com/watch?v=UzZhLm35RS8
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 18
Saved at  : 2026-06-05 17:01:45
------------------------------------------------------------

[00:00.08]  here is a really practical tip to help
[00:02.64]  you become a better writer in english
[00:05.28]  the tip is said is dead
[00:09.12]  i'm serious don't use the word said
[00:11.36]  there are so many better alternatives
[00:13.60]  that you can use in your writing to
[00:15.44]  describe someone speaking you could use
[00:17.60]  words like demanded exclaimed
[00:20.56]  shouted
[00:21.92]  whispered
[00:23.36]  asked cried
[00:25.52]  mumbled stated
[00:27.76]  replied or questioned these words are
[00:30.80]  much more descriptive than just saying
[00:33.36]  said so use this tip to become a better
[00:36.48]  writer in english what other english
[00:38.48]  words do you use to replace said in your
[00:41.36]  writing
