Title     : I couldn’t fathom
Video ID  : oGW-5YWqNnE
URL       : https://www.youtube.com/watch?v=oGW-5YWqNnE
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 16
Saved at  : 2026-06-05 16:16:13
------------------------------------------------------------

[00:00.08]  I couldn't fathom I couldn't fathom we
[00:03.32]  don't actually use the verb to Fathom
[00:06.52]  very often in English but this is just a
[00:09.52]  very dramatic phrase to mean like we
[00:11.88]  could not understand or fathom even if
[00:15.08]  we thought about the problem or the
[00:17.72]  situation for a long time so sometimes
[00:20.64]  if we think that someone made a really
[00:23.20]  bad decision like maybe they left their
[00:25.88]  children with a bad babysitter you could
[00:27.84]  say I cannot fathom why they would leave
[00:31.52]  their kids with Jill or whoever the bad
[00:34.32]  babysitter is in the story so it just
[00:36.48]  means like you cannot understand it's a
[00:38.80]  really dramatic way of speaking you
[00:40.56]  cannot fathom
