Title     : Important English phrase!
Video ID  : NQG2RBsGVFs
URL       : https://www.youtube.com/watch?v=NQG2RBsGVFs
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 19
Saved at  : 2026-06-05 16:40:51
------------------------------------------------------------

[00:00.00]  here's a really great phrase that will
[00:01.92]  help you in your professional English if
[00:04.68]  you say something is on the line it
[00:07.68]  means it's at risk of being harmed let
[00:10.68]  me show you exactly how to use it if you
[00:12.96]  say that your job is on the line it
[00:16.02]  means that you have to perform well or a
[00:18.30]  project has to go well or you will lose
[00:21.18]  your job sometimes we say that people's
[00:23.34]  reputation is on the line that means if
[00:26.58]  they fail at something everyone will
[00:28.50]  know that they don't do good work
[00:30.74]  firefighters put their lives on the line
[00:33.90]  to help people and save them from fires
[00:36.66]  so if you want to say that something is
[00:39.00]  in risk of being harmed or you're at
[00:41.58]  risk of being fired or at risk of losing
[00:44.28]  your life you say you are putting it on
[00:46.68]  the line follow for more English phrases
