Title     : Is this funny?
Video ID  : z3WXrdPnNk4
URL       : https://www.youtube.com/watch?v=z3WXrdPnNk4
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 15
Saved at  : 2026-06-05 16:32:40
------------------------------------------------------------

[00:00.02]  do you have a hard time understanding
[00:02.06]  jokes in English Let's test you I have a
[00:05.18]  split personality said Tom being Frank
[00:07.34]  if you are learning English it can be
[00:09.98]  really hard to understand jokes with
[00:11.90]  puns like this one to be frank means to
[00:15.02]  be very honest and of course Frank is
[00:18.38]  also just a name that we use commonly in
[00:20.96]  the United States so the joke is that he
[00:23.42]  has a split personality meaning two
[00:25.88]  different personalities one is Tom and
[00:28.82]  one is Frank but it could also be just
[00:31.58]  Frank being honest what other common
[00:34.40]  puns do you hear in American English let
[00:36.98]  me know in the comments
