Title     : Learn English Phrasal Verbs with “up”  | Speak Everyday English | Common Phrasal Verbs
Video ID  : aM1N64xs_W8
URL       : https://www.youtube.com/watch?v=aM1N64xs_W8
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 328
Saved at  : 2026-06-05 16:13:05
------------------------------------------------------------

[00:00.08]  you really need to step up your game so
[00:02.80]  instead of saying they
[00:04.32]  woke up we just say they're woke let's
[00:06.48]  be honest men can be helpless sometimes
[00:09.04]  when their wives are not around
[00:10.88]  americans bought
[00:12.40]  up all the toilet paper
[00:16.79]  [Music]
[00:22.40]  i've noticed how important it is to
[00:24.00]  study phrasal verbs when learning
[00:25.60]  english
[00:26.56]  and i notice that they can also be very
[00:29.12]  tricky
[00:30.16]  but i want to let you know that when you
[00:31.84]  master a phrasal verb
[00:33.28]  you're going to be advancing your
[00:34.80]  english skills more quickly because
[00:36.40]  they're so useful
[00:38.08]  for today's english lesson i have chosen
[00:40.56]  10 of the most useful phrasal verbs
[00:43.04]  that i find myself using almost every
[00:45.04]  day and they all contain the preposition
[00:47.76]  up so the best way to learn a phrasal
[00:49.60]  verb is by
[00:50.80]  hearing real life examples so in today's
[00:53.20]  lesson i'll teach you
[00:54.72]  real life examples that will show you
[00:56.48]  how to actually use the phrasal verb
[00:58.72]  my name is kayla i'm an american english
[01:00.64]  teacher and
[01:01.84]  i will help you speak more natural
[01:03.68]  english that you cannot find in a
[01:05.20]  textbook
[01:06.24]  so if you're watching today make sure to
[01:08.16]  help me by subscribing to my channel
[01:10.40]  so that i can be your english teacher
[01:12.08]  every week and
[01:13.52]  even if you don't subscribe i can still
[01:15.52]  be your english teacher
[01:16.80]  because my passion is teaching english
[01:18.80]  and i'll still make these lessons
[01:25.60]  so let's talk about the preposition up
[01:28.64]  you are either using up to emphasize the
[01:31.60]  verb
[01:32.96]  in the phrasal verb or you're talking
[01:34.72]  about increasing something
[01:36.48]  by saying the word up another way that
[01:39.52]  we use the word up
[01:40.48]  is obviously just meaning you're talking
[01:42.72]  about a higher place
[01:44.16]  a pie so let's start with the first
[01:47.20]  phrasal verb on today's list
[01:54.32]  mix up when you mix something
[01:57.76]  up you're typically confusing two
[02:00.56]  different things or more
[02:02.88]  and if you mix up things there's just
[02:04.96]  overall confusion
[02:06.48]  so here's my real life example when i
[02:08.88]  meet a set of twins
[02:10.64]  and they look alike i always mix them up
[02:13.68]  i don't know about you but twins just
[02:15.68]  really mix me up
[02:18.00]  here's another example there was a big
[02:19.92]  mix-up when i went to pick up my car
[02:21.76]  from the mechanic
[02:23.04]  he tried to give me someone else's car
[02:26.00]  so i often mix up my car in a parking
[02:28.48]  lot
[02:29.04]  i drive a white car and white suv and
[02:31.92]  when i see another white suv i try to
[02:34.00]  get into the car
[02:35.52]  and it's not my car and i hope that
[02:37.04]  nobody sees me because it's kind of
[02:38.88]  embarrassing
[02:40.88]  so in both these examples we were either
[02:42.88]  mixing up people
[02:44.32]  or we were mixing up cars so when you
[02:46.96]  mix something up there's a lot of
[02:48.84]  confusion
[02:54.88]  step up when we take a step
[02:58.24]  we're just walking we use our feet and
[03:00.08]  our legs to move
[03:01.92]  and in this phrasal verb we're not
[03:03.52]  actually talking about taking steps
[03:05.44]  like walking we're talking about step up
[03:08.96]  figuratively so if you step something up
[03:12.40]  you're increasing it in a positive way
[03:14.48]  here's a funny example i thought of when
[03:16.96]  the man's wife was
[03:18.00]  out of town he had to step up to his
[03:20.64]  responsibilities
[03:21.68]  and cook and clean the whole house let's
[03:24.32]  be honest
[03:25.04]  men can be helpless sometimes when their
[03:27.44]  wives are not around
[03:29.28]  and when you have to step up and take on
[03:32.16]  more responsibility
[03:34.24]  you are just increasing your
[03:35.60]  responsibility and taking on more than
[03:37.76]  you usually do
[03:38.96]  if you tell someone to step up like step
[03:41.44]  it up come on
[03:43.04]  you're using this phrase to tell someone
[03:45.92]  they need to do better
[03:47.44]  so a common phrase we use with this
[03:49.12]  phrasal verb is you really need to step
[03:51.20]  up your game this means that you just
[03:54.24]  need to step up whatever you're doing
[03:55.76]  whether it's a sport
[03:57.36]  whether it's just your responsibility or
[03:59.60]  just your job
[04:00.72]  you're telling the person to step up
[04:02.32]  their game
[04:08.08]  work up when we talk about the word work
[04:11.68]  or the verb we mean that somebody's
[04:14.16]  exerting themselves physically
[04:15.84]  or mentally so when we work up
[04:18.88]  someone here's the phrasal verb we're
[04:21.76]  working them up
[04:22.56]  we're making them angry excited we're
[04:25.44]  giving them anxiety
[04:26.64]  or we're making them worried here's my
[04:28.80]  personal example of
[04:30.40]  how i work up my mom i work up my mom by
[04:33.44]  telling her
[04:34.64]  all the dangerous things i used to do as
[04:36.72]  a child
[04:37.84]  i hope that you don't do this to your
[04:39.28]  mom too but
[04:41.04]  i give her a lot of anxiety by telling
[04:43.04]  her all the things that i used to do as
[04:44.80]  a kid
[04:45.60]  that make her worked up i thought of
[04:48.96]  another funny example for
[04:50.72]  work up the man was worked up when the
[04:54.40]  wife told them
[04:55.28]  how much money she had spent on clothes
[04:59.04]  so men husbands tend to get worked up
[05:02.24]  when we tell them how much money we
[05:04.16]  actually spend on our clothes
[05:06.48]  another way you can use this phrasal
[05:08.24]  verb is if you work
[05:10.08]  up you can produce something so the most
[05:13.28]  common way to use this phrase in this
[05:15.28]  way
[05:16.00]  is to say i worked up the courage it's a
[05:18.72]  really common phrase
[05:20.64]  so when you work up the courage to do
[05:22.72]  something you produce
[05:24.08]  the courage by getting over your
[05:25.68]  anxieties or overcoming your worries
[05:28.72]  so here's an example she had finally
[05:31.68]  worked up the courage to ask for a raise
[05:35.92]  that means she got over her fear of her
[05:38.72]  boss saying no
[05:40.16]  and she asked for more money
[05:47.04]  here's a phrasal verb that i'm sure you
[05:48.80]  already know if you've been learning
[05:50.00]  english for a while
[05:51.60]  the phrasal verb is wake up
[05:54.64]  so i had to have this one on the list
[05:56.32]  because there's two different ways that
[05:58.08]  i want to talk about
[05:59.44]  using it so we commonly talk about
[06:03.36]  waking up in the morning i usually wake
[06:05.28]  up at around 7am
[06:06.96]  but there's another common way to use
[06:09.28]  this
[06:10.32]  phrasal verb so when you wake up to an
[06:13.60]  idea you become aware of it
[06:15.92]  and you start to believe it so there's a
[06:18.48]  slang phrase that i'll teach you
[06:20.00]  too the slang phrase is woke
[06:23.28]  so instead of saying they woke up we
[06:25.76]  just say they're woke
[06:27.68]  that means they're really aware of
[06:30.64]  modern ideas
[06:32.00]  and progressive policies
[06:36.32]  here in the united states i'll just
[06:38.16]  leave it at that
[06:39.44]  things are very political here another
[06:42.32]  thing that people wake up to
[06:44.40]  is climate change climate change is
[06:46.40]  another political issue here
[06:48.80]  so you either believe that people are
[06:50.72]  causing climate change or global warming
[06:53.36]  or you haven't woken up to that idea yet
[07:02.32]  makeup so i'm not talking about lipstick
[07:05.04]  or mascara
[07:06.48]  i'm talking about when you fight with a
[07:08.00]  friend a boyfriend a girlfriend
[07:10.64]  really anyone you'll either break up
[07:13.68]  which means you end the relationship or
[07:15.84]  you'll make up
[07:18.16]  if you're a girl and you're fighting
[07:20.16]  with your boyfriend
[07:21.52]  you can make up by saying sorry of
[07:24.08]  course
[07:25.44]  and a common phrase to use is
[07:28.48]  let's just kiss some makeup this means
[07:31.28]  that let's just stop being angry at one
[07:33.28]  another and forget about the problem
[07:35.68]  it's a common phrase to use when you
[07:37.20]  just don't really feel like fighting
[07:44.32]  take up when you start to become
[07:46.88]  interested in a hobby or a sport
[07:49.20]  you can take up that hobby or you can
[07:52.08]  take up that sport
[07:54.40]  so i want to take up knitting when i'm
[07:56.48]  older i really do
[07:58.00]  that's a real example another way that
[08:00.00]  we use this phrasal verb
[08:01.68]  is when we say we can take up
[08:04.72]  space time or energy for example if you
[08:08.64]  have a piano
[08:10.00]  you may need a big house because they
[08:11.76]  take up lots of space
[08:13.92]  or children take up lots of energy
[08:16.96]  this is true children have so much
[08:18.72]  energy
[08:20.80]  in these example the piano is taking up
[08:23.28]  or using lots of space
[08:24.56]  and the children are taking up or using
[08:27.60]  lots of energy
[08:34.72]  fix up when you fix up something
[08:38.08]  you are repairing it many times we fix
[08:41.04]  up old cars or old houses
[08:43.68]  and a funny term that you may have not
[08:46.24]  heard of before
[08:47.36]  is when we have an old house that needs
[08:49.52]  repairs
[08:50.64]  we call it a fixer upper
[08:54.16]  there's many shows in the united states
[08:55.84]  about fixing houses
[08:57.68]  like fixer-uppers it's less common but
[09:00.88]  you can use the phrase
[09:02.00]  fix up like you would use the phrase
[09:04.80]  make up
[09:06.08]  like they need to fix up their
[09:07.68]  relationship
[09:13.84]  wake up when you pick up something you
[09:16.88]  take it off the floor or another surface
[09:19.36]  but a more advanced
[09:20.80]  use of this phrasal verb is to drive to
[09:23.84]  someone and pick them up in your car
[09:26.48]  here's an example i'm going to pick up
[09:28.56]  my kids from school at
[09:30.00]  3 pm do you want me to pick you up that
[09:32.80]  means do you want me to come get you in
[09:34.16]  my car
[09:35.76]  this phrasal verb has another common use
[09:38.56]  in america
[09:40.08]  when you pick up someone it means you're
[09:43.36]  kind of flirting with them and maybe you
[09:45.84]  get their number
[09:46.80]  or at a bar or another public place we
[09:49.84]  often say
[09:50.72]  that maybe there's a man who likes to
[09:53.76]  pick up
[09:54.40]  a woman maybe he likes to flirt with
[09:56.48]  them and engage with them romantically
[09:58.88]  he's trying to pick them up he's trying
[10:00.64]  to be like in a relationship with them
[10:08.56]  buy up buy up when you buy
[10:11.84]  up something you buy up a lot of it and
[10:14.64]  you buy it quickly without really
[10:16.32]  thinking about it so
[10:18.40]  here's an example we're going to use the
[10:20.32]  past tense here of bi
[10:21.92]  we're going to use bot and we're going
[10:24.64]  to be talking about something that
[10:26.00]  really did happen here in america during
[10:28.08]  the beginning of the coronavirus
[10:29.84]  pandemic
[10:30.96]  it was very strange at the beginning of
[10:33.52]  the coronavirus pandemic
[10:36.24]  americans bought up all the toilet paper
[10:40.72]  don't ask me why i don't really know but
[10:44.24]  this is really what we did it was
[10:46.24]  difficult to find toilet paper at stores
[10:48.08]  because people had just
[10:49.36]  bought it all up comment below if you
[10:51.84]  know what i'm talking about
[10:53.12]  and if people bought up food or other
[10:55.12]  things where you live during the
[10:56.40]  pandemic comment below i want to hear
[10:58.16]  about it
[11:04.80]  cut up cut up
[11:08.00]  when you ask someone to cut up
[11:09.68]  vegetables you're asking them to cut
[11:11.60]  them into small pieces
[11:13.84]  another phrase that we sometimes use
[11:15.68]  that means exact same thing is
[11:17.68]  chop up chop up
[11:20.72]  so another common way to use this phrase
[11:23.20]  cut up is if someone is
[11:24.88]  running and they're going really high
[11:26.80]  speed at a certain direction
[11:29.12]  you'll say they cut up so here's an
[11:32.08]  example
[11:33.36]  i saw a man drive up the road and cut up
[11:36.32]  to the left
[11:37.52]  so you can either be running or driving
[11:39.92]  or if you have directions
[11:42.40]  they could say to cut up north maybe
[11:45.28]  when you reach the town
[11:46.72]  cut up north thank you so much for
[11:48.56]  watching today's english lesson with me
[11:51.04]  your favorite american english teacher
[11:52.88]  kayla and i hope that you enjoyed
[11:55.52]  learning about these 10 phrasal verbs
[11:57.76]  and now you can practice them
[11:59.84]  using the comments down below and in
[12:02.40]  your daily lives because remember these
[12:04.16]  are very common phrasal verbs
[12:06.40]  that i use every day make sure to
[12:08.40]  subscribe to my channel for more english
[12:10.16]  lessons
[12:10.80]  every week and comment any lessons
[12:13.60]  suggestions that you
[12:15.20]  want to learn about make sure to follow
[12:16.80]  me on instagram
[12:18.24]  at englishwithkayla for daily english
[12:20.16]  tips i post some great short lessons on
[12:22.40]  there
[12:23.52]  thanks for watching today's video good
[12:25.36]  luck studying english
[12:40.40]  you
