Title     : My embarrassing secret!
Video ID  : EdA-cj0SrHk
URL       : https://www.youtube.com/watch?v=EdA-cj0SrHk
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 23
Saved at  : 2026-06-05 16:56:50
------------------------------------------------------------

[00:00.08]  do you guys want to hear my embarrassing
[00:02.40]  secret today well
[00:04.48]  i have been saying this phrase wrong for
[00:07.68]  so many years and i'm a native english
[00:09.84]  speaker the phrase is to nip something
[00:13.28]  in the bud
[00:15.28]  i've been saying nip it in the butt
[00:17.76]  that's not correct if you want something
[00:20.08]  to stop immediately especially a
[00:22.16]  behavior you need to nip it in the bud
[00:24.96]  it's like you're cutting off the bud of
[00:27.36]  a plant so it cannot grow
[00:29.60]  we do not say nip it in the butt so do
[00:32.32]  not be like me and make this really
[00:34.32]  embarrassing mistake when it comes to
[00:36.64]  this really popular idiom a long time
[00:39.52]  ago my friend would always ask me for
[00:41.84]  rides but they would never pay me for
[00:44.16]  gas i had to nip it in the bud and tell
[00:47.60]  her that she needed to catch the bus
[00:49.84]  instead of getting a ride with me what's
[00:52.08]  something that you had to stop and nip
[00:54.72]  right in the bud
