Title     : Shocking rules! 🚗🇺🇸
Video ID  : qMwwMXXqTgw
URL       : https://www.youtube.com/watch?v=qMwwMXXqTgw
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 20
Saved at  : 2026-06-05 16:26:06
------------------------------------------------------------

[00:00.00]  here are the three most surprising
[00:02.40]  things about driving in the United
[00:04.14]  States for my English students when the
[00:07.02]  stoplight is red you can actually turn
[00:09.96]  right as long as you stop first and you
[00:12.24]  make sure there's no traffic coming we
[00:14.40]  put our own gas or petrol into our car
[00:17.96]  except for the states of Oregon and New
[00:21.54]  Jersey because there it's actually
[00:23.40]  illegal to pump your own gaps this one
[00:26.46]  is the most surprising to my foreign
[00:28.56]  friends because there are seat belt laws
[00:31.38]  in every single state in the United
[00:33.36]  States you have to wear your seatbelt
[00:35.16]  and our children stay in their car seats
[00:38.58]  or their booster seats much longer and
[00:41.40]  to a much bigger size than the rest of
[00:43.68]  the world what's something that's
[00:45.30]  surprising to you about driving in the
[00:47.16]  United States
