Title     : Sound Like a Native  Say These Instead of 'Yes,' 'No,' and 'I’m Tired'
Video ID  : 4uAP1bVMZL8
URL       : https://www.youtube.com/watch?v=4uAP1bVMZL8
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 211
Saved at  : 2026-06-05 15:36:37
------------------------------------------------------------

[00:00.08]  Do you ever feel like you're using the
[00:02.40]  same words in English all of the time?
[00:04.72]  Like yes, yes, no, I don't know, no, I'm
[00:09.36]  tired. In today's lesson, I'm going to
[00:12.16]  expand your vocabulary using yes, no,
[00:15.92]  and I'm tired into more phrases that you
[00:18.80]  can use to mean these same things, but
[00:20.88]  you can have more expressive, advanced,
[00:23.44]  and colorful language. Make sure to
[00:25.68]  visit englishwithka.com.
[00:28.00]  Now, let's get started with this lesson.
[00:30.96]  We're going to start with some phrases
[00:32.32]  that you can use to mean yes. But again,
[00:35.76]  these are more expressive and can be
[00:37.60]  used in different context. So, if
[00:40.00]  somebody is making plans and they want
[00:42.08]  to know if you want to do it with them
[00:44.64]  or if you're going to say yes, you can
[00:47.44]  say, "I'm down. I'm down."
[00:50.40]  >> Okay, I'm down.
[00:51.84]  >> This comes off really natural and really
[00:54.56]  casual. Now, if you want to ask someone
[00:56.96]  if they want to do something with you,
[00:58.32]  you can say, "Would you be down to go
[00:59.60]  hiking this weekend?" So, down means yes
[01:03.20]  or okay. In English, if you want to be
[01:06.08]  more friendly and enthusiastic when
[01:08.80]  you're saying yes, especially, you know,
[01:10.56]  in a new friendship or a new
[01:12.24]  relationship, you could say for sure. Do
[01:15.12]  you want to go hiking with me this
[01:16.48]  weekend? For sure. This just shows that
[01:19.12]  you are really excited about the
[01:20.56]  opportunity to do something.
[01:22.24]  >> Yeah, for sure. For sure. If you want to
[01:25.84]  agree with someone instead of just
[01:28.24]  saying yes, I agree, you can use the
[01:31.04]  word totally. This is so American.
[01:34.16]  Totally American. So when you say
[01:37.04]  totally, you are agreeing with what
[01:39.36]  someone just said or if they ask you if
[01:41.92]  they want if you want to do something,
[01:43.12]  you can say totally. It just means you
[01:44.88]  100% agree with the plan and want to say
[01:47.12]  yes.
[01:48.32]  >> Totally.
[01:50.32]  >> Someone might say that movie was so
[01:52.72]  hilarious. You can just respond by
[01:55.04]  saying totally.
[01:56.88]  Or if someone says, "hm, Chinese food
[02:00.72]  sounds really good tonight." Could say
[02:02.80]  totally. This just means you really
[02:04.88]  agree with them. Another really friendly
[02:07.44]  way to say yes or agree to something is
[02:10.64]  by saying you bet. This is a bit more
[02:13.12]  old-fashioned, but I still use this all
[02:15.60]  of the time. If someone says, "Oh, thank
[02:17.52]  you so much for your help." I'll say,
[02:19.68]  "You bet." It just means like, "Of
[02:22.16]  course." Yes, you bet.
[02:24.96]  >> You bet.
[02:26.72]  >> Another really great phrase that native
[02:28.72]  speakers use all the time is no doubt
[02:31.36]  about it. No doubt about it. This just
[02:33.92]  means almost the same as totally or I
[02:37.12]  agree or very confident about something
[02:39.12]  if you say no doubt about it. I think
[02:41.52]  we're going to win the game tonight. No
[02:43.68]  doubt about it. Or someone might say, do
[02:46.40]  you think I can get this job? Might say
[02:48.56]  confidently, no doubt about it. This
[02:51.28]  means yes, but it's very confident in
[02:53.76]  your prediction.
[02:55.28]  >> Oh, no doubt about it.
[02:57.92]  >> Now, how do you say no without just
[03:00.80]  saying no? Especially if you're the type
[03:02.96]  of person that doesn't want to be rude.
[03:05.76]  If someone offers you something and you
[03:08.32]  just don't want it, either it doesn't
[03:10.48]  look good or just you don't need it
[03:12.16]  right now, you can say, "Oh, I'm good.
[03:14.24]  Thanks."
[03:15.44]  Sometimes if you go to somebody's house
[03:17.28]  and they offer you a beverage, a drink,
[03:20.16]  and you're really just not thirsty or
[03:22.24]  you just don't want any, you can say,
[03:23.60]  "Oh, I'm good. Thanks." It shows you
[03:25.92]  appreciate the offer, but you're good.
[03:28.48]  You don't need anything.
[03:30.08]  >> I'm good. Thanks.
[03:32.56]  One way that I say no to going to
[03:37.68]  outings or events, if I just am not in
[03:41.12]  the mood or like it just doesn't work
[03:43.60]  with my schedule or I'm just kind of
[03:45.68]  tired, I'll say, "I'll pass." Maybe your
[03:48.32]  friends after work say, "Do you want to
[03:49.60]  go to karaoke with us tonight?" And
[03:51.12]  you'll say, "I'll pass. Thank you."
[03:52.88]  Though it just means, you know, this is
[03:55.92]  not going to work out for me right now.
[03:57.76]  And it's seen as a polite way to decline
[04:00.00]  something and say no.
[04:01.60]  >> I think I'll pass.
[04:03.28]  >> Another polite way that you can say you
[04:05.92]  don't really like to do a type of thing
[04:08.16]  or something is you can say it's not
[04:10.88]  really my thing. Someone might say, "Do
[04:13.12]  you want to go skydiving with us?" You
[04:15.84]  might say, "Ah, not really my thing. No,
[04:18.80]  no thanks." So, it's just gentler rather
[04:21.68]  than saying no or I don't like that. Not
[04:24.80]  really my thing. Just means it's not
[04:26.72]  your type of activity. It is not your
[04:30.32]  hobby, not something that you think you
[04:32.16]  would enjoy doing. And again, it's seen
[04:34.48]  as a polite thing to say if you want to
[04:36.40]  say no to something.
[04:38.24]  >> It's not really my thing.
[04:40.80]  >> A fun phrase that you can mix into your
[04:42.96]  vocabulary to say that you don't want to
[04:45.52]  do something, especially when it comes
[04:47.04]  to doing something with a group of
[04:48.40]  people, is you say, "I think I'll sit
[04:50.80]  this one out." I think of this literally
[04:53.36]  if you are at a wedding or some kind of
[04:55.76]  party and everyone's dancing and a song
[04:58.40]  comes on that you just don't really want
[04:59.92]  to dance to. You might say, "I'm going
[05:01.60]  to go sit this one out, guys. This means
[05:03.44]  I'm going to take a break. I'm going to
[05:05.84]  pass on this song." Again, it's a soft,
[05:09.60]  gentle refusal. Someone might be saying,
[05:11.76]  "Hey, we're all going to go get drinks
[05:13.44]  after work." You'll say, "Ah, I'm so
[05:15.44]  tired. I think I got to sit this one
[05:16.88]  out." This just means that next time
[05:19.60]  maybe, but today I'm refusing the
[05:21.92]  invitation. And then a really great way
[05:24.48]  if you want to say that you want to hang
[05:26.80]  out with the person or do whatever they
[05:28.56]  want to do with you, but it just doesn't
[05:30.80]  work with your schedule or you know,
[05:32.72]  again, you're tired or something, you
[05:34.40]  can say, "Maybe another time. Do you
[05:36.80]  want to go get dinner tonight?" "Oh,
[05:38.96]  maybe another time. I'm so tired." This
[05:41.44]  leaves the door open for another
[05:43.76]  invitation. It makes a person feel like
[05:46.40]  they can invite you again and you won't
[05:47.92]  say no.
[05:48.72]  >> Sorry guys, maybe another time.
[05:51.12]  >> I love teaching these next five phrases
[05:53.60]  to say that you're tired because they're
[05:55.92]  just so expressive and they're just such
[05:58.24]  fun idioms to use and learn in English.
[06:01.04]  So instead of saying you're tired, you
[06:02.96]  can say I'm wiped out. I'm wiped out.
[06:06.32]  I'm going to go home. This just means
[06:08.08]  you're really really tired. You're about
[06:09.68]  to go to sleep.
[06:10.64]  >> I'm wiped out. If you are at work or you
[06:14.00]  know you're exercising or something and
[06:16.16]  you're so tired but you're trying to
[06:17.68]  keep going. If you want to tell someone
[06:19.76]  that, use this idiom. You say, "I'm
[06:22.24]  running on fumes." And this is the same
[06:25.12]  idea of a car having no gasoline to
[06:27.92]  power the engine. It's barely having
[06:29.92]  anything to fuel it. It's barely going,
[06:32.96]  but it's still trying. I'm running on
[06:34.80]  fumes. I'm barely going.
[06:36.64]  >> I'm running on fumes. I always think
[06:38.64]  it's super rude to say, "You look
[06:40.56]  tired." to people because it implies
[06:43.12]  that they don't look very energized or
[06:45.60]  good. So, I avoid saying that to people,
[06:48.32]  but if somebody does, you can just
[06:49.92]  respond by, "Yeah, I could use a nap.
[06:52.16]  Gosh, I could use a nap." This just
[06:54.24]  means you're tired. And if you had a
[06:56.00]  nap, you might feel refreshed. If
[06:58.64]  someone has gone through, you know,
[07:01.28]  something very emotional or maybe
[07:04.24]  they've just, you know, had a very
[07:05.84]  tiring day in general, they can use the
[07:08.64]  phrase, "I'm drained. I'm totally
[07:10.88]  drained right now." You can be drained
[07:12.96]  emotionally or you can just be drained
[07:15.20]  and be physically exhausted. I'm
[07:17.60]  drained. And then another phrase that
[07:19.68]  you can use just to say that you are
[07:22.08]  tired of doing the same thing. Maybe it
[07:24.48]  comes to work or school. Here you could
[07:27.12]  say, "I am so burnt out. I'm so burnt
[07:29.92]  out. I can't wait for the end of the
[07:32.00]  semester." Or, "I'm so burnt out. I
[07:34.40]  can't wait till the end of the day on
[07:35.92]  Friday." Just means you're exhausted and
[07:39.20]  you just don't have any mental energy
[07:41.44]  left.
[07:42.16]  >> Well, I flunked out because I I burnt
[07:45.04]  out. Are you guys down to learn more
[07:47.52]  English with me? If you are, make sure
[07:50.08]  to visit englishwithwithkayla.com
[07:52.16]  and check out my membership where you
[07:53.68]  can join my community and get learning
[07:55.76]  resources that go along with every
[07:57.52]  single lesson. But for now, I'll see you
[07:59.92]  guys in the next video. Thank you so
[08:01.52]  much for learning with me today.
[08:03.20]  Goodbye.
