Title     : This is RUDE
Video ID  : V2ConSf5GbE
URL       : https://www.youtube.com/watch?v=V2ConSf5GbE
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 13
Saved at  : 2026-06-05 16:27:34
------------------------------------------------------------

[00:00.13]  did you think Amy was being rude to me
[00:02.23]  last night no I didn't pick up on it no
[00:04.63]  I wasn't saying you had anything in your
[00:06.43]  hands what are you talking about if you
[00:09.01]  use the phrase to pick up on something
[00:11.17]  it means you noticed it or it appeared
[00:14.11]  that way so if I say I didn't pick up on
[00:16.39]  it it means I didn't notice that or it
[00:18.55]  didn't appear that way oh so you didn't
[00:21.55]  pick up on the fact that she said hi to
[00:25.21]  everyone except for me no I didn't pick
[00:27.97]  up on it I've picked up that you're not
[00:30.31]  very observant hey
