Title     : When you’re so in love  ❤️❤️❤️😍￼
Video ID  : _00tEo9oCSI
URL       : https://www.youtube.com/watch?v=_00tEo9oCSI
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 23
Saved at  : 2026-06-05 16:14:29
------------------------------------------------------------

[00:00.24]  another great idiom for relationships is
[00:03.08]  to be head over heels for someone you're
[00:06.56]  Head Over Heels so this phrase you can
[00:09.20]  say this I am head over heels for my
[00:11.08]  husband or if you are not married to
[00:13.60]  someone or even in a relationship with
[00:15.40]  someone you could say ah I am just head
[00:17.64]  over heels for this person or they are
[00:20.20]  both head over heels for one another it
[00:23.16]  means they are deeply deeply in love a
[00:26.12]  really common question that we ask in
[00:28.32]  English is do you believe in love at
[00:31.24]  first sight it was love at first sight
[00:35.68]  if you see someone and literally from
[00:38.28]  the second that you see them and meet
[00:39.92]  them you are in love with them we say
[00:43.04]  it's love at first sight so this just
[00:45.56]  describes a feeling that even without
[00:48.24]  getting to know someone you just know
[00:50.44]  that you love them and you want to be
[00:52.64]  with them in a relationship and often
[00:55.04]  times some people say no I don't believe
[00:56.96]  in love at first sight
