Title     : on board exported
Video ID  : TIML_iDcD2o
URL       : https://www.youtube.com/watch?v=TIML_iDcD2o
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 18
Saved at  : 2026-06-05 16:58:15
------------------------------------------------------------

[00:00.80]  one of my english language students just
[00:03.20]  reminded me of a fantastic idiom that
[00:05.68]  will be very useful to you
[00:08.08]  if you say that you are on board with
[00:10.56]  something
[00:11.76]  it means that you agree with it
[00:14.24]  you are in favor of it
[00:16.48]  or you approve of it
[00:19.12]  so if you're in a group of people and
[00:21.20]  someone says hey
[00:22.72]  um should we get pizza tonight you could
[00:25.76]  say i'm on board with that
[00:27.84]  a lot of times two will say i'm on board
[00:29.84]  with that plan
[00:32.48]  so we use this idiom you know in the
[00:34.80]  future if we approve of something agree
[00:36.80]  with it or we're in favor you're on
[00:39.28]  board
