Title     : shoe vocab #shorts
Video ID  : 7J_8xEec2LM
URL       : https://www.youtube.com/watch?v=7J_8xEec2LM
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 13
Saved at  : 2026-06-05 17:13:41
------------------------------------------------------------

[00:00.24]  some different english shoe vocabulary
[00:02.88]  first we have high heels sometimes we
[00:05.76]  call them pumps sometimes we call them
[00:07.60]  stilettos
[00:09.04]  and sometimes we just say heels loafers
[00:12.16]  flats or sometimes ballet flats hiking
[00:15.12]  boots no boots types of shoes are called
[00:18.48]  chucks
[00:19.44]  shoes are jordans and people who collect
[00:21.60]  these shoes are called sneaker heads
[00:23.92]  united states we call these adidas and
[00:26.64]  sometimes we say sneakers running shoes
[00:28.96]  or just tennis shoes
