Title     : to let down
Video ID  : x6Y9YF6g-N4
URL       : https://www.youtube.com/watch?v=x6Y9YF6g-N4
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 13
Saved at  : 2026-06-05 17:11:59
------------------------------------------------------------

[00:00.00]  a really natural way to say that you
[00:01.76]  were disappointed by something or
[00:04.00]  somebody is to say that you were let
[00:06.40]  down you can also call something that is
[00:10.08]  disappointing a letdown so if someone
[00:13.20]  promises you that they will help you and
[00:15.76]  then they don't show up you can say you
[00:18.16]  really let me down you can also say that
[00:21.04]  it was such a letdown when it rained and
[00:23.92]  my soccer game got cancelled the next
[00:26.40]  time you want to say you were
[00:27.60]  disappointed you can say you were let
[00:30.00]  down
