Title     : Learn how to win on the internet in 28 min  [tiktok shop, trends, building cult brands]
Video ID  : Ua32iGPwisU
URL       : https://www.youtube.com/watch?v=Ua32iGPwisU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 914
Saved at  : 2026-06-21 02:24:57
------------------------------------------------------------

[00:00.24]  I interviewed Orin Meets World this guy
[00:02.72]  has worked with everyone from Red Bull
[00:04.80]  to sarro you name it but that's not why
[00:07.76]  he's interesting he's interesting
[00:09.60]  because he has nailed Tik Tok and he has
[00:12.80]  nailed how to create content that
[00:15.28]  spreads to millions of people Tik Tok
[00:18.16]  shop I didn't know much about it he
[00:20.04]  taught me and he's going to teach you
[00:21.96]  enjoy this
[00:23.48]  episode the
[00:27.40]  start it's sipping time baby
[00:30.06]  [Music]
[00:32.00]  all right new character unlocked Orin
[00:35.24]  the internet's creative director welcome
[00:39.08]  man I'm excited to be here let's uh
[00:41.40]  let's rip some ideas you know okay I
[00:43.48]  want to run this is a startup ideas
[00:45.12]  podcast so I'm G to run an idea by you
[00:47.08]  anyone could take it you can take it for
[00:49.28]  for all I care um and I want to Workshop
[00:53.36]  it and and just get into your brain to
[00:55.72]  see how you would take this idea and
[00:58.04]  turn it into a cult brand with me let's
[01:01.40]  roll so here's the idea I have a iPhone
[01:06.68]  case it's kind of actually kind of
[01:08.44]  falling apart it's just black it's not
[01:10.32]  that
[01:11.28]  interesting I will say I used to just
[01:14.48]  have no iPhone case and I would crack it
[01:16.56]  and crack it and crack it so I've I've
[01:18.20]  given up you know for the people in the
[01:20.92]  comment section who are gonna be like oh
[01:22.84]  you know I can't believe he has an
[01:24.36]  iPhone case can't believe he's one of
[01:25.64]  those people like I've given up on it
[01:27.76]  you know it's so you feel me on that
[01:30.92]  yeah I was going to say I was going to
[01:31.92]  hold up uh I was going to take my phone
[01:33.80]  out of its case because I adopted the
[01:36.12]  case purely because it's been absolutely
[01:38.04]  destroyed in the same way I just gotta
[01:39.68]  stop I gotta stop doing it and so I'm in
[01:41.44]  the same exact boat brother dude once
[01:43.32]  you hit like I don't know late 20s early
[01:46.04]  30s you're just like I can't do it
[01:47.88]  anymore yeah as soon as kids are
[01:49.20]  involved man phone's breaking no matter
[01:50.48]  what exactly
[01:52.76]  so uh the idea is how can you make the
[01:56.08]  case a little a little more fun and like
[01:59.96]  a lot of us you know I'm into
[02:02.12]  Collectibles and I was thinking oh
[02:03.88]  wouldn't it be cool if you can have a
[02:06.76]  case and in the back of the case there'd
[02:08.84]  be like a chariz a a holographic
[02:11.88]  Charizard so it's basically marrying a
[02:15.28]  collectible with uh with the case and
[02:19.12]  you're able to make a premium on it
[02:21.28]  because obviously let's say you're
[02:22.52]  buying okay Charizard is probably a bad
[02:24.36]  example because there's some Charizards
[02:25.68]  that go for like
[02:26.72]  $30,000 but there are like I don't know
[02:29.92]  maybe it's a Squirtle or something like
[02:31.60]  that um which you can put in buy it for
[02:34.12]  $20 it cost you $5 to make the case and
[02:36.60]  you sell it for $75 what do you think
[02:39.80]  definitely intrigued I do it is funny
[02:42.12]  you mentioned up I have I have an
[02:43.36]  influencer iPhone case I know for for
[02:45.12]  lack of better term I have a uh this is
[02:46.68]  this is from maximize I don't if you've
[02:48.00]  seen his uh his his videos say weapon of
[02:50.12]  mass distraction I'm a Believer in the
[02:51.80]  van of the iPhone case
[02:54.56]  um and uh I'm also the the the place
