Title     : Startup Idea: Using AI to talk to the dead ft. Kevin Rose  [CLIP]
Video ID  : J4UnNCc4n2s
URL       : https://www.youtube.com/watch?v=J4UnNCc4n2s
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 141
Saved at  : 2026-06-21 02:29:32
------------------------------------------------------------

[00:00.44]  yeah I mean four or five years ago maybe
[00:03.48]  a little bit longer now gosh was
[00:05.16]  probably is longer now there was a
[00:06.72]  Coachella where Tupac was on stage as a
[00:09.16]  hologram yeah rapping along sides
[00:12.00]  alongside Snoop Dogg and and some other
[00:14.20]  folks um and that was a huge unlock SL
[00:19.20]  wow moment for a lot of people they're
[00:21.12]  like they brought someone back from the
[00:23.56]  dead for a
[00:25.00]  performance it's kind of crazy right A
[00:27.96]  lot has happened since then and now we
[00:30.72]  have you know AI voice models that can
[00:32.72]  be trained on like five words and create
[00:35.36]  like pretty accurate you know voice
[00:39.24]  voices that are that are basically you
[00:40.84]  could take just the five words that I
[00:41.96]  say and then train on my voice and and
[00:43.52]  spit out full paragraphs of of of copy
[00:46.72]  that sound exactly like me and it even
[00:48.68]  gets better if you just train for a few
[00:50.08]  minutes of with data right so there is
[00:54.00]  very much a world where if I'm in my
[00:56.20]  studio here I can put up a green screen
[00:59.00]  for my guest
[01:00.68]  I can um you know create my guest and i'
[01:04.80]  I've seen it even working now where you
[01:06.16]  can actually take and you can lip sync
[01:08.80]  uh or so you can lip I guess it is lip
[01:10.96]  sync you're syncing their lips to what
[01:12.64]  they're saying um they do this for
[01:15.04]  different languages so right now I could
[01:16.36]  be speaking Spanish to you or Japanese
[01:18.32]  and my lips would look like I'm speaking
[01:19.80]  Japanese if you just run it through this
[01:22.12]  post-processing um uh production that's
[01:24.40]  out there uh what I would do is I would
[01:27.04]  say okay let's just take a great flosser
[01:29.32]  like Allan Wat
[01:30.96]  um if you go to Alan watts. org his
[01:33.28]  website you can download 500 hours of
[01:36.16]  his talks right like that an MP3 format
[01:39.36]  again with the training you could go and
[01:40.92]  take all that data and say okay I'm
[01:42.56]  taking that entire Corpus I want to
[01:44.32]  understand who alen wats is his
[01:46.16]  philosophies feed in some of his books
[01:48.36]  as well and all of a sudden you have a
[01:50.84]  pretty interesting you know compelling
[01:53.08]  AI model that will speak and act and
[01:55.40]  talk and think like Alan Watts now I can
[01:59.20]  sit down and in real time have a
[02:01.88]  conversation and interview people that
[02:03.84]  have passed away I could do this with
[02:05.80]  Einstein you could do this with a whole
[02:07.20]  slew of different people and actually
[02:09.80]  you know have fullon conversations and
[02:13.00]  yes the AI is kind of filling in some of
[02:15.72]  the gaps and trying to come up with his
[02:17.56]  best Assumption of how they would answer
[02:18.96]  certain things but if you have enough
[02:20.72]  data I'd imagine you get pretty close I
[02:23.40]  think it would be a fun experiment I
[02:24.96]  don't know there's this is not a
[02:26.72]  business this is just more like a
[02:28.72]  thought experiment like what if we went
[02:30.52]  and tried this to see what would happen
[02:32.68]  I mean you could do this with all
[02:34.32]  different types of leaders both good and
[02:35.88]  bad that have passed away um you know
[02:38.44]  you can imagine some pretty extreme
[02:39.72]  examples of previous leaders that were
[02:41.56]  pretty evil that you could bring in you
[02:43.68]  know their data and thinking and it just
[02:47.72]  um yeah it would just be fascinating to
[02:49.88]  see how this unfolds and I have to
[02:51.24]  imagine it's coming
[02:52.88]  soon what about taking it to the next
[02:56.44]  level with speaking to
[03:01.32]  people in our lives that have passed
[03:03.12]  away oh 100%
[03:05.84]  yeah yeah that that would be the problem
[03:09.28]  there is like just do you have enough
[03:11.04]  data like I have my my dad's passed away
[03:13.36]  you know uh 13 years ago now something
[03:17.60]  like that and I think about what I have
[03:20.00]  of him and I have a few recordings of
[03:21.84]  him saying a few things bunch of emails
[03:25.32]  but they were you know just little two
[03:26.76]  three sentence things here and there so
[03:28.56]  I don't know that I have the data
[03:30.56]  required for that but we certainly will
[03:35.00]  like my kids will be able to do that
[03:36.76]  with me for sure that's for sure yeah
[03:40.40]  that's for sure and I was thinking about
[03:43.56]  this the other day because my dad my dad
[03:45.76]  was like cleaning out a closet and he
[03:48.76]  had found a bunch of
[03:50.92]  DVDs um like old family videos and he
[03:54.96]  sent me he sent me a bunch and I hadn't
[03:58.68]  seen these people
[04:00.32]  like you know as you know my late my
[04:03.00]  late grandfather my other late
[04:04.24]  grandfather I haven't seen them videos
[04:06.16]  moving pictures of them in such a long
[04:09.04]  time um and there's just something about
[04:12.00]  watching someone in video that like you
[04:15.24]  really it hits different than a photo
[04:18.56]  yeah I just it's funny you say that I
[04:20.76]  just got done sending my entire box of
[04:23.08]  old
[04:24.08]  videos uh mostly VHS honestly and
[04:27.40]  getting them converted by company and
[04:29.48]  they sent him to me and I hadn't seen my
[04:30.92]  grandma in you know since she was alive
[04:34.48]  like like almost 30 years ago or
[04:36.72]  something I was a little kid you know I
[04:38.32]  saw her last and just to see her there
[04:41.64]  was in talking was such a trip such a
[04:44.16]  trip and I mean the MVP of this like
[04:48.40]  even if you don't have enough video
[04:50.64]  footage of your grandmother but you knew
[04:53.16]  a few things that she used to say and
[04:54.88]  you have maybe some of her voice like
[04:57.96]  just like good morning Kevin like hope
[05:00.60]  you have a great day um yeah yeah it's
[05:02.96]  it's really it's funny that we were just
[05:04.60]  talking about Alan Watson I saw somebody
[05:06.12]  hacked a Raspberry Pi to be their voice
[05:08.52]  assistant and they used alen watt's
[05:10.08]  training data and it was like totally
[05:11.72]  alen watt saying good morning like you
[05:14.04]  know enjoy your day today you have three
[05:15.40]  meetings or whatever and I was like what
[05:16.92]  the hell like it's so such a trip such a
[05:19.28]  trip and I I just think that I know I
[05:22.48]  personally would pay tons of money for
[05:24.88]  something like that um yeah so I think
[05:28.16]  there's a huge business around that it's
[05:30.00]  sing time baby
[05:33.22]  [Music]
