Title     : 13 Scary Words  👻   | Useful Vocabulary Lesson
Video ID  : -UiyMsD1zHY
URL       : https://www.youtube.com/watch?v=-UiyMsD1zHY
Language  : English (en)
Generated : No (manually created)
Snippets  : 147
Saved at  : 2026-06-05 09:45:26
------------------------------------------------------------

[00:00.82]  Ahh....
[00:02.56]  Oh, my. I didn't see you there.
[00:05.96]  You really got me petrified, terrified, aghast.
[00:11.10]  Are you ready to be scared?
[00:13.20]  The only thing that will scare you is how amazing your
[00:17.20]  vocabulary is going to be after you learn these 13 words.
[00:30.08]  Fall is here, and Halloween is coming up...
[00:34.82]  So we wanted to make sure that you are ready for this time of year.
[00:39.08]  That you have all the words you need to know.
[00:42.08]  So today, I'm going to teach you 13 very scary words.
[00:46.52]  Or words that are synonyms or similar to the word scary.
[00:50.52]  See what I did there? 13 - unlucky number, scary number.
[00:54.32]  Are you ready? You're ready to be spooked?
[00:56.50]  Okay. Let's begin the first word is fearful.
[01:01.26]  Fearful means feeling or showing feeling of fear or anxiety.
[01:07.24]  So...it's...showing that you're afraid.
[01:11.26]  When you're fearful you're scared, and you're just really kind of nervous.
[01:16.30]  You just don't know what's coming, and it's just that kind of anxiety.
[01:20.20]  It makes you really afraid.
[01:23.30]  That's fearful.
[01:31.94]  Number two - panicked.
[01:34.02]  Panicked is an adjective that comes from the word panic.
[01:37.82]  And panic is a sudden feeling of terror and anxiety
[01:43.90]  that just completely overwhelms you.
[01:46.72]  And many times it can refer to a group of people.
[01:49.88]  When we see a mass of people we can hear mass panic.
[01:53.60]  Or just seeing a group of people really scared that is when panic applies.
[02:00.32]  But it is not the only time when we can use panic.
[02:03.42]  We can use it just for a feeling.
[02:05.76]  When you're anxious and when you're fearful, those two
[02:09.34]  feelings combined create panic.
[02:19.30]  Number three - startled.
[02:21.36]  Besides being difficult to say, this word is not as strong
[02:26.44]  as some of the other ones in this lesson
[02:29.06]  Meaning that when somebody is startled, they're not completely terrified.
