Title     : 35 Essential Vocabulary Words for Flying  ✈️
Video ID  : NcwJMB71_nY
URL       : https://www.youtube.com/watch?v=NcwJMB71_nY
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 391
Saved at  : 2026-06-05 08:31:56
------------------------------------------------------------

[00:00.03]  let's pack your bags and head to the
[00:01.86]  airport because today I want to talk to
[00:03.96]  you about words all related to flying
[00:09.44]  hey everyone my name is Wes this is
[00:12.21]  interactive English which is all about
[00:14.16]  helping you practice and improve your
[00:16.17]  English skills and today this lesson is
[00:18.81]  all about flying if you have ever
[00:21.12]  traveled on an airplane and you've been
[00:23.37]  to an airport then I want to talk to you
[00:25.50]  about many different words that you are
[00:27.84]  going to see that you are going to hear
[00:29.73]  so this is very useful especially for
[00:32.28]  your comprehension
[00:33.54]  so the way that we're going to do this I
[00:35.82]  am going to teach you these words as
[00:38.10]  though you and I are going on a trip
[00:40.35]  that we are going to depart from some
[00:42.93]  location and then arrive at another
[00:45.15]  location and we're going to go through
[00:47.31]  these words in order and those are
[00:49.53]  actually the first two words that I
[00:51.39]  wanted to talk to you about departures
[00:53.82]  and arrivals so when you go to an
[00:57.12]  airport and you're driving in a car you
[00:59.34]  may actually see a sign that says
[01:01.91]  departures this way arrivals this way
[01:04.92]  and what this means is that when you are
[01:07.44]  departing you are leaving from a place
[01:09.69]  and when you are arriving you are
[01:11.31]  getting to a place but in this sense
[01:13.83]  they are used as nouns departures and
[01:16.44]  arrivals so since we are leaving we are
[01:19.74]  going to go to the departures side of
[01:22.74]  the airport and if somebody is dropping
[01:25.59]  you off at the airport which is often
[01:27.87]  the case for many of us you you can't
[01:30.57]  just pull up there and park right in
[01:32.76]  front you can park temporarily in an
[01:35.07]  area that is for loading or unloading
[01:37.16]  these are two other words that you may
[01:39.93]  encounter if you are getting dropped off
[01:42.33]  at an airport you may even see a sign
[01:45.15]  that says this area is for loading and
[01:47.76]  unloading which means that you can take
[01:51.15]  the bags out of the car you can say
[01:53.40]  goodbye to somebody and you can do this
[01:55.53]  quickly you cannot park there
[01:57.06]  permanently because it's just for
[01:59.22]  loading and unloading so the first thing
[02:01.74]  that we need to do now that we're at the
[02:03.84]  airport is we need to check-in now this
[02:07.02]  word can be used
[02:08.39]  a noun a phrasal verb or an adjective
[02:10.88]  and I just used it as a phrasal verb
[02:13.16]  because I said we need to check in as a
[02:15.92]  noun
[02:16.61]  you might hear somebody say okay where
[02:18.53]  is the check in or as an adjective you
[02:22.04]  could say well we need to go to the
[02:24.32]  check-in counter so this word is very
[02:26.78]  useful because you can use it with
[02:28.55]  different parts of speech there are
[02:30.95]  typically three ways that you can check
[02:33.44]  in you can do an online check-in which
[02:36.20]  nowadays I think is pretty common you
[02:38.84]  could possibly do a curbside check-in
[02:41.45]  which sometimes you have that option
[02:44.30]  other times you don't or you can go to
[02:46.85]  the check-in counter inside the airport
[02:50.00]  many of you may be familiar with online
[02:52.58]  check-in you're just using your computer
[02:55.07]  at home to check in and get your
[02:57.35]  boarding pass now if you're going to do
[03:00.02]  a curbside check-in which you might find
[03:02.42]  at some airports other airports maybe
[03:04.79]  they don't have this but when you get
[03:07.46]  dropped off and you unload the vehicle
[03:10.16]  there may be a counter right there on
[03:12.59]  the curb and the curb is just that that
[03:15.41]  stone edging along the side of the
[03:18.02]  street that is the curve and if there's
[03:20.60]  a counter there then you might do a
[03:22.40]  curbside check-in you unload the car and
[03:25.40]  then you can check in right there
[03:27.05]  outside on the curb now many people will
[03:30.23]  go inside the airport to the check-in or
[03:33.80]  the check-in counter either one it has
[03:36.56]  the same meaning but this is the area
[03:38.78]  where you will go talk to an airline
[03:42.17]  representative you will show your
[03:43.94]  documents you will tell them where
[03:45.50]  you're going and then they will issue
[03:47.54]  you a boarding pass now I've already
[03:50.39]  mentioned this word several times but
[03:52.49]  that is another word that I think is
[03:54.32]  very important when you talk about
[03:56.09]  flying the boarding pass is the the
[03:58.61]  document it kind of looks like a ticket
[04:01.04]  and this is what allows you to get onto
[04:04.40]  the airplane you will get a boarding
[04:06.35]  pass once you check in you may have the
[04:09.08]  option to check your bags and when you
[04:11.87]  check your bags it means that you are
[04:14.42]  giving your suitcase or luggage to the
[04:17.36]  airline to take to the place that you
[04:20.21]  are
[04:20.61]  they are going to take it to your
[04:22.65]  destination and you are going to check
[04:25.02]  your bags we use it with that verb to
[04:27.84]  check bags many times people are just
[04:31.26]  going to carry their bags with them they
[04:32.94]  are not going to check them and if
[04:35.25]  that's the case then you can go straight
[04:37.68]  to security and security is the place
[04:40.65]  where people will go and there are
[04:43.79]  officials there that are just checking
[04:46.17]  to make sure that that everybody is safe
