Title     : 7 Things Americans Don't Really Say & What You Should Say Instead
Video ID  : PWzCtm5ESJc
URL       : https://www.youtube.com/watch?v=PWzCtm5ESJc
Language  : English (en)
Generated : No (manually created)
Snippets  : 121
Saved at  : 2026-06-05 09:06:37
------------------------------------------------------------

[00:00.02]  Today I want to talk to you about seven things that native English speakers don't really say
[00:04.96]  and what you should say instead
[00:06.72]  That's coming up
[00:07.78]  (Intro)
[00:11.20]  What's up everyone, my name is Wes
[00:13.14]  This is interactive English, which is all about helping you guys practice and improve your English skills today
[00:18.87]  I'm gonna tell you seven things that native English speakers
[00:22.00]  We don't really say but these are things that you may have also learned or or have heard when you're studying English in the classroom
[00:29.64]  I want to tell you what these things are and what you should say instead. What's more common?
[00:34.20]  What do people actually say in everyday conversation? The first one is it's just a greeting and that is how do you do?
[00:41.52]  How do you do?
[00:42.88]  How do you do? This is something that it's it's a very old greeting. It's very formal
[00:49.36]  Nobody really uses it anymore. And if you do say this to another person, it's just gonna sound a little awkward
[00:55.38]  It's gonna sound a bit peculiar and they're gonna wonder like wow, I I have not heard that greeting in an awful long time
[01:01.99]  So please stay away from how do you do and use one of these greetings instead. How's it going?
[01:09.09]  How are you? If you want to be a little more informal just say you know, what's up. How's it going?
[01:15.64]  Howdy
[01:17.20]  What's up?
[01:18.01]  So you may be wondering how you can get away from these phrases that people don't really use and learn the vocabulary
[01:24.76]  And expressions that native English speakers actually do say all the time that are very common in everyday English
[01:31.56]  well
[01:32.01]  The way you can do that the best way to do that is just to get more and more
[01:42.98]  It's almost like it's become a part of English learning culture. And the response is I'm fine. Thank you and you?
[01:52.37]  Just just don't say this, all right, this is not a a proper response when somebody asks you you know
[01:58.90]  How are you? First off it just sounds robotic second in English
[02:03.55]  It's not common to thank somebody after they ask them. You know, how's it going go?
[02:09.28]  I say Oh, how's it going and say oh, I'm good. Thanks for asking. It's just it's not something that happens
[02:15.67]  So this is not a common occurrence
[02:17.57]  We don't say it and neither should you so if somebody asks you how's it going?
[02:21.82]  And you respond with I'm fine that that is perfectly okay, but it's also very common to just tell someone you know
[02:28.06]  I'm good, or I'm great. Those are also very popular responses. Are you I'm fine. I'm fine
[02:35.35]  How are you? Good? And how are you? I'm great. I am great
[02:40.87]  The next one is just a word and that is Shou
[02:44.26]  And this is just old
[02:47.06]  English because Chou is just used with the the subject pronouns I and we
[02:52.55]  Just just means will we're talking about the future
[02:55.24]  And the reason why I'm bringing this up is because you will still find this in certain English books today
[03:00.79]  Even though you are not really going to hear this in spoken English
[03:04.90]  you could also use it as a suggestion with I or we like shall we leave a comment and
[03:11.93]  And instead of saying you shall I'd say you should because shall replaces should in that case
[03:17.65]  so again
[03:18.16]  If you're talking about the future just use will or be going to don't worry about shall and if you're talking about
[03:25.22]  Suggestion you should next is just another single word
[03:29.14]  And that is whom now whom has just been it's just been overtaken by who even though to be grammatically
[03:36.65]  Correct whom is is still used. You will find it especially in written English
[03:41.93]  but again
