Title     : ADVANCED BANKING VOCABULARY 🏦  | Words and phrases you need to know
Video ID  : 8RHGW3Utsps
URL       : https://www.youtube.com/watch?v=8RHGW3Utsps
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 532
Saved at  : 2026-06-05 10:14:39
------------------------------------------------------------

[00:00.16]  Hello and welcome to today's lesson. I
[00:03.84]  have I think it's a it's a fun
[00:05.84]  vocabulary lesson for you and we're
[00:07.92]  going to be talking about something that
[00:10.08]  I think we can all relate to because it
[00:12.32]  is part of our everyday lives. So, the
[00:15.92]  vocabulary that we're going to focus on
[00:18.00]  in today's lesson is really just banking
[00:22.40]  vocabulary. Really banking and finance.
[00:25.52]  I I the way that I'm going to do this is
[00:27.68]  I'm going to present this to you as a
[00:29.76]  quiz. So, I would like you to
[00:31.44]  participate in the lesson. If you're
[00:33.76]  joining me live or even watching this
[00:35.68]  later, you can write your answers in the
[00:37.76]  comments. I love seeing that to know
[00:39.68]  that you're you're actively
[00:41.12]  participating in the lesson. So, I'll
[00:44.16]  give you a few I'll give you a moment to
[00:46.48]  think of the answer and then of course
[00:48.40]  I'll I'll tell you what the word or
[00:50.48]  phrase is and then we'll talk a little
[00:52.40]  bit about it. And I will say that I
[00:56.16]  think this is a little more like more on
[00:58.80]  the advanced side, more advanced
[01:00.56]  vocabulary, but with all of these
[01:02.88]  lessons, the main goal that I that I
[01:05.44]  hope for is that you just learn
[01:07.52]  something new. So, are you ready? Here
[01:10.80]  we go. Let's just go ahead and begin
[01:13.68]  with our first question. So, the first
[01:16.56]  question that I have for you um that I
[01:18.80]  would like you to answer is this one
[01:21.04]  right here. So, I'll I'll read it for
[01:24.72]  you um just in case it's a little
[01:27.84]  challenging to see. Uh this is talking
[01:30.88]  about an agreement
[01:33.52]  that allows you to borrow money from a
[01:36.64]  bank, especially in order to buy a house
[01:41.20]  is called a
[01:44.00]  All right. What would you call that
[01:46.00]  agreement? So I if you have bought a
[01:49.84]  home in the past or then probably this
[01:54.00]  is a word that you are familiar with um
[01:58.56]  because it's something that exists in I
[02:00.88]  think across all languages. So what what
[02:03.68]  word am I talking about? If you're
[02:05.28]  somebody who is a renter, um you may not
[02:07.84]  have dealt with this with as far as a
[02:10.00]  bank is concerned, but again, this is I
[02:12.08]  think a useful word to know um because
[02:14.80]  it's another word that you might come
[02:16.48]  across if you're reading a newspaper or
[02:18.56]  you're watching a TV show or movie. So,
[02:21.84]  I see a couple of great answers. Hello.
[02:24.80]  Hello, everyone. Uh good good to be back
[02:27.44]  because I know this has been a while
[02:28.80]  since I've done a lesson live, but uh
[02:31.76]  I'll give a few shoutouts here. Um, yes.
[02:34.40]  Excellent. Angela, uh, Miriam, nil,
[02:37.68]  perfect. So, the correct answer is, uh,
[02:42.16]  mortgage. All right. So, this is what
[02:44.16]  you would call that agreement with the
[02:45.84]  bank is a mortgage. And you might have
[02:48.16]  something like, uh, a 30-year mortgage
