Title     : ADVANCED DENTAL VOCABULARY 🦷   | Words & phrases you should know
Video ID  : v4Nx-tBHkvU
URL       : https://www.youtube.com/watch?v=v4Nx-tBHkvU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 581
Saved at  : 2026-06-05 10:10:24
------------------------------------------------------------

[00:00.40]  hello and welcome to today's lesson
[00:04.08]  sorry I had a little bit of a mishap I
[00:05.92]  just spilled water all over myself but
[00:08.72]  that's not very important what we're
[00:10.72]  going to do today is I am going to see
[00:14.24]  just how much vocabulary you know when
[00:17.48]  it comes to the dentist now this is
[00:19.96]  something that I think is very useful
[00:22.44]  because we all do this or at least I
[00:24.72]  think we all should go to the dentist
[00:26.96]  from time to time if you're like me then
[00:29.68]  you probably don't enjoy going to the
[00:32.12]  dentist but I was there a few weeks ago
[00:34.48]  which is what really inspired me to do a
[00:37.60]  lesson and talk about some of this
[00:39.60]  vocabulary now I know that many of you
[00:42.68]  are very proficient some of these words
[00:45.48]  you may already know which is great I'm
[00:48.08]  confident that you'll learn maybe one or
[00:50.84]  two new words that are not as common in
[00:54.36]  just general casual conversation but
[00:57.80]  these are words that are helpful if you
[01:00.08]  go to the dentist and you need to talk
[01:01.92]  about a problem that you're having
[01:04.36]  something going on with your your tooth
[01:06.72]  or teeth and yeah let's let's just go
[01:09.96]  ahead and begin and see how much you
[01:12.32]  know and of course I want you to
[01:13.84]  participate in the lesson write your
[01:15.96]  answer in the in the chat in the
[01:18.68]  comments even if you're watching this
[01:20.12]  later I also want to mention if you
[01:22.52]  would like to get a copy of these lesson
[01:25.20]  notes just click on the link down in the
[01:27.84]  description and you join our email
[01:30.04]  Community if you're already a part of
[01:32.48]  the email Community then I've sent them
[01:34.76]  to you already and you can check your
[01:36.56]  inbox but I will throw that right there
[01:38.92]  in the chat that link but it's also down
[01:41.48]  in the description I like the little
[01:44.20]  Smiley Emojis all right so let's begin
[01:47.80]  with
[01:49.40]  some well I say must know words and
[01:51.84]  phrases because I think these are very
[01:54.48]  common when you go to the dentist and
[01:57.52]  the dentist is going to be telling you
[01:59.12]  about things you should do or things you
[02:01.04]  need to do so I'm just going to give you
[02:05.04]  the meaning and I want you to tell me
[02:07.80]  the vocabulary word what word are we
[02:10.84]  talking about and in this case we're
[02:14.00]  talking about damage to a tooth's
[02:17.60]  surface I'm having trouble saying tooths
[02:20.60]  damage to a tooth's surface so this I I
[02:25.80]  kind of maybe giving a little bit of a
[02:27.60]  hint talking about just how common this
[02:30.60]  is but if you go to the dentist and they
[02:34.56]  are checking out what's going on and you
[02:38.28]  have some damage to that surface they
[02:42.24]  may tell you that you
[02:46.72]  have this what are we what are we
[02:49.68]  talking about damage to a two surface
[02:52.64]  and this
[02:54.96]  I don't don't worry don't think too much
[02:56.92]  about the picture um and what I would
[03:00.52]  say I I think the picture maybe makes
[03:02.76]  you think of like a toothache but really
[03:04.64]  what we're talking about is decay all
[03:08.32]  right great job uh L dice yanu um this
[03:13.00]  is a word that could be either a noun or
[03:15.88]  verb the meaning is the same so I gave
[03:17.84]  you a couple of examples down there your
[03:20.36]  teeth have some Decay that is something
[03:24.12]  a dentist might tell you or they could
[03:27.20]  say you know your teeth are starting to
[03:30.44]  Decay that that damage is starting to
[03:33.32]  appear but this is a common verb or noun
