Title     : ADVANCED DRIVING VOCABULARY 🚘    | Words & phrases you need to know
Video ID  : 08o4nWu9QMI
URL       : https://www.youtube.com/watch?v=08o4nWu9QMI
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 638
Saved at  : 2026-06-05 10:09:37
------------------------------------------------------------

[00:00.00]  hello welcome to today's lesson we are
[00:03.72]  going to talk about driving vocabulary
[00:06.44]  and the first thing I want to tell you
[00:08.82]  is that if you would like to get a copy
[00:12.18]  of the lesson notes just the notes that
[00:15.66]  you see up here right next to me you can
[00:18.06]  join our community and I will send you
[00:20.70]  them in your email I will send them to
[00:23.10]  your email and if you are already a part
[00:25.38]  of our community check your inbox they
[00:27.84]  have probably already been sent to you
[00:29.82]  but let me go ahead and I'll just throw
[00:31.86]  that in the chat just as a quick
[00:33.84]  reminder so this is something that we do
[00:38.58]  a lot many of many of you get in the car
[00:41.82]  every single day and that's why I want
[00:44.40]  to talk to you about useful and
[00:46.14]  important driving words and phrases that
[00:50.34]  I think you're likely to come across
[00:53.28]  so I want to begin talking about the
[00:56.28]  parts of the car and this this is a quiz
[00:58.74]  lesson so I also want you to participate
[01:01.80]  write your answers in the chat in the
[01:04.86]  comments and also if this is your first
[01:07.38]  time here let me know tell me your name
[01:09.72]  where you're from once again write to me
[01:11.94]  in the chat or the comments I just love
[01:14.10]  hearing from you so I am going to show
[01:16.62]  you the picture and I just want you to
[01:18.66]  tell me the word so here's the first one
[01:21.78]  and I think it's it's evident based on
[01:24.42]  the picture but what what would you call
[01:26.16]  that what what is that in the car you
[01:29.88]  get in sometimes you fix it you you turn
[01:33.18]  it and what is it that you are looking
[01:39.14]  I always got to be careful because I
[01:41.76]  feel like as I talk I really want to
[01:44.88]  just say the word but write that in the
[01:47.76]  chat in the comments and then I will
[01:49.62]  tell you the answer and
[01:52.62]  if you don't know hopefully in this
[01:55.14]  lesson you will absolutely learn
[01:57.12]  something new so we're talking about
[02:00.60]  the rear view mirror so this is your
[02:03.30]  rear view mirror and down here below
[02:05.72]  that on the side it is also a rear view
[02:09.90]  mirror but if I wanted to be more
